T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	
           60.0	                      -97	            127.3	            48.2
           60.0	                      -91	            120.8	            32.1
           60.0	                      -79	            108.9	            25.5
           60.0	                      -87	            117.3	            18.3
           60.0	                      -78	            107.8	             8.9
           60.0	                      -91	            121.3	            51.5
           60.0	                      -76	            106.0	            11.5
           60.0	                      -85	            115.1	            13.4
           60.0	                      -80	            110.2	            39.6
           60.0	                      -92	            122.1	            24.7
           60.0	                      -92	            122.1	            45.7
           60.0	                      -78	            107.6	            27.3
           60.0	                      -74	            104.4	            30.4
           60.0	                      -89	            119.2	            37.1
           60.0	                      -85	            114.9	            27.3
           60.0	                      -90	            119.9	            41.3
           60.0	                      -86	            115.7	            20.7
           60.0	                      -90	            120.4	            22.2
           60.0	                      -86	            116.1	            29.2
           60.0	                     -100	            129.6	            65.8
           60.0	                      -77	            106.9	            37.8
           60.0	                      -84	            113.6	            49.1
           60.0	                      -88	            117.7	            31.3
           60.0	                      -94	            124.5	            14.3
           60.0	                      -89	            119.2	            29.1
           60.0	                      -80	            109.8	            40.7
           60.0	                      -76	            106.4	             9.1
           60.0	                      -86	            116.2	            12.8
           60.0	                      -84	            114.0	            21.0
           60.0	                      -84	            114.1	             4.4
           60.0	                      -86	            115.7	            35.9
           60.0	                      -76	            106.2	            13.8
           60.0	                      -80	            110.2	            58.2
           60.0	                      -91	            120.5	            35.6
           60.0	                      -87	            117.4	            46.7
           60.0	                      -75	            104.5	            39.5
           60.0	                      -96	            126.5	            26.9
           60.0	                      -85	            114.9	            23.5
           60.0	                     -106	            135.9	            24.1
           60.0	                      -90	            120.2	            35.8
           60.0	                      -89	            118.7	             7.1
           60.0	                      -92	            122.1	            17.2
           60.0	                      -80	            109.9	            41.2
           60.0	                      -89	            119.2	             9.2
           60.0	                      -89	            118.9	            30.7
           60.0	                      -98	            128.3	            18.7
           60.0	                      -98	            128.0	            30.7
