0.026387+0.059175i,-0.033944-0.072968i,0.046811+0.096791i,-0.074148-0.14885i,0.18123+0.36226i,0.2615+0.56588i,-0.028687-0.12707i,-0.40712-0.11141i,-0.1013-0.091738i,0.050593+0.08453i,-0.082158+0.092976i,0.046962-0.011622i,-0.038515+0.0099381i
-0.020438-0.043948i,0.023314+0.056986i,-0.027582-0.080426i,0.035197+0.13396i,-0.058835-0.36394i,-0.016854-0.67592i,-0.042577+0.22115i,0.36526-0.45528i,0.037334+0.034419i,0.0025851-0.070047i,0.040721-0.091128i,-0.0021995+0.0034847i,-0.0073019+0.0037585i
-0.01185+0.022008i,0.015973-0.033266i,-0.023336+0.054284i,0.039795-0.10387i,-0.10775+0.3225i,-0.18511+0.68135i,0.040757-0.25257i,0.13995+0.59333i,0.065032-0.042882i,-0.056674+0.090289i,-0.01154+0.062081i,-0.022011+0.028834i,0.025871-0.040848i
0.054906-0.014378i,-0.065615+0.024188i,0.083595-0.042405i,-0.12156+0.084837i,0.27086-0.268i,0.35369-0.55343i,-0.034767+0.18097i,-0.44878-0.13445i,-0.1042+0.11041i,0.064142-0.1249i,0.025388-0.032203i,0.0031589-0.05431i,0.00031392+0.065768i
-0.084212+0.022937i,0.098595-0.030809i,-0.12268+0.044679i,0.17384-0.075226i,-0.37896+0.19924i,-0.50301+0.3271i,0.081982-0.059756i,0.15786-0.37668i,0.042819-0.13793i,-0.021052+0.11787i,-0.074298+0.045718i,0.043534+0.033324i,-0.050242-0.040498i
0.08593-0.034205i,-0.10081+0.038259i,0.12619-0.044569i,-0.18157+0.05682i,0.41173-0.1007i,0.61324-0.067999i,-0.15995-0.031984i,0.38916+0.35872i,0.037019+0.05036i,-0.017219-0.039735i,0.1089-0.118i,-0.06976+0.042327i,0.074369-0.038538i
-0.062458+0.034394i,0.075978-0.032926i,-0.09971+0.029206i,0.15295-0.019089i,-0.37942-0.027067i,-0.6437-0.17704i,0.20086+0.074817i,-0.53579+0.098881i,-0.022573+0.10225i,-0.0099228-0.067789i,-0.083358+0.2083i,0.03595-0.13076i,-0.035894+0.12711i
0.024663-0.018391i,-0.035777+0.011465i,0.055949+0.0017623i,-0.10205-0.032549i,0.29824+0.16149i,0.57556+0.39049i,-0.17711-0.10932i,0.12603-0.36693i,-0.095234-0.18619i,0.099077+0.12264i,0.0056258-0.24853i,0.047029+0.16889i,-0.051865-0.16325i
0.015741-0.012035i,-0.0085033+0.022897i,-0.0054172-0.042732i,0.038187+0.087945i,-0.1776-0.27815i,-0.42827-0.55588i,0.12775+0.16145i,0.3114+0.073889i,0.20194+0.12806i,-0.17773-0.082329i,0.062389+0.20504i,-0.12043-0.1267i,0.13008+0.11838i
-0.046923+0.051518i,0.045296-0.064895i,-0.04078+0.088522i,0.027975-0.14156i,0.031678+0.36601i,0.23281+0.64015i,-0.096806-0.19642i,-0.23121+0.42524i,-0.18269+0.0042266i,0.17393-0.012825i,-0.059563-0.11099i,0.12643+0.034852i,-0.14094-0.022669i
0.05746-0.089085i,-0.061862+0.10422i,0.067928-0.12993i,-0.078075+0.18584i,0.10895-0.41785i,-0.0024728-0.6167i,0.069142+0.16346i,-0.24233-0.4921i,0.047912-0.078014i,-0.08704+0.080834i,-0.018943+0.035256i,-0.057411+0.042056i,0.074538-0.059755i
