0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
0.010903-0.015303i,-0.015245+0.016606i,0.02247-0.018491i,-0.036564+0.021845i,0.075582-0.031035i,-0.8136+0.21878i,-0.09668+0.020398i,0.028964-0.019147i,0.29327+0.25699i,0.079441+0.038864i,-0.047155+0.0071779i,0.11134+0.34443i,-0.058815-0.12488i
-0.0028122+0.017065i,0.0062517-0.019563i,-0.012177+0.023506i,0.024051-0.031007i,-0.057506+0.052012i,0.69419-0.46832i,0.090367-0.053848i,-0.028372+0.032782i,-0.33915-0.18613i,-0.096211-0.011658i,0.059883-0.027459i,-0.17307-0.31243i,0.10155+0.098708i
-0.0042542-0.014834i,0.0019429+0.018069i,0.0022218-0.023418i,-0.01082+0.033978i,0.035396-0.064179i,-0.50242+0.66364i,-0.071065+0.085799i,0.020133-0.048309i,0.3714+0.1097i,0.1007-0.02313i,-0.060767+0.056259i,0.219+0.26314i,-0.12452-0.052276i
0.0085099+0.010438i,-0.0073573-0.014012i,0.0051374+0.020128i,-0.00041453-0.032527i,-0.013054+0.068558i,0.26058-0.7863i,0.039064-0.10973i,-0.0030197+0.060295i,-0.39041-0.027093i,-0.089749+0.057561i,0.045887-0.084476i,-0.24301-0.20866i,0.11898+0.0035563i
-0.010009-0.0061739i,0.0099702+0.0097964i,-0.0097274-0.01613i,0.0091284+0.029159i,-0.0078808-0.06728i,0.0061103+0.826i,0.0011889+0.11967i,-0.019986-0.063352i,0.39309-0.0622i,0.066213-0.083373i,-0.018671+0.1026i,0.2489+0.1617i,-0.091586+0.028655i
0.01031+0.0033235i,-0.011357-0.0067588i,0.013072+0.012808i,-0.016591-0.025275i,0.027588+0.061633i,-0.27157-0.77974i,-0.042262-0.11303i,0.042823+0.055213i,-0.37414+0.15535i,-0.037408+0.096326i,-0.012048-0.10613i,-0.24771-0.1283i,0.060038-0.036257i
-0.011165-0.0014327i,0.013286+0.0044012i,-0.01688-0.0096213i,0.024252+0.020313i,-0.046416-0.051151i,0.50989+0.65134i,0.076607+0.091808i,-0.0594-0.038047i,0.32951-0.24499i,0.010922-0.098042i,0.037339+0.097822i,0.25044+0.10481i,-0.041619+0.026339i
0.013129-0.0011838i,-0.016229-0.00094795i,0.021465+0.0047213i,-0.032057-0.012427i,0.063172+0.034357i,-0.69628-0.45179i,-0.099468-0.061474i,0.066637+0.017169i,-0.25975+0.32107i,0.0095441+0.0942i,-0.053353-0.0853i,-0.26111-0.081244i,0.042258-0.015733i
-0.015014+0.0060593i,0.018808-0.0051647i,-0.025171+0.0034389i,0.03789+0.00022861i,-0.074637-0.010638i,0.80903+0.19999i,0.11012+0.028216i,-0.065624+0.0020027i,0.171-0.37458i,-0.025614-0.090325i,0.063024+0.075691i,0.2746+0.048652i,-0.053276+0.019287i
0.014583-0.013244i,-0.01856+0.013869i,0.025239-0.014588i,-0.038554+0.015593i,0.076762-0.018094i,-0.83288+0.077556i,-0.11084+0.0037128i,0.060216-0.016792i,-0.073042+0.40105i,0.042104+0.087977i,-0.073239-0.070835i,-0.28058-0.0055944i,0.057934-0.039688i
-0.010025+0.020918i,0.013534-0.02308i,-0.019544+0.026255i,0.031703-0.031915i,-0.066861+0.047143i,0.76259-0.34905i,0.10447-0.032973i,-0.054087+0.028117i,-0.024514-0.4015i,-0.062808-0.083849i,0.089431+0.066229i,0.27106-0.040559i,-0.043344+0.06558i
-0.0068266-0.022513i,0.006141+0.027606i,-0.004849-0.035716i,0.0022015+0.050919i,0.0049191-0.091629i,-0.12531+0.84534i,-0.016754+0.082304i,-0.0070338-0.013972i,0.31536-0.24862i,0.06123-0.035168i,-0.0275-0.020737i,0.13547-0.30763i,-0.048469+0.080971i
0.012866+0.021583i,-0.013759-0.026778i,0.015021+0.03504i,-0.017247-0.050468i,0.023421+0.091488i,-0.15337-0.84372i,-0.013682-0.079794i,0.01594+0.0078885i,-0.2516+0.32123i,-0.045951+0.043484i,0.02307+0.019925i,-0.089286+0.31587i,0.033578-0.071987i
-0.019967-0.018024i,0.022501+0.022747i,-0.026362-0.030262i,0.033424+0.044255i,-0.052455-0.081185i,0.41897+0.75081i,0.038945+0.06864i,-0.019482-0.00015639i,0.16825-0.37544i,0.033957-0.049588i,-0.024606-0.018091i,0.051167-0.32157i,-0.034627+0.068222i
0.026081+0.010703i,-0.030038-0.01433i,0.03614+0.020164i,-0.047341-0.03108i,0.077241+0.059805i,-0.6408-0.57443i,-0.058514-0.052482i,0.019638-0.0057365i,-0.073132+0.40469i,-0.022097+0.057153i,0.027064+0.010333i,-0.014299+0.33147i,0.039097-0.080729i
-0.028608-0.00036738i,0.033473+0.0024109i,-0.041055-0.0058309i,0.05506+0.012387i,-0.092444-0.029708i,0.79201+0.33371i,0.07349+0.032901i,-0.019856+0.0094449i,-0.023887-0.40757i,0.0055953-0.065216i,-0.023374+0.0020831i,-0.030832-0.34376i,-0.030245+0.10665i
0.025991-0.010444i,-0.031075+0.01018i,0.039124-0.0095045i,-0.054193+0.0079524i,0.094753-0.0037972i,-0.85446-0.056955i,-0.08418-0.0093787i,0.022066-0.013622i,0.11471+0.38763i,0.017655+0.068585i,0.0099425-0.012298i,0.088886+0.34894i,-0.00087315-0.1307i
-0.018756+0.018666i,0.023386-0.020044i,-0.030894+0.021978i,0.045238-0.025335i,-0.084408+0.034449i,0.82203-0.22302i,0.088641-0.018836i,-0.024863+0.021547i,-0.19552-0.35056i,-0.044572-0.061388i,0.010121+0.012417i,-0.15529-0.33612i,0.048485+0.13516i
0.009289-0.022345i,-0.012982+0.024979i,0.019161-0.02903i,-0.031269+0.036579i,0.06488-0.057525i,-0.70088+0.47446i,-0.083289+0.050381i,0.02416-0.034182i,0.26629+0.30054i,0.067911+0.04139i,-0.028299+0.00099783i,0.21804+0.30052i,-0.09498-0.11179i
-0.00049316+0.021587i,0.0030149-0.025013i,-0.0073985+0.030523i,0.016212-0.041178i,-0.040955+0.071344i,0.50711-0.67114i,0.065249-0.080719i,-0.015898+0.048698i,-0.32788-0.23834i,-0.08023-0.012143i,0.035673-0.024181i,-0.26454-0.24722i,0.12174+0.067682i
-0.0058-0.018233i,0.0044943+0.022045i,-0.0021046-0.028373i,-0.0028019+0.040917i,0.016441-0.07695i,-0.263+0.79471i,-0.034891+0.10328i,-0.00096449-0.059562i,0.37875+0.16236i,0.078229-0.018512i,-0.028381+0.048046i,0.28906+0.18853i,-0.12079-0.02113i
0.0096447+0.014488i,-0.0095298-0.018383i,0.0091882+0.024967i,-0.0084609-0.038183i,0.007062+0.076346i,-0.0062411-0.83474i,-0.0032237-0.11227i,0.023215+0.061558i,-0.41366-0.071826i,-0.064607+0.042687i,0.0099146-0.063506i,-0.2958-0.13683i,0.099563-0.0097912i
-0.012513-0.011441i,0.013577+0.015153i,-0.015282-0.021461i,0.018751+0.034133i,-0.029639-0.070554i,0.27446+0.788i,0.041722+0.10543i,-0.044766-0.052807i,0.42538-0.029967i,0.046214-0.056687i,0.011236+0.066762i,0.29562+0.097303i,-0.075625+0.018391i
0.015893+0.0084473i,-0.018123-0.011657i,0.021798+0.017104i,-0.029199-0.027976i,0.051304+0.05886i,-0.51541-0.65807i,-0.073418-0.085095i,0.059838+0.035854i,-0.40836+0.13478i,-0.029716+0.062522i,-0.027055-0.06111i,-0.29864-0.065676i,0.064945-0.01293i
-0.019917-0.0037947i,0.023196+0.0060938i,-0.028582-0.010021i,0.039261+0.017839i,-0.070341-0.039764i,0.70375+0.45596i,0.09414+0.056775i,-0.065922-0.016107i,0.36207-0.23156i,0.017607-0.065746i,0.034973+0.054129i,0.3075+0.032062i,-0.071404+0.010284i
0.022966-0.0038179i,-0.026969+0.0028532i,0.033506-0.0010698i,-0.046323-0.002622i,0.083012+0.012959i,-0.81727-0.20091i,-0.10374-0.026323i,0.064663-0.0013358i,-0.29185+0.31042i,-0.0071728+0.071102i,-0.039072-0.052145i,-0.31589+0.011451i,0.084565-0.023952i
-0.02254+0.013974i,0.026708-0.014626i,-0.033534+0.015379i,0.046907-0.016439i,-0.084986+0.019059i,0.84046-0.07991i,0.10478-0.0026505i,-0.060166+0.014439i,0.20664-0.36602i,-0.0069692-0.078904i,0.046778+0.055683i,0.3131-0.064674i,-0.087124+0.054434i
0.0003986-0.030448i,-0.0025545+0.035261i,0.0062209-0.042716i,-0.013409+0.056399i,0.032994-0.092672i,-0.38967+0.76704i,-0.044415+0.066223i,3.6041e-05-0.013403i,0.39583-0.034189i,0.083559+0.017863i,-0.047467-0.060049i,0.11761-0.28368i,-0.059899+0.054702i
0.0068659+0.030993i,-0.0061651-0.036364i,0.0048441+0.044732i,-0.0021443-0.060135i,-0.0050567+0.10091i,0.12449-0.85454i,0.015239-0.074579i,0.011155+0.011322i,-0.38373+0.13033i,-0.076739-0.00091493i,0.046995+0.05182i,-0.070963+0.29466i,0.03893-0.053822i
-0.015798-0.0298i,0.016788+0.03527i,-0.018135-0.04379i,0.020416+0.059428i,-0.026594-0.10054i,0.15752+0.85236i,0.012046+0.071862i,-0.017937-0.0042201i,0.34474-0.22291i,0.071315-0.011704i,-0.051335-0.046832i,0.032304-0.296i,-0.033907+0.045242i
0.025535+0.024905i,-0.028264-0.029852i,0.032308+0.037577i,-0.039519-0.051737i,0.058624+0.088725i,-0.426-0.7576i,-0.03439-0.061827i,0.019391-0.0033722i,-0.28093+0.30174i,-0.067594+0.025124i,0.060161+0.037927i,-0.001546+0.29789i,0.043382-0.045787i
-0.033582-0.015398i,0.037799+0.019168i,-0.044147-0.025131i,0.055552+0.036141i,-0.085558-0.064865i,0.64972+0.57844i,0.051858+0.047791i,-0.018067+0.0082739i,0.19946-0.35917i,0.061381-0.042187i,-0.067347-0.021084i,-0.029376-0.30618i,-0.053195+0.065051i
0.037095+0.0024433i,-0.042246-0.0045386i,0.050096+0.0079992i,-0.064318-0.01457i,0.1018+0.031837i,-0.80159-0.3346i,-0.065815-0.030768i,0.017641-0.010689i,-0.10957+0.39273i,-0.047438+0.060743i,0.06542-0.0011712i,0.070374+0.31773i,0.046277-0.098161i
-0.034538+0.010992i,0.039902-0.010759i,-0.048212+0.010121i,0.063483-0.0086168i,-0.10411+0.0045463i,0.86362+0.054933i,0.076457+0.0097144i,-0.019876+0.013756i,0.018686-0.40465i,0.023822-0.074498i,-0.051092+0.020877i,-0.12565-0.32197i,-0.014609+0.12831i
0.026638-0.021561i,-0.031525+0.023039i,0.039268-0.025072i,-0.053788+0.028521i,0.092987-0.037723i,-0.83+0.22745i,-0.081521+0.016393i,0.023001-0.020941i,0.069787+0.39885i,0.0058652+0.07689i,0.028129-0.029564i,0.1898+0.30767i,-0.034654-0.13743i
-0.016+0.027221i,0.019918-0.030014i,-0.026302+0.034214i,0.038561-0.04189i,-0.072182+0.062916i,0.70723-0.48074i,0.077142-0.046181i,-0.022642+0.033081i,-0.15567-0.37751i,-0.033891-0.065421i,-0.0055843+0.023734i,-0.25027-0.27036i,0.083048+0.11793i
0.0056407-0.028094i,-0.0083451+0.031733i,0.012897-0.037441i,-0.021833+0.048257i,0.046578-0.0785i,-0.51155+0.67885i,-0.060383+0.074986i,0.014726-0.047111i,0.23893+0.33942i,0.052601+0.043542i,-0.0075013-0.0072556i,0.29454+0.21559i,-0.11215-0.077741i
0.0026158+0.026i,-0.0011867-0.030074i,-0.0013168+0.036647i,0.0063063-0.049389i,-0.019932+0.085507i,0.26518-0.80343i,0.031741-0.096229i,0.0015697+0.057419i,-0.31648-0.28144i,-0.058698-0.018826i,0.0074517-0.010949i,-0.31742-0.15574i,0.11491+0.035247i
-0.0088424-0.02299i,0.0086859+0.02718i,-0.0083079-0.034041i,0.0075622+0.047483i,-0.0062092-0.085737i,0.0067141+0.84388i,0.0040962+0.10435i,-0.022806-0.059i,0.38123+0.20199i,0.054794-0.0014301i,0.0021385+0.022407i,0.32355+0.10252i,-0.099543-0.0075474i
0.014395+0.019897i,-0.015516-0.023906i,0.017281+0.030493i,-0.020815-0.043387i,0.0318+0.079882i,-0.27785-0.79666i,-0.039863-0.0975i,0.042927+0.05039i,-0.42417-0.10415i,-0.047232+0.014287i,-0.013184-0.024186i,-0.3236-0.060156i,0.08341-0.00027557i
-0.020434-0.015868i,0.022819+0.019333i,-0.026649-0.025015i,0.0342+0.036061i,-0.056448-0.066962i,0.52156+0.66511i,0.068813+0.078322i,-0.056548-0.034483i,0.4383-0.0036548i,0.041646-0.022287i,0.018704+0.020222i,0.32666+0.023582i,-0.080976-0.0022694i
0.026616+0.0091885i,-0.030123-0.011661i,0.035732+0.015737i,-0.046615-0.023641i,0.077852+0.045491i,-0.7119-0.46028i,-0.087422-0.052331i,0.061783+0.016691i,-0.4219+0.11014i,-0.039212+0.030923i,-0.017516-0.018054i,-0.33392+0.017003i,0.093956-0.0016948i
-0.030871+0.0011472i,0.035132-0.00011363i,-0.041913-0.0017101i,0.054937+0.0053794i,-0.09174-0.01554i,0.82615+0.20187i,0.096119+0.024953i,-0.06082-0.0016662i,0.37911-0.20523i,0.036048-0.044178i,0.0149+0.023179i,0.33783-0.068467i,-0.11014+0.024247i
0.011684-0.03454i,-0.015151+0.038583i,0.020834-0.044624i,-0.031759+0.055382i,0.061538-0.083421i,-0.6159+0.60649i,-0.065082+0.043193i,0.0091767-0.011444i,0.33852+0.18984i,0.074754+0.072744i,-0.045585-0.10053i,0.079566-0.25298i,-0.053831+0.019733i
-0.0034142+0.037014i,0.0056545-0.041979i,-0.0093921+0.049543i,0.016621-0.063249i,-0.036167+0.099375i,0.39164-0.77374i,0.04131-0.061993i,0.0020507+0.01529i,-0.38227-0.10456i,-0.080154-0.05229i,0.053006+0.087022i,-0.038227+0.26656i,0.035542-0.030647i
-0.0062917-0.03848i,0.0055897+0.044044i,-0.0042759-0.052564i,0.0015994+0.068034i,0.0055322-0.1087i,-0.1237+0.86199i,-0.014402+0.069039i,-0.012351-0.011858i,0.4023+0.0066636i,0.083271+0.03649i,-0.060744-0.079114i,-0.00052856-0.26588i,-0.023691+0.024728i
0.017927+0.03721i,-0.01901-0.04287i,0.020454+0.051541i,-0.022834-0.067244i,0.029124+0.10823i,-0.16127-0.85933i,-0.010213-0.066184i,0.017778+0.0043105i,-0.39389+0.094564i,-0.088013-0.021763i,0.073518+0.071452i,0.02953+0.25888i,0.028831-0.015176i
-0.030134-0.0312i,0.033037+0.036293i,-0.037253-0.044123i,0.044625+0.058304i,-0.063865-0.095128i,0.43226+0.76289i,0.030148+0.057222i,-0.018052+0.0027679i,0.35797-0.1884i,0.093361+0.0030782i,-0.089631-0.056984i,-0.050508-0.25581i,-0.047294+0.01867i
0.039991+0.019788i,-0.04443-0.023634i,0.050994+0.029631i,-0.062585-0.040593i,0.092709+0.069092i,-0.65756-0.58123i,-0.046006-0.045111i,0.016226-0.0065629i,-0.30058+0.26672i,-0.094056+0.021653i,0.1019+0.032529i,0.072777+0.26164i,0.063354-0.043355i
-0.044454-0.0045517i,0.049844+0.0066468i,-0.057916-0.010067i,0.072313+0.016523i,-0.10986-0.033518i,0.80988+0.33465i,0.059339+0.030305i,-0.016095+0.007839i,0.22964-0.3264i,0.084381-0.049202i,-0.10247-0.0017826i,-0.10663-0.272i,-0.059702+0.082453i
0.042049-0.011155i,-0.047644+0.010991i,0.056157-0.010455i,-0.071567+0.0091127i,0.11218-0.0053281i,-0.87141-0.052496i,-0.070173-0.01129i,0.019164-0.010167i,-0.1512+0.36854i,-0.062496+0.072315i,0.088363-0.026333i,0.15584+0.27539i,0.029255-0.11785i
-0.033709+0.023774i,0.038805-0.025376i,-0.046723+0.027558i,0.061342-0.031196i,-0.10047+0.040667i,0.83671-0.23189i,0.075908-0.013138i,-0.023247+0.017112i,0.067523-0.39537i,0.032386-0.083879i,-0.063899+0.042923i,-0.21432-0.2604i,0.019577+0.13132i
0.022219-0.031233i,-0.026317+0.034199i,0.032845-0.038588i,-0.045168+0.046469i,0.078668-0.067732i,-0.71255+0.48677i,-0.072442+0.041521i,0.023704-0.029305i,0.021725+0.40689i,-0.0020652+0.081212i,0.038492-0.044523i,0.26918+0.22294i,-0.067725-0.11606i
-0.010638+0.033695i,0.013484-0.037555i,-0.018142+0.043492i,0.027108-0.054533i,-0.051701+0.084985i,0.51521-0.68615i,0.056848-0.069041i,-0.016493+0.043409i,-0.1162-0.39968i,-0.020835-0.067649i,-0.021104+0.035097i,-0.30824-0.16899i,0.09723+0.080769i
0.00071873-0.032933i,-0.0022331+0.037276i,0.0047891-0.044116i,-0.0097603+0.057106i,0.0232-0.093411i,-0.26682+0.8117i,-0.029813+0.089138i,0.0010494-0.053742i,0.2118+0.36874i,0.033217+0.050375i,0.015057-0.023301i,0.32703+0.11084i,-0.10218-0.043788i
0.0076578+0.030798i,-0.0074954-0.035286i,0.0071432+0.042441i,-0.0064862-0.056141i,0.0053681+0.094557i,-0.007555-0.85259i,-0.0038324-0.096536i,0.018968+0.055545i,-0.3001-0.31121i,-0.03772-0.035924i,-0.016577+0.016845i,-0.33074-0.05937i,0.091649+0.021011i
-0.015717-0.027825i,0.016929+0.032131i,-0.018816-0.039003i,0.022526+0.052136i,-0.033806-0.088738i,0.28146+0.80491i,0.036962+0.089822i,-0.037584-0.047779i,0.37071+0.22938i,0.040208+0.026316i,0.017986-0.017667i,0.32983+0.017622i,-0.082693-0.015754i
0.024261+0.022944i,-0.026832-0.026663i,0.030878+0.032578i,-0.038687-0.043797i,0.061278+0.074711i,-0.52777-0.67178i,-0.06331-0.071946i,0.049865+0.033639i,-0.41544-0.13116i,-0.045275-0.018361i,-0.013377+0.021128i,-0.33233+0.020309i,0.088211+0.01722i
-0.032456-0.014474i,0.03622+0.017118i,-0.042109-0.021335i,0.0533+0.029306i,-0.084884-0.051041i,0.71994+0.46434i,0.080018+0.048362i,-0.054565-0.018444i,0.43143+0.027278i,0.052764+0.0065561i,0.0029626-0.01971i,0.33794-0.064186i,-0.10774-0.0085617i
0.02485-0.032574i,-0.029326+0.035418i,0.036461-0.039437i,-0.049944+0.046217i,0.086618-0.063231i,-0.77906+0.37952i,-0.077061+0.016258i,0.019218-0.0063728i,0.1625+0.34372i,0.038325+0.11164i,-0.02349-0.12936i,0.021635-0.22726i,-0.026097-0.01212i
-0.016101+0.037646i,0.01964-0.041694i,-0.025347+0.047692i,0.036206-0.058326i,-0.065729+0.086104i,0.61866-0.60944i,0.062619-0.04297i,-0.011286+0.01617i,-0.24588-0.29955i,-0.056414-0.094774i,0.041085+0.11561i,0.0092991+0.23895i,0.020246-0.0064312i
0.0065058-0.041734i,-0.0087863+0.046762i,0.012526-0.05434i,-0.019683+0.067967i,0.038999-0.10385i,-0.39291+0.77812i,-0.039661+0.060093i,-0.00036622-0.019136i,0.31767+0.23174i,0.068607+0.07997i,-0.053535-0.10583i,-0.045066-0.23754i,-0.0072167+0.0086053i
0.0051658+0.044213i,-0.0044831-0.049875i,0.00322+0.05844i,-0.00065111-0.073854i,-0.0062495+0.11427i,0.12282-0.86704i,0.014389-0.06608i,0.010377+0.015166i,-0.36853-0.14458i,-0.080342-0.067479i,0.067955+0.099652i,0.074911+0.22419i,0.0036796+0.0034618i
-0.019049-0.043067i,0.02022+0.048823i,-0.021777-0.057532i,0.024309+0.073164i,-0.030834-0.11386i,0.16448+0.86399i,0.0082457+0.063173i,-0.015242-0.0078149i,0.39245+0.047153i,0.094459+0.053057i,-0.087981-0.091023i,-0.09299-0.20785i,-0.018412-0.015326i
0.033315+0.036275i,-0.036363-0.041428i,0.04074+0.049255i,-0.04829-0.063315i,0.067744+0.099782i,-0.43738-0.76613i,-0.026476-0.055166i,0.015275+0.0016426i,-0.38912+0.050068i,-0.10867-0.031679i,0.11061+0.072954i,0.10265+0.19884i,0.045611+0.010474i
-0.04467-0.02343i,0.049285+0.027279i,-0.056028-0.033214i,0.067791+0.043992i,-0.098066-0.072066i,0.66374+0.58243i,0.041357+0.044636i,-0.013928+0.00095159i,0.36312-0.13918i,0.11671+0.0018903i,-0.1277-0.043025i,-0.11436-0.20132i,-0.068139+0.017839i
0.049942+0.0064894i,-0.055512-0.0085303i,0.063751+0.011831i,-0.078281-0.018051i,0.11588+0.034578i,-0.8162-0.33373i,-0.054531-0.031514i,0.014993-0.0012775i,-0.32056+0.21695i,-0.11245+0.032179i,0.13111+0.0059487i,0.13872+0.2098i,0.068596-0.061107i
-0.047763+0.010886i,0.053524-0.010823i,-0.062176+0.010449i,0.077665-0.0093718i,-0.11823+0.0060563i,0.87717+0.049767i,0.065784+0.013913i,-0.01962+0.0032597i,0.26552-0.28377i,0.094101-0.062543i,-0.11818+0.028608i,-0.17909-0.2121i,-0.040872+0.10018i
0.03927-0.025023i,-0.044511+0.026764i,0.052537-0.029136i,-0.067183+0.033046i,0.10616-0.042952i,-0.84157+0.23602i,-0.072176+0.0094386i,0.025187-0.010452i,-0.19852+0.34038i,-0.065922+0.081759i,0.09369-0.051542i,0.22882+0.1968i,-0.005498-0.11697i
-0.027368+0.0339i,0.03159-0.03704i,-0.038197+0.041643i,0.050506-0.049797i,-0.083788+0.071444i,0.71637-0.492i,0.06943-0.036903i,-0.026814+0.023193i,0.11809-0.38473i,0.035982-0.087112i,-0.067229+0.059574i,-0.27492-0.16034i,0.051105+0.10562i
0.015077-0.037752i,-0.018019+0.041826i,0.022723-0.048005i,-0.031637+0.059324i,0.055959-0.090111i,-0.51781+0.69238i,-0.054713+0.063475i,0.020558-0.03784i,-0.024268+0.41118i,-0.011634+0.08186i,0.047452-0.056804i,0.3058+0.10915i,-0.07875-0.07562i
-0.0040075+0.038293i,0.0055709-0.042889i,-0.0081249+0.050002i,0.012994-0.063279i,-0.026111+0.099878i,0.26786-0.81878i,0.028975-0.08263i,-0.0061518+0.048658i,-0.078476-0.41275i,-0.0044501-0.072745i,-0.03714+0.051569i,-0.31795-0.055263i,0.083875+0.045119i
-0.0060423-0.037133i,0.0059011+0.041904i,-0.0056232-0.049349i,0.00514+0.063336i,-0.0044084-0.10199i,0.008563+0.86011i,0.0027868+0.089419i,-0.012529-0.051162i,0.18096+0.38502i,0.015091+0.065426i,0.032228-0.050713i,0.3172+0.0086212i,-0.076485-0.028651i
0.016172+0.034489i,-0.017493-0.039076i,0.019544+0.046228i,-0.023514-0.059614i,0.03525+0.096377i,-0.28483-0.81208i,-0.033595-0.082876i,0.029627+0.044732i,-0.27202-0.32912i,-0.025772-0.060895i,-0.02539+0.055102i,-0.31385+0.029052i,0.073354+0.027666i
-0.026826-0.02908i,0.029593+0.033041i,-0.03389-0.039183i,0.042039+0.05058i,-0.065137-0.081532i,0.53334+0.67759i,0.057675+0.066236i,-0.040689-0.032812i,0.34273+0.2518i,0.040117+0.055233i,0.011748-0.059355i,0.31489-0.064573i,-0.085808-0.030063i
0.036561-0.023655i,-0.041611+0.024966i,0.049473-0.026547i,-0.064094+0.028719i,0.10372-0.033133i,-0.86012+0.10939i,-0.080057-0.011153i,0.028113+0.0023306i,-0.071552+0.37275i,-0.012527+0.12128i,0.0098416-0.1362i,-0.048552-0.21736i,0.018879-0.026994i
-0.02848+0.031919i,0.032937-0.034651i,-0.039977+0.038528i,0.05323-0.045123i,-0.089411+0.061905i,0.78035-0.3789i,0.077309-0.019131i,-0.02628+0.011229i,-0.021143-0.38499i,-0.0143-0.1148i,0.016447+0.12857i,0.068087+0.21963i,-0.0078679+0.011649i
0.019768-0.038525i,-0.023309+0.042503i,0.028952-0.04839i,-0.039623+0.058849i,0.068714-0.086354i,-0.61992+0.61004i,-0.062217+0.04472i,0.017047-0.021319i,0.11838+0.37191i,0.033985+0.10548i,-0.034447-0.11958i,-0.097114-0.21573i,0.013721-0.0023288i
-0.0094942+0.044117i,0.01177-0.04912i,-0.015445+0.056623i,0.022429-0.070091i,-0.041349+0.10567i,0.3934-0.77986i,0.03943-0.060605i,-0.0046564+0.024273i,-0.21038-0.331i,-0.050346-0.097599i,0.049507+0.11426i,0.12712+0.19928i,-0.023088+0.0092234i
-0.0034865-0.04766i,0.0028408+0.053323i,-0.0016671-0.061831i,-0.00071873+0.077087i,0.0072435-0.11715i,-0.12193+0.86935i,-0.015061+0.065797i,-0.0055819-0.020525i,0.28674+0.2656i,0.068439+0.090276i,-0.068404-0.11106i,-0.1478-0.17299i,0.019808-0.02818i
0.018972+0.046867i,-0.020221-0.052622i,0.0219+0.061264i,-0.024629-0.07671i,0.031504+0.11699i,-0.1669-0.86602i,-0.0063897-0.062885i,0.010593+0.013947i,-0.34047-0.1839i,-0.090147-0.078539i,0.093784+0.10322i,0.15456+0.14685i,0.0031904+0.043548i
-0.034717-0.039721i,0.037874+0.044846i,-0.042392-0.052571i,0.050134+0.066393i,-0.06988-0.10236i,0.44098+0.76712i,0.023702+0.055617i,-0.011213-0.0089984i,0.37013+0.095406i,0.11205+0.057286i,-0.12148-0.083782i,-0.15226-0.13122i,-0.038131-0.039009i
0.047139+0.026062i,-0.051874-0.029846i,0.058751+0.035633i,-0.070669-0.046119i,0.10114+0.073619i,-0.66781-0.58199i,-0.038274-0.046189i,0.011172+0.0076313i,-0.37875-0.0070822i,-0.12703-0.025548i,0.14255+0.050973i,0.15238+0.12952i,0.066693+0.0091408i
-0.05302-0.0081688i,0.058701+0.01011i,-0.067047-0.013226i,0.081671+0.019117i,-0.11933-0.03503i,0.82007+0.33195i,0.051725+0.034077i,-0.014141-0.0080306i,0.37037-0.078368i,0.12863-0.011874i,-0.14873-0.010321i,-0.1657-0.13535i,-0.071583+0.036049i
0.051147-0.010097i,-0.057+0.010158i,0.065723-0.0099874i,-0.081238+0.0092497i,0.12173-0.0065404i,-0.88046-0.047016i,-0.063541-0.017139i,0.020838+0.0060187i,-0.34672+0.16112i,-0.11517+0.046549i,0.13768-0.028027i,0.19513+0.13607i,0.047722-0.076705i
-0.042838+0.025063i,0.048157-0.026943i,-0.056223+0.029525i,0.070837-0.033765i,-0.10963+0.044231i,0.84422-0.23941i,0.070456-0.0058303i,-0.028193+0.0018319i,0.30613-0.24085i,0.091026-0.070979i,-0.11458+0.055027i,-0.23357-0.12051i,-0.0056406+0.095214i
0.031056-0.034844i,-0.035344+0.038142i,0.04197-0.04296i,-0.054205+0.051428i,0.087214-0.073575i,-0.71846+0.49593i,-0.068088+0.032917i,0.031146-0.015484i,-0.24553+0.31376i,-0.064131+0.082621i,0.088993-0.067773i,0.26818+0.085829i,-0.03517-0.086838i
-0.01869+0.039782i,0.021683-0.044041i,-0.026385+0.050452i,0.035189-0.062078i,-0.059172+0.093305i,0.51929-0.69694i,0.053799-0.058894i,-0.025922+0.030966i,0.16409-0.37224i,0.041306-0.084754i,-0.069037+0.070586i,-0.28821-0.038876i,0.058564+0.061937i
0.0071367-0.041523i,-0.0087211+0.046338i,0.011235-0.053708i,-0.015948+0.067292i,0.028661-0.10428i,-0.2684+0.82404i,-0.02887+0.077288i,0.012598-0.042512i,-0.066039+0.40748i,-0.024566+0.083674i,0.056764-0.071467i,0.29129-0.0085766i,-0.06155-0.038368i
0.0039278+0.041415i,-0.0038199-0.046433i,0.0036424+0.054152i,-0.0033823-0.068438i,0.003129+0.10742i,-0.0094285-0.86583i,-0.0015019-0.083499i,0.0047349+0.045934i,-0.039391-0.41349i,0.010727-0.084124i,-0.04768+0.076355i,-0.28405+0.047676i,0.055175+0.029203i
-0.015499-0.039352i,0.016926+0.04419i,-0.019155-0.051606i,0.02343+0.065256i,-0.035722-0.10225i,0.28744+0.81767i,0.030478+0.077011i,-0.020356-0.041025i,0.14094+0.38998i,0.0054539+0.086022i,0.034718-0.085013i,0.27669-0.078068i,-0.055972-0.033976i
