0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
0.0077116-0.0094119i,-0.0070955+0.0064188i,0.0056691-0.00079077i,-0.0021429-0.011321i,-0.0095101+0.047481i,0.2583-0.76485i,0.054531-0.12486i,-0.037918+0.05961i,0.0052613+0.336i,-0.048312+0.15431i,0.062053-0.16306i,0.05859-0.17094i,0.038634-0.059965i
-0.0038494+0.01198i,0.004167-0.0089925i,-0.0045521+0.0032545i,0.0050216+0.0092937i,-0.0055448-0.047222i,0.0024213+0.80645i,-0.0094652+0.13663i,0.013345-0.069334i,-0.077252-0.32235i,0.0025249-0.16444i,-0.016398+0.17644i,-0.062813+0.16799i,0.0036202+0.078498i
-0.00076133-0.01188i,-0.00043299+0.0090762i,0.0025627-0.0036739i,-0.0069496-0.0081711i,0.019563+0.044052i,-0.26241-0.76355i,-0.037097-0.1305i,0.013061+0.067146i,0.14355+0.29786i,0.044829+0.15668i,-0.031744-0.17091i,0.069146-0.18157i,-0.050958-0.068417i
0.0040943+0.0093756i,-0.002034-0.006944i,-0.0017521+0.0023208i,0.009756+0.0077165i,-0.033317-0.037902i,0.49621+0.64031i,0.0771+0.10768i,-0.034746-0.054011i,-0.2058-0.26303i,-0.084635-0.13258i,0.071842+0.14819i,-0.06483+0.20932i,0.083412+0.033174i
-0.00497-0.00611i,0.0020743+0.0043253i,0.0031888-0.00099139i,-0.014226-0.006148i,0.046543+0.027384i,-0.67997-0.4477i,-0.10459-0.073357i,0.047307+0.034589i,0.26369+0.21545i,0.11088+0.098813i,-0.097232-0.11624i,0.04239-0.24064i,-0.089361+0.010926i
0.0037872+0.0040214i,-0.00022227-0.0032328i,-0.0061267+0.0017292i,0.019225+0.0015306i,-0.05709-0.011279i,0.79304+0.20384i,0.11748+0.034314i,-0.050279-0.014708i,-0.31321-0.15264i,-0.12312-0.063512i,0.1082+0.084622i,-0.0037964+0.26312i,0.072099-0.044906i
-0.0022087-0.0040865i,-0.0016492+0.0046018i,0.0084144-0.0053511i,-0.022188+0.0066301i,0.061567-0.0097893i,-0.8207+0.066216i,-0.11723+0.003731i,0.046571-0.0015826i,0.3476+0.075249i,0.12558+0.032067i,-0.11073-0.059138i,-0.041392-0.26986i,-0.046734+0.058749i
0.0020255+0.0057193i,0.0015748-0.0076511i,-0.007875+0.01077i,0.020668-0.016685i,-0.057126+0.032696i,0.7573-0.33237i,0.10689-0.037696i,-0.040027+0.013539i,-0.36053+0.011504i,-0.12351-0.0050458i,0.11176+0.039288i,0.082604+0.26286i,0.029588-0.056823i
-0.0039643-0.0072124i,0.0012003+0.010382i,0.003738-0.015571i,-0.013923+0.02553i,0.043245-0.052725i,-0.60856+0.56337i,-0.088844+0.066723i,0.032797-0.022942i,0.34924-0.099171i,0.11941-0.020532i,-0.11432-0.02001i,-0.1151-0.25055i,-0.027206+0.053629i
0.0072292+0.0069069i,-0.005727-0.010871i,0.0028266+0.017454i,0.003491-0.030252i,-0.022338+0.065547i,0.3916-0.73188i,0.063834-0.090375i,-0.024292+0.031715i,-0.31588+0.17933i,-0.11153+0.047569i,0.11564-0.0035404i,0.14253+0.24103i,0.032301-0.062847i
