-0.021602+0.019721i,0.030086-0.027419i,-0.046296+0.042172i,0.0891-0.081275i,-0.54887+0.50349i,-0.13007+0.12192i,0.022725-0.028635i,-0.19565+0.15435i,0.089934-0.074517i,-0.090809+0.080812i,-0.23286+0.39125i,-0.041173-0.036746i,0.14542+0.12507i
0.011993+0.033048i,-0.014166-0.044389i,0.018232+0.065973i,-0.029097-0.12287i,0.1519+0.73462i,0.036256+0.17005i,-0.026841-0.031356i,-0.047026+0.23582i,0.013961-0.10887i,-0.0077775+0.11469i,0.16352+0.43482i,-0.066949+0.0056112i,0.20118-0.045455i
0.038512+0.013842i,-0.0492-0.018252i,0.069483+0.026439i,-0.12322-0.047235i,0.70921+0.25918i,0.16573+0.044771i,-0.055325+0.027149i,0.11375+0.18961i,-0.063112-0.071028i,0.074695+0.06922i,0.44553+0.16254i,-0.042461+0.046205i,0.083412-0.18231i
0.035634-0.015114i,-0.044893+0.021236i,0.062264-0.033411i,-0.10756+0.06735i,0.59116-0.45755i,0.12249-0.13878i,-0.0097999+0.096567i,0.19185+0.050085i,-0.082807+0.012932i,0.091585-0.026603i,0.41738-0.22264i,0.0042097+0.043641i,-0.097445-0.15306i
0.01166-0.024751i,-0.011477+0.034879i,0.01035-0.05483i,-0.0050989+0.10951i,-0.078617-0.72267i,-0.064484-0.20115i,0.090647+0.099154i,0.15301-0.091993i,-0.030995+0.079452i,0.026241-0.10065i,0.10771-0.44581i,0.024697+0.0017152i,-0.16976+0.018785i
-0.0054265-0.0087834i,0.013525+0.012945i,-0.030339-0.021169i,0.07871+0.043478i,-0.64517-0.28647i,-0.22335-0.071789i,0.16242+0.0078501i,0.041273-0.15798i,0.049256+0.079531i,-0.072186-0.094745i,-0.25941-0.35394i,-0.00099375-0.036638i,-0.061804+0.17426i
0.0020775+0.011794i,0.0047257-0.01718i,-0.019251+0.028008i,0.061698-0.058681i,-0.55984+0.41912i,-0.2004+0.13838i,0.13103-0.11759i,-0.064012-0.13395i,0.093736+0.019603i,-0.12619-0.013844i,-0.42652-0.016944i,-0.045714-0.03368i,0.12936+0.16684i
0.023593+0.012386i,-0.025625-0.021157i,0.028568+0.039277i,-0.034479-0.091392i,0.088137+0.70364i,-0.0077974+0.23696i,0.0040104-0.17527i,-0.11197-0.066174i,0.071631-0.045154i,-0.093506+0.075824i,-0.28042+0.32789i,-0.063896+0.0053232i,0.22647+0.00033113i
0.032375-0.0083707i,-0.041553+0.0057528i,0.059334+0.00072887i,-0.10795-0.02188i,0.66121+0.29072i,0.18357+0.12996i,-0.12673-0.1098i,-0.10949-0.0097466i,0.010585-0.059795i,-0.0031257+0.10079i,0.074794+0.44248i,-0.038196+0.038271i,0.13696-0.17215i
0.014925-0.026494i,-0.022042+0.033216i,0.036875-0.04551i,-0.080114+0.077003i,0.59589-0.41345i,0.20155-0.088847i,-0.15959+0.035458i,-0.095458+0.01899i,-0.030052-0.01745i,0.068303+0.041835i,0.39329+0.24966i,0.0028983+0.029638i,-0.05895-0.18879i
-0.012888-0.017794i,0.015243+0.027283i,-0.01856-0.046363i,0.023966+0.099892i,-0.047084-0.71602i,0.032258-0.22426i,-0.069575+0.15199i,-0.091066+0.043348i,-0.013477+0.036778i,0.060919-0.049866i,0.45625-0.11684i,0.014109-0.012751i,-0.17998-0.029798i
0.012042+0.025537i,-0.011419-0.035303i,0.009436+0.054555i,-0.0020035-0.10778i,-0.10253+0.71522i,-0.068356+0.21031i,0.081112-0.1379i,0.1018-0.048635i,-0.013203-0.02877i,0.020962+0.048833i,0.4526+0.27171i,-0.10373-0.0080802i,0.22761-0.026557i
0.040723+0.011412i,-0.049608-0.017293i,0.066147+0.029251i,-0.10937-0.063432i,0.57782+0.46703i,0.12183+0.15707i,-0.036746-0.13037i,0.062407-0.12265i,-0.033623+0.0062435i,0.049221+0.00082726i,0.50174-0.15993i,-0.075005+0.061427i,0.11438-0.18541i
0.042491-0.020929i,-0.052815+0.025374i,0.072474-0.033327i,-0.12525+0.052837i,0.71464-0.24608i,0.17755-0.028709i,-0.097675-0.039377i,-0.032629-0.16859i,-0.013495+0.054856i,0.025959-0.060284i,0.20487-0.46482i,-0.0059005+0.072i,-0.077522-0.17244i
0.015125-0.039388i,-0.017161+0.050474i,0.021093-0.071508i,-0.032361+0.12717i,0.17229-0.73274i,0.051713-0.17003i,-0.06388+0.052068i,-0.15594-0.13676i,0.048213+0.07215i,-0.04528-0.082974i,-0.21008-0.42948i,0.035063+0.021404i,-0.16577-0.0037402i
-0.01532-0.02603i,0.023435+0.033435i,-0.039117-0.047735i,0.080746+0.086479i,-0.52701-0.52009i,-0.12955-0.13507i,0.017415+0.07065i,-0.23617-0.013236i,0.10888+0.028459i,-0.11484-0.036161i,-0.44123-0.09443i,0.012397-0.035164i,-0.068051+0.15838i
-0.020676+0.0061929i,0.031039-0.0094591i,-0.051327+0.015579i,0.10619-0.031143i,-0.70876+0.18885i,-0.18885+0.036441i,0.063407+0.018483i,-0.20546+0.14793i,0.1135-0.055828i,-0.12206+0.056105i,-0.3327+0.28795i,-0.045257-0.041299i,0.12141+0.15857i
0.0022913+0.027234i,0.00021354-0.038078i,-0.0055446+0.058929i,0.020946-0.11431i,-0.19825+0.71218i,-0.069308+0.17214i,0.036697-0.034847i,-0.060199+0.24848i,0.045011-0.11825i,-0.048539+0.12478i,0.022488+0.44436i,-0.076445+0.0062894i,0.22054-0.0051358i
0.030176+0.019537i,-0.038176-0.027765i,0.05317+0.043718i,-0.092295-0.086374i,0.51176+0.54839i,0.10974+0.1347i,-0.020387-0.025351i,0.1211+0.21575i,-0.052979-0.1041i,0.057888+0.10946i,0.36188+0.27467i,-0.04832+0.056847i,0.13079-0.17842i
0.037021-0.0060246i,-0.048287+0.0079323i,0.069745-0.01163i,-0.12646+0.02183i,0.73855-0.14031i,0.16804-0.043201i,-0.031464+0.038902i,0.22684+0.062603i,-0.10644-0.016195i,0.1154+0.012489i,0.44683-0.087567i,0.011779+0.057068i,-0.068726-0.19444i
0.019488-0.022717i,-0.023972+0.03252i,0.032264-0.051756i,-0.053341+0.10416i,0.26888-0.68728i,0.040595-0.18805i,0.032776+0.083984i,0.19328-0.11619i,-0.072058+0.081896i,0.074665-0.09598i,0.227-0.38061i,0.044211+0.0037891i,-0.19285-0.030866i
-0.0016302-0.015304i,0.0071346+0.02341i,-0.018568-0.039488i,0.051477+0.083388i,-0.43768-0.56746i,-0.15565-0.15258i,0.11846+0.044769i,0.051126-0.2124i,0.024193+0.11616i,-0.03656-0.13171i,-0.13469-0.40134i,0.015966-0.053238i,-0.12212+0.16651i
-0.0039522+0.0055318i,0.012954-0.0066267i,-0.031611+0.0087306i,0.084782-0.014896i,-0.69651+0.096217i,-0.231+0.039365i,0.13578-0.064106i,-0.10171-0.18233i,0.10701+0.063868i,-0.13228-0.06627i,-0.38319-0.14135i,-0.04719-0.060192i,0.084582+0.21657i
0.013336+0.015636i,-0.010415-0.024134i,0.003575+0.04134i,0.017276-0.09001i,-0.26163+0.65531i,-0.10508+0.21086i,0.047015-0.15224i,-0.17697-0.070241i,0.11475-0.027798i,-0.13787+0.047451i,-0.34811+0.215i,-0.086038-0.011336i,0.24142+0.070132i
0.02918+0.0034084i,-0.035495-0.010224i,0.047339+0.024722i,-0.079028-0.067133i,0.43786+0.56703i,0.11288+0.19789i,-0.089234-0.13311i,-0.15679+0.038334i,0.05021-0.083298i,-0.051983+0.118i,-0.056238+0.4211i,-0.06515+0.045996i,0.20485-0.14276i
0.023303-0.017353i,-0.03253+0.019394i,0.051138-0.022381i,-0.10378+0.028278i,0.71683-0.078708i,0.22394+0.0056418i,-0.16308-0.0063708i,-0.089902+0.087884i,-0.025285-0.063465i,0.052811+0.091069i,0.29065+0.33557i,-0.006282+0.057443i,0.0054223-0.22967i
-0.001286-0.021177i,-0.0014526+0.030063i,0.0080481-0.04756i,-0.029394+0.095869i,0.30136-0.6474i,0.12557-0.19432i,-0.10913+0.13519i,-0.034952+0.085668i,-0.048013+0.0041231i,0.091495-0.0066512i,0.45352+0.016674i,0.033547+0.013346i,-0.17848-0.11017i
-0.0014263+0.013832i,0.0069063-0.02089i,-0.018247+0.035303i,0.05077-0.076472i,-0.43118+0.55919i,-0.15259+0.18297i,0.1151-0.1369i,0.051187-0.069024i,0.018158-0.028102i,-0.011804+0.05873i,0.35477+0.39182i,-0.10907-0.024421i,0.23805+0.024869i
0.023383+0.017467i,-0.027461-0.026032i,0.03505+0.043386i,-0.055021-0.092636i,0.27422+0.6677i,0.05509+0.21593i,-0.018566-0.1625i,0.017536-0.10114i,-0.015722-0.01718i,0.038172+0.032352i,0.52952-0.0081371i,-0.089756+0.05606i,0.16258-0.16586i
0.037283-0.0026037i,-0.047322+0.0016371i,0.066853+0.00073386i,-0.12036-0.0087207i,0.72756+0.11715i,0.19607+0.059856i,-0.12018-0.074714i,-0.042927-0.12681i,-0.024026+0.028604i,0.047099-0.03345i,0.33524-0.38778i,-0.015054+0.079717i,-0.038074-0.20198i
0.025849-0.024371i,-0.032174+0.032428i,0.044631-0.048044i,-0.079487+0.090169i,0.48644-0.55525i,0.14154-0.14085i,-0.11305+0.053163i,-0.13254-0.10926i,0.018962+0.068426i,-0.0081105-0.086394i,-0.071127-0.47643i,0.040083+0.029832i,-0.17379-0.050712i
0.00084578-0.025123i,0.0026684+0.034514i,-0.009572-0.053171i,0.027776+0.10494i,-0.21633-0.69439i,-0.053701-0.20034i,-0.014259+0.11798i,-0.20639-0.017477i,0.088344+0.053472i,-0.093545-0.071843i,-0.38944-0.2261i,0.02439-0.039527i,-0.116+0.14424i
-0.012707-0.0039175i,0.022514+0.0053839i,-0.042149-0.0087468i,0.096268+0.019602i,-0.69944-0.16254i,-0.20313-0.067773i,0.083663+0.07829i,-0.19649+0.12479i,0.12271-0.022115i,-0.13799+0.014064i,-0.39917+0.1676i,-0.042201-0.058431i,0.081652+0.19728i
-0.0017978+0.01837i,0.0080389-0.026546i,-0.021116+0.042253i,0.058708-0.08376i,-0.49368+0.52743i,-0.16668+0.12479i,0.099556-0.012522i,-0.074302+0.23431i,0.078769-0.10533i,-0.092906+0.11029i,-0.11049+0.41923i,-0.090522-0.0088899i,0.23258+0.054836i
0.02218+0.020393i,-0.026125-0.030603i,0.032912+0.050732i,-0.048961-0.10549i,0.20368+0.70887i,0.015479+0.18999i,0.036778-0.061899i,0.10644+0.22489i,-0.022886-0.12447i,0.018894+0.13596i,0.25772+0.35957i,-0.070426+0.059199i,0.19087-0.15302i
0.035455+0.0013353i,-0.046515-0.0039244i,0.067559+0.0094127i,-0.12305-0.025229i,0.71995+0.20648i,0.16265+0.065906i,-0.026243-0.028446i,0.23449+0.081437i,-0.10698-0.053043i,0.11366+0.060095i,0.44331+0.045806i,0.0010163+0.077533i,-0.011826-0.2317i
0.025655-0.018983i,-0.033994+0.026429i,0.050087-0.04074i,-0.093024+0.078891i,0.55772-0.4945i,0.12904-0.12424i,-0.017548+0.040309i,0.22158-0.11549i,-0.10467+0.061214i,0.11333-0.065739i,0.32417-0.29176i,0.056679+0.025341i,-0.19295-0.10203i
0.0036439-0.020341i,-0.0021054+0.030714i,-0.0011226-0.051163i,0.010562+0.10674i,-0.12463-0.7181i,-0.054251-0.19157i,0.054895+0.058787i,0.072822-0.24299i,-0.013865+0.13198i,0.012942-0.14495i,-0.0062989-0.41681i,0.04375-0.051252i,-0.18535+0.12486i
-0.0079771-0.0022631i,0.017048+0.0058456i,-0.035419-0.013178i,0.086718+0.033362i,-0.6672-0.25118i,-0.20814-0.065324i,0.11009-0.0074041i,-0.11461-0.22619i,0.096187+0.10593i,-0.11125-0.11495i,-0.31319-0.24766i,-0.026827-0.083354i,0.0094174+0.24673i
0.0020706+0.015891i,0.0051029-0.022056i,-0.020137+0.034157i,0.062925-0.067604i,-0.54777+0.45156i,-0.17828+0.13671i,0.075261-0.10197i,-0.22503-0.09081i,0.14204+0.0073328i,-0.16286-7.0958e-06i,-0.38431+0.093863i,-0.09171-0.043482i,0.2207+0.15294i
0.022167+0.014909i,-0.024149-0.024293i,0.027207+0.043324i,-0.034274-0.096836i,0.11321+0.70919i,0.014764+0.21961i,-0.037552-0.12845i,-0.20805+0.064525i,0.094873-0.083838i,-0.10435+0.10833i,-0.17239+0.37033i,-0.094449+0.030608i,0.26131-0.075295i
0.029479-0.0040967i,-0.038646+0.00095732i,0.056559+0.0061021i,-0.10591-0.027264i,0.6705+0.27494i,0.19266+0.098054i,-0.13523-0.043651i,-0.1039+0.14852i,0.00094805-0.10009i,0.013696+0.12678i,0.17583+0.39058i,-0.035964+0.07259i,0.094675-0.23708i
0.01372-0.019744i,-0.020922+0.025841i,0.035825-0.037457i,-0.078711+0.068816i,0.58097-0.42459i,0.18784-0.12091i,-0.12655+0.09567i,0.0040655+0.13948i,-0.062138-0.040131i,0.09665+0.047004i,0.41954+0.1389i,0.029379+0.048055i,-0.13311-0.19025i
-0.0060268-0.0014264i,0.014468-0.0010997i,-0.031755+0.007019i,0.080746-0.025978i,-0.64571+0.26896i,-0.21491+0.11589i,0.14237-0.11396i,-0.0019915-0.10162i,0.053375-0.013796i,-0.052168+0.05293i,0.23079+0.47942i,-0.11811-0.048256i,0.24366+0.085454i
0.0073984+0.014809i,-0.0060857-0.023557i,0.0033542+0.041577i,0.0041696-0.093363i,-0.085559+0.7024i,-0.03406+0.23428i,0.014245-0.17608i,-0.040927-0.08504i,0.016439-0.034981i,0.0092191+0.059609i,0.51646+0.14326i,-0.11361+0.048021i,0.21693-0.13455i
0.025713+0.010217i,-0.033071-0.01583i,0.047768+0.027286i,-0.089131-0.059978i,0.56996+0.44309i,0.16765+0.14623i,-0.11872-0.11218i,-0.067336-0.075316i,-0.02051-0.0067295i,0.05293+0.0057927i,0.43989-0.28079i,-0.033201+0.09381i,0.01736-0.22999i
0.028854-0.0073591i,-0.037619+0.010763i,0.055165-0.017608i,-0.10464+0.03666i,0.6811-0.25177i,0.20464-0.071911i,-0.15094+0.032237i,-0.10932-0.061681i,-0.0094308+0.046136i,0.02971-0.06833i,0.073695-0.48625i,0.044627+0.051386i,-0.1699-0.11285i
0.014297-0.017544i,-0.015813+0.026568i,0.018784-0.044984i,-0.027543+0.097258i,0.1401-0.70257i,0.042748-0.22083i,-0.059105+0.14311i,-0.15817-0.007602i,0.051742+0.06533i,-0.053224-0.093538i,-0.30739-0.33951i,0.048279-0.03368i,-0.17104+0.10808i
-0.0016508-0.0088532i,0.0087288+0.014257i,-0.023276-0.025726i,0.064168+0.059632i,-0.52575-0.46815i,-0.16691-0.16556i,0.076818+0.13698i,-0.16217+0.095262i,0.10955+0.016635i,-0.12903-0.034483i,-0.43439+0.036272i,-0.021107-0.078559i,0.015889+0.2275i
-0.0013511+0.0098494i,0.0096129-0.013913i,-0.027066+0.021392i,0.077622-0.040076i,-0.66691+0.2259i,-0.23049+0.037224i,0.14567+0.032628i,-0.076272+0.19438i,0.10163-0.070249i,-0.12565+0.070915i,-0.23289+0.36467i,-0.09391-0.041681i,0.21873+0.13265i
0.015832+0.018732i,-0.015308-0.028773i,0.012922+0.048671i,-0.0029223-0.10308i,-0.14254+0.70587i,-0.094542+0.19423i,0.10359-0.070944i,0.079023+0.20685i,0.018018-0.12131i,-0.032303+0.13649i,0.13803+0.41887i,-0.099459+0.04024i,0.24877-0.092643i
0.032587+0.0074507i,-0.04139-0.013867i,0.057746+0.02719i,-0.099828-0.065244i,0.54167+0.50336i,0.10539+0.16019i,0.0075498-0.088103i,0.21237+0.092628i,-0.081819-0.083343i,0.083471+0.10039i,0.41095+0.17508i,-0.031643+0.089009i,0.07339-0.24361i
0.03098-0.013804i,-0.041598+0.017423i,0.062195-0.023789i,-0.11754+0.039136i,0.7225-0.18956i,0.17675-0.02492i,-0.045355-0.022807i,0.22519-0.096565i,-0.11605+0.024424i,0.12818-0.017895i,0.4-0.18369i,0.047549+0.058377i,-0.15333-0.18023i
