            3.0	           60.0	                 829	           -157.9	          0.0	            252	             -2.0	            289.7	               10	            185.4	            291.6
            3.0	           60.0	                 855	           -151.4	          5.8	            216	             -3.1	            315.9	                8	            176.4	            301.5
            3.0	           60.0	                 886	           -155.2	          1.7	            242	             -3.9	             95.4	                3	            154.2	             22.5
            3.0	           60.0	                 919	           -189.4	          3.7	            223	             -6.4	            153.7	               20	            153.3	              9.9
            3.0	           60.0	                1055	           -150.1	          0.5	            231	             -5.0	            147.2	                9	            150.8	             48.0
            3.0	           60.0	                1086	           -165.3	          3.7	            238	              0.6	            120.3	               -3	            156.9	             24.9
            3.0	           60.0	                1279	           -150.1	          5.9	            236	             -5.6	            298.6	                9	            154.0	             55.1
            3.0	           60.0	                1308	           -165.5	          2.3	            229	              0.5	            148.0	                9	            151.2	             37.0
            3.0	           60.0	                1333	           -172.7	          0.7	            236	             -2.3	            129.1	                8	            152.6	             76.8
            3.0	           60.0	                1562	           -150.7	          1.9	            239	             -2.5	            140.2	               12	            155.6	            112.9
            3.0	           60.0	                1592	           -158.7	          0.9	            218	              0.2	            293.6	               18	            169.1	            147.0
            3.0	           60.0	                1619	           -169.6	          1.6	            228	             -6.5	             94.7	               12	            146.9	             10.3
            4.0	           60.0	                 200	            -85.2	          5.2	            154	             -6.1	             88.1	               12	            115.2	              0.1
            4.0	           60.0	                 227	            -95.4	          5.4	            170	              0.8	            254.0	               11	            125.3	              3.4
            4.0	           60.0	                 253	           -100.7	          5.2	            179	              0.1	            249.2	               14	            129.9	              9.7
            4.0	           60.0	                 280	           -113.1	          2.7	            151	              1.6	            237.4	                9	            142.0	             33.7
            4.0	           60.0	                 370	           -102.8	          2.5	            329	             -2.9	             71.2	                7	            132.8	              4.4
            4.0	           60.0	                 397	           -111.7	          4.4	            318	             -6.2	             71.6	               15	            141.2	              8.3
            4.0	           60.0	                 423	           -113.1	          1.3	            321	             -1.9	             76.4	               10	            140.3	             26.1
            5.0	           60.0	                 200	            -76.8	          1.5	             20	             -6.4	            313.3	               16	            106.8	              0.3
            5.0	           60.0	                 253	            -83.3	          0.0	             44	             -4.4	            306.1	                7	            113.3	              0.2
            5.0	           60.0	                 282	           -102.0	          1.5	             12	             -5.9	            307.3	                2	            131.1	             48.6
            5.0	           60.0	                 309	           -107.9	          1.8	             21	             -3.7	            292.7	                2	            131.3	             49.0
            5.0	           60.0	                 337	           -112.6	          0.5	             18	             -7.1	            301.4	                5	            131.4	             43.7
            5.0	           60.0	                 368	           -121.9	          3.3	             28	             -5.0	            314.1	                5	            130.0	             15.7
            5.0	           60.0	                 401	           -135.0	          2.8	             26	             -7.4	            314.7	                3	            131.5	             16.2
            5.0	           60.0	                 427	           -142.2	          3.7	             30	            -11.1	            308.2	                4	            139.4	             34.7
            5.0	           60.0	                 453	           -147.0	          4.0	             24	             -4.3	            306.6	                8	            122.9	              6.4
            5.0	           60.0	                 587	           -111.8	          1.0	              8	             -1.4	            312.1	                1	            137.4	            149.1
            5.0	           60.0	                 614	           -116.4	          4.3	             25	            -10.8	            288.8	                5	            135.8	            117.7
            5.0	           60.0	                 648	           -133.6	          3.6	             27	             -7.3	            309.1	                5	            128.9	             13.1
            5.0	           60.0	                 674	           -139.1	          2.0	             10	             -3.0	            302.8	                2	            135.6	             48.1
            5.0	           60.0	                 702	           -146.4	          5.6	             24	             -1.4	            297.7	                4	            134.7	             44.4
            5.0	           60.0	                 733	           -154.1	          5.8	             26	             -1.5	            297.1	                3	            137.4	             49.0
            5.0	           60.0	                 766	           -168.9	          3.3	             19	            -11.3	            297.6	                4	            134.0	             41.0
            5.0	           60.0	                 802	           -180.5	          5.7	             16	             -7.7	            304.0	                0	            131.5	             44.3
            5.0	           60.0	                 839	           -190.9	          2.4	             34	             -5.0	            314.3	                5	            133.4	             16.9
            5.0	           60.0	                 877	           -191.6	          5.1	              1	             -4.3	            299.2	               -3	            157.7	             71.6
            5.0	           60.0	                 918	           -215.2	          0.5	             38	             -8.3	            297.7	                2	            131.7	              1.8
            5.0	           60.0	                 959	           -230.5	          0.3	             38	             -6.6	            313.1	                8	            125.3	              3.0
            5.0	           60.0	                1003	           -234.6	          0.7	             23	             -5.9	            310.2	                6	            121.9	              6.8
            5.0	           60.0	                1047	           -251.0	          5.1	             25	             -4.0	            312.3	                5	            124.7	              7.7
            6.0	           60.0	                 200	            -95.9	          0.6	            327	             -6.3	            219.4	               -3	            125.9	              5.5
            6.0	           60.0	                 232	           -102.1	          3.1	             74	              0.4	            209.2	               -2	            132.1	              8.6
            6.0	           60.0	                 262	           -108.9	          1.6	            333	             -4.8	            220.1	                3	            133.6	             28.7
            6.0	           60.0	                 295	           -122.3	          4.2	             89	             -6.6	            197.1	               -2	            152.3	              3.1
            6.0	           60.0	                 372	           -106.1	          3.3	            329	              0.0	            199.3	               15	            136.0	             17.9
            6.0	           60.0	                 403	           -110.5	          1.9	            309	             -7.2	            211.0	               -7	            140.5	              5.4
            6.0	           60.0	                 429	           -135.9	          2.9	             59	             -1.3	            194.8	                3	            165.7	             33.3
            6.0	           60.0	                 459	           -126.3	          0.5	            333	             -5.4	            212.4	               -3	            137.2	             31.4
            6.0	           60.0	                 493	           -144.3	          1.0	             63	             -1.0	            191.0	                9	            168.1	            113.8
            6.0	           60.0	                 531	           -149.9	          3.6	             66	            -11.4	            208.9	                2	            158.5	             26.4
            6.0	           60.0	                 669	           -132.7	          1.8	             72	              3.3	            213.6	               -2	            135.7	             19.4
            6.0	           60.0	                 697	           -140.8	          4.8	             75	             -5.4	            198.4	                3	            153.1	             60.5
            6.0	           60.0	                 726	           -147.3	          1.6	            331	            -10.3	            215.0	               -3	            132.9	             14.2
            6.0	           60.0	                 752	           -155.6	          1.5	            316	             -1.5	            202.1	               20	            158.0	             63.6
            6.0	           60.0	                 779	           -175.6	          2.5	             54	             -0.7	            195.0	                0	            170.1	             26.6
