0.039344+0.026897i,-0.044754-0.025421i,0.053099+0.021242i,-0.068961-0.0090662i,0.11865-0.04289i,0.505-0.73928i,-0.044111+0.19205i,0.050418-0.26854i,0.12617-0.138i,-0.090272-0.0045608i,0.1675-0.013407i,-0.015501-0.10469i,0.063849+0.098319i
-0.049691-0.018391i,0.055495+0.016215i,-0.064116-0.0111i,0.079783-0.0025585i,-0.12655+0.058326i,-0.43889+0.76567i,0.015961-0.18683i,-0.010342+0.26442i,-0.11868+0.16005i,0.10201-0.013873i,-0.18325+0.0346i,0.036535+0.083687i,-0.088007-0.072856i
0.05762+0.0063594i,-0.063661-0.0033063i,0.072374-0.0029298i,-0.087609+0.018245i,0.13104-0.077832i,0.37353-0.78347i,0.009105+0.1754i,-0.026597-0.2523i,0.10608-0.18466i,-0.10868+0.037528i,0.19335-0.061953i,-0.051195-0.055641i,0.10469+0.039403i
-0.06186+0.0083711i,0.06792-0.012428i,-0.076469+0.019916i,0.090958-0.037001i,-0.13056+0.10033i,-0.3109+0.79365i,-0.029193-0.15896i,0.058198+0.23345i,-0.086711+0.2103i,0.1082-0.064764i,-0.19549+0.093639i,0.056895+0.022622i,-0.11101-0.00036456i
0.061478-0.024502i,-0.06729+0.029619i,0.075371-0.03841i,-0.088748+0.057283i,0.124-0.12418i,0.25251-0.7978i,0.042888+0.13936i,-0.082775-0.20986i,0.059511-0.23473i,-0.099117+0.093141i,0.18805-0.12695i,-0.051836+0.012331i,0.10499-0.040786i
-0.056042+0.040415i,0.061323-0.046561i,-0.068611+0.056607i,0.080489-0.077177i,-0.11085+0.14731i,-0.19924+0.79797i,-0.049501-0.11891i,0.099421+0.18404i,-0.024252+0.25526i,0.080913-0.11969i,-0.1704+0.15861i,0.035354-0.045544i,-0.085902+0.079877i
0.045734-0.054378i,-0.050212+0.06143i,0.056398-0.072582i,-0.066409+0.094641i,0.091371-0.16756i,0.15113-0.79635i,0.049204+0.10007i,-0.10817-0.1587i,-0.018285-0.26906i,-0.054156+0.1413i,0.14316-0.18517i,-0.0081322+0.073169i,0.054576-0.11255i
-0.031359+0.064786i,0.034808-0.072536i,-0.039632+0.08455i,0.047469-0.10778i,-0.066615+0.18291i,-0.10742+0.795i,-0.043061-0.085135i,0.11+0.13634i,0.066302+0.27362i,0.020538-0.15511i,-0.10815+0.20347i,-0.027784-0.091698i,-0.01335+0.13486i
0.014267-0.070391i,-0.016534+0.078567i,0.019819-0.091125i,-0.02527+0.11513i,0.038303-0.19178i,0.066646-0.79551i,0.032906+0.07589i,-0.10674-0.11898i,-0.11712-0.26704i,0.017287+0.15896i,0.06826-0.21111i,0.069174+0.098454i,-0.034112-0.14377i
0.0038063+0.070484i,-0.0027811-0.078776i,0.0011074+0.091521i,0.0018626-0.11586i,-0.0086332+0.19329i,-0.026809+0.79879i,-0.021118-0.07336i,0.10082+0.10781i,0.16747+0.2484i,-0.055993-0.15169i,-0.027125+0.2068i,-0.112-0.091991i,0.083234+0.13768i
-0.020966-0.065014i,0.021143+0.073109i,-0.02104-0.085677i,0.020516+0.1099i,-0.019995-0.18736i,-0.014279-0.80489i,0.010304+0.077647i,-0.094915-0.10304i,-0.21384-0.21789i,0.091985+0.13335i,-0.011336-0.19055i,0.1519+0.072327i,-0.12908-0.11661i
0.007364-0.020065i,-0.0038688+0.019984i,-0.0031566-0.018618i,0.020088+0.013217i,-0.084533+0.012988i,-0.8275+0.40431i,0.1762-0.11699i,-0.2303+0.16805i,-0.13787+0.076283i,0.021754+0.013808i,-0.084276-0.0084855i,-0.10847+0.081372i,0.079595-0.085496i
-0.0031577+0.024687i,-0.00057664-0.024635i,0.0077946+0.023105i,-0.024683-0.016924i,0.08761-0.013254i,0.79183-0.46842i,-0.16128+0.13702i,0.20735-0.19675i,0.13033-0.087875i,-0.026936-0.017373i,0.09255+0.013841i,0.096194-0.091973i,-0.064086+0.097306i
-0.002856-0.029007i,0.0069101+0.028946i,-0.014398-0.027209i,0.031293+0.020215i,-0.092547+0.013871i,-0.74966+0.52962i,0.14271-0.15558i,-0.17951+0.22285i,-0.12332+0.098246i,0.034564+0.020466i,-0.10381-0.01819i,-0.080414+0.10105i,0.044609-0.10695i
0.010858+0.032211i,-0.015315-0.032062i,0.023153+0.030033i,-0.040104-0.022148i,0.09954-0.01582i,0.70099-0.58655i,-0.12036+0.17144i,0.1468-0.24492i,0.11731-0.10841i,-0.044894-0.021781i,0.11826+0.020074i,0.061005-0.10697i,-0.021126+0.11263i
-0.020643-0.033374i,0.025571+0.033014i,-0.033821-0.030562i,0.050859+0.021655i,-0.10832+0.020209i,-0.64633+0.63775i,0.094694-0.18323i,-0.10985+0.26139i,-0.11217+0.11957i,0.057529+0.019839i,-0.13537-0.01786i,-0.038617+0.10797i,-0.0055348-0.11239i
0.031586+0.031636i,-0.037015-0.030904i,0.045697+0.027853i,-0.062808-0.017752i,0.11808-0.02806i,0.58678-0.68184i,-0.066724+0.18971i,0.069934-0.27087i,0.10715-0.13283i,-0.071364-0.013296i,0.15384+0.01008i,0.014753-0.10243i,0.033613+0.10449i
-0.042676-0.026388i,0.048583+0.025097i,-0.057656-0.021246i,0.074758+0.0097494i,-0.12758+0.04008i,-0.52392+0.71781i,0.038013-0.19001i,-0.028897+0.27235i,-0.1009+0.14894i,0.084657+0.0012597i,-0.1717+0.0042286i,0.0083425+0.089343i,-0.060535-0.087874i
