0.023586-0.05245i,-0.028823+0.063344i,0.037248-0.080292i,-0.052804+0.11048i,0.090102-0.18028i,-0.28352+0.53067i,-0.28707+0.48561i,0.10513-0.15143i,-0.07167+0.077646i,0.063072-0.03408i,-0.076482-0.03645i,-0.08725-0.43822i,-0.026743+0.12492i
-0.052737+0.017067i,0.064158-0.020232i,-0.08219+0.024961i,0.11482-0.032995i,-0.19152+0.050605i,0.58226-0.13447i,0.55992-0.10161i,-0.18959+0.019621i,0.114+0.0038055i,-0.079672-0.026841i,0.049431+0.088035i,-0.18325+0.39866i,0.099245-0.077951i
0.045436+0.027218i,-0.055107-0.033683i,0.070251+0.04409i,-0.097413-0.063319i,0.16063+0.10947i,-0.47977-0.34908i,-0.44841-0.35846i,0.14454+0.13342i,-0.078794-0.093013i,0.041775+0.085219i,0.015317-0.11435i,0.37273-0.21319i,-0.12297-0.0014808i
-0.0079043-0.050092i,0.0092322+0.06148i,-0.011153-0.079549i,0.014272+0.11242i,-0.020689-0.1901i,0.048943+0.58772i,0.026326+0.57761i,0.0027625-0.20164i,-0.014865+0.12731i,0.032589-0.098221i,-0.091371+0.088835i,-0.41716-0.038548i,0.091931+0.073122i
-0.033102+0.036528i,0.040867-0.04483i,-0.053283+0.057926i,0.076084-0.081585i,-0.13052+0.13705i,0.41207-0.41878i,0.41811-0.40318i,-0.15364+0.13554i,0.10603-0.079309i,-0.097354+0.050344i,0.13653-0.012013i,0.31342+0.26075i,-0.027892-0.10569i
0.04895+0.0031064i,-0.060267-0.003654i,0.078234+0.0045937i,-0.11096-0.0064742i,0.18838+0.011412i,-0.5855-0.039389i,-0.57986-0.047505i,0.20504+0.022888i,-0.13271-0.022904i,0.10844+0.033571i,-0.11838-0.082809i,-0.11163-0.38009i,-0.034913+0.092122i
-0.028919-0.040517i,0.035847+0.049477i,-0.046814-0.063718i,0.066711+0.089716i,-0.11357-0.15146i,0.35267+0.4696i,0.34677+0.46686i,-0.12028-0.1678i,0.074373+0.11331i,-0.054022-0.10253i,0.037212+0.14549i,-0.11196+0.36821i,0.069949-0.049127i
-0.01253+0.049287i,0.014813-0.060374i,-0.018452+0.077959i,0.025136-0.10997i,-0.041161+0.18575i,0.12464-0.57475i,0.1229-0.56778i,-0.045177+0.20117i,0.033049-0.13183i,-0.035717+0.11201i,0.069753-0.13812i,0.28553-0.24241i,-0.070936+0.0033697i
0.045987-0.023294i,-0.055851+0.028778i,0.071511-0.037474i,-0.10006+0.053295i,0.16777-0.090713i,-0.51615+0.28261i,-0.50849+0.28061i,0.18072-0.099567i,-0.12025+0.064806i,0.10661-0.053472i,-0.14714+0.059123i,-0.36242+0.050688i,0.050229+0.025568i
-0.047732-0.019035i,0.058253+0.022939i,-0.074979-0.029135i,0.10551+0.040423i,-0.17799-0.067157i,0.55113+0.20446i,0.5465+0.19892i,-0.19536-0.069566i,0.13036+0.045302i,-0.1148-0.039117i,0.15276+0.053384i,0.32801+0.14751i,-0.026308-0.034241i
0.01644+0.047609i,-0.020238-0.058095i,0.026337+0.074776i,-0.037596-0.10523i,0.064638+0.1775i,-0.20535-0.54927i,-0.21095-0.54362i,0.07921+0.19344i,-0.056612-0.12782i,0.054781+0.1104i,-0.082217-0.14206i,-0.19685-0.2967i,0.010354+0.031927i
