-0.040448+0.018217i,0.04793-0.021476i,-0.059985+0.027288i,0.083844-0.04024i,-0.16145+0.087876i,-0.6462+0.45658i,0.070617-0.082903i,-0.024208+0.072153i,0.016082-0.13631i,0.11195-0.35995i,-0.082859+0.085402i,0.22908-0.060329i,0.034693+0.044737i
0.028112+0.0016745i,-0.034349-0.0051287i,0.044846+0.011354i,-0.066748-0.02497i,0.14231+0.0729i,0.68306+0.44792i,-0.10678-0.080296i,0.077202+0.051309i,-0.13205-0.035346i,-0.38272+0.093539i,0.11909-0.074399i,-0.1607+0.19268i,0.042939+0.063179i
-0.01161-0.036691i,0.01113+0.043666i,-0.0098414-0.055555i,0.0064188+0.080715i,0.0065669-0.16862i,0.13334-0.79823i,-0.03185+0.12381i,0.017267-0.087826i,0.017105+0.13811i,0.19688+0.32308i,-0.068669-0.061033i,-0.019802-0.069323i,-0.15248-0.15961i
-0.008189+0.052821i,0.014043-0.056714i,-0.024687+0.062093i,0.048309-0.071217i,-0.13315+0.097538i,-0.80768+0.16504i,0.15094+0.020576i,-0.11273-0.027591i,0.14734-0.01312i,0.22687-0.34942i,-0.044161+0.16646i,0.15913-0.18133i,0.12664+0.15388i
0.023252-0.026483i,-0.027925+0.024233i,0.035768-0.018535i,-0.052154+0.0029395i,0.10897+0.06097i,0.51566+0.69541i,-0.081088-0.17625i,0.061452+0.15217i,-0.11371-0.18322i,-0.34571-0.035624i,0.10612-0.11933i,-0.13158+0.27891i,0.042362-0.04006i
-0.022327-0.015602i,0.021214+0.020242i,-0.018061-0.02903i,0.0091111+0.049445i,0.027832-0.12618i,0.40687-0.75371i,-0.10681+0.14758i,0.089684-0.12272i,-0.096004+0.18699i,0.023859+0.30972i,-0.059272-0.013981i,-0.019317-0.12236i,-0.19342-0.062312i
0.011883+0.026276i,-0.0074314-0.027151i,-0.0016979+0.027903i,0.023904-0.028184i,-0.1091+0.025973i,-0.87121-0.065695i,0.19471+0.039486i,-0.16361-0.036808i,0.22277+0.025692i,0.27901-0.12381i,-0.01232+0.080095i,0.10431-0.11721i,0.19276+0.045633i
-0.01152-0.0028259i,0.010363-0.0011801i,-0.0075789+0.0094278i,9.6978e-05-0.029675i,0.030514+0.10824i,0.33435+0.80399i,-0.085555-0.17669i,0.077798+0.15016i,-0.11133-0.20771i,-0.13647-0.22478i,-0.00398-0.044679i,-0.001739+0.21638i,-0.071963+0.034886i
0.022332-0.0085315i,-0.02727+0.011846i,0.03573-0.01841i,-0.053637+0.03419i,0.11593-0.094874i,0.56526-0.60876i,-0.088839+0.1253i,0.061989-0.10605i,-0.095728+0.15598i,-0.25162+0.21616i,0.082659+0.011919i,-0.17425-0.13175i,-0.042784-0.024332i
-0.019278-0.019384i,0.025354+0.022344i,-0.036076-0.02709i,0.059385+0.03655i,-0.14222-0.06802i,-0.77499-0.26913i,0.13582+0.032648i,-0.10189-0.01981i,0.1516+0.040878i,0.3263+0.15902i,-0.085707-0.049255i,0.18683-0.0073597i,0.079554-0.11198i
-0.012398+0.051146i,0.012587-0.058654i,-0.012497+0.071125i,0.011565-0.09697i,-0.0064753+0.18605i,0.07147+0.78859i,-0.027018-0.10854i,0.023861+0.073229i,-0.019328-0.13i,0.056249-0.37859i,-0.038639+0.08789i,0.030825+0.069997i,-0.061451+0.21357i
-0.009467-0.0056193i,0.0060281+0.0013021i,0.00091734+0.0067035i,-0.017566-0.024417i,0.08056+0.086427i,0.63669+0.57548i,-0.13943-0.10222i,0.11316+0.053182i,-0.14436+0.018138i,-0.1537+0.39188i,0.0047055-0.16617i,-0.11547+0.17679i,-0.1753-0.12221i
0.03066+0.039421i,-0.034768-0.036347i,0.041005+0.028885i,-0.052391-0.0090317i,0.085662-0.070593i,0.22454-0.85794i,0.0084925+0.21657i,-0.046146-0.18074i,0.12743+0.19649i,0.3504-0.063377i,-0.077501+0.17071i,0.079768-0.32901i,0.0088657+0.085998i
-0.012482-0.044373i,0.01892+0.047464i,-0.030509-0.050853i,0.055861+0.054085i,-0.14517-0.053237i,-0.82563+0.14917i,0.14057-0.1031i,-0.087382+0.12577i,0.065535-0.211i,-0.076199-0.27712i,0.050594-0.031864i,0.047811+0.17398i,0.16568-0.014798i
-0.027703+0.014109i,0.027165-0.020729i,-0.024656+0.032087i,0.016209-0.05582i,0.022252+0.1361i,0.45865+0.713i,-0.13558-0.10797i,0.13166+0.053818i,-0.19763-0.0091092i,-0.27283+0.18345i,0.016452-0.07949i,-0.10471+0.10804i,-0.1889-0.005291i
0.051774+0.01699i,-0.058796-0.013864i,0.069471+0.0070956i,-0.089185+0.0099947i,0.14852-0.077278i,0.4296-0.70841i,-0.0063186+0.16882i,-0.043562-0.14659i,0.11062+0.19771i,0.19979+0.18205i,-0.0055041+0.05637i,-0.010582-0.22349i,0.078047-0.036722i
-0.042251-0.026275i,0.05014+0.030237i,-0.063166-0.035939i,0.089705+0.04556i,-0.17874-0.070787i,-0.77007-0.13945i,0.099901-0.025549i,-0.053205+0.059382i,0.067638-0.13631i,0.21125-0.28139i,-0.090572+0.017608i,0.19809+0.10202i,0.020111+0.038441i
0.0086982+0.025496i,-0.0097756-0.032953i,0.011626+0.045578i,-0.015747-0.071831i,0.031515+0.16108i,0.15924+0.7942i,-0.033071-0.11901i,0.039185+0.06898i,-0.10625-0.064704i,-0.39402-0.052544i,0.13563-0.0051036i,-0.23274+0.062193i,-0.022691+0.075115i
0.026918-0.027992i,-0.03322+0.032076i,0.043886-0.038889i,-0.06602+0.053194i,0.14088-0.10356i,0.65452-0.46006i,-0.089703+0.071414i,0.04285-0.059174i,-0.0174+0.12425i,0.065892+0.37782i,-0.027796-0.085719i,0.022313-0.07372i,-0.011203-0.21075i
