0.009182-0.020568i,-0.014688+0.018786i,0.026147-0.01447i,-0.060415+0.00098489i,0.72134+0.24909i,0.12721+0.063885i,-0.095907-0.032403i,0.45935-0.24478i,0.029489-0.10751i,-0.0076817+0.099667i,-0.034699+0.015844i,0.011736+0.066622i,-0.0087146-0.090568i
-0.030895+0.0060343i,0.035614-0.0022415i,-0.04452-0.0062807i,0.069463+0.033037i,-0.53819-0.56067i,-0.064087-0.11741i,0.047562+0.089872i,-0.44873-0.29745i,-0.08744+0.020915i,0.068971-0.045967i,0.011465-0.038527i,0.044882-0.029994i,-0.063509+0.047748i
0.029495+0.025167i,-0.032547-0.031214i,0.037402+0.043367i,-0.048464-0.079043i,0.21897+0.76466i,-0.008491+0.11683i,0.025206-0.088146i,-0.042895+0.54042i,0.038642+0.060404i,-0.05496-0.024074i,-0.044725+0.071588i,-0.036928-0.032804i,0.063169+0.031309i
0.0010883-0.043505i,-0.0013877+0.051127i,0.0027818-0.06526i,-0.0093559+0.10354i,0.17792-0.79183i,0.050613-0.081369i,-0.061633+0.036223i,0.48385-0.21729i,0.050921-0.046463i,-0.0059159+0.038201i,0.11332-0.050758i,-0.023818+0.051233i,0.0037091-0.06712i
-0.036329+0.027128i,0.041059-0.033953i,-0.049976+0.046293i,0.075029-0.078058i,-0.54747+0.60985i,-0.059657+0.050908i,0.041732+0.0081288i,-0.39779-0.31386i,-0.072168-0.045134i,0.037712+0.01237i,-0.14694-0.035923i,0.06953-0.001074i,-0.065918+0.024564i
0.042427+0.013143i,-0.050451-0.010092i,0.065079+0.0041651i,-0.10362+0.011367i,0.77246-0.25999i,0.067617-0.041252i,-0.0086339-0.0027854i,-0.10537+0.4676i,-0.0092952+0.10904i,0.0027893-0.064452i,0.09728+0.13001i,-0.044887-0.069399i,0.057155+0.052505i
-0.010848-0.040258i,0.018938+0.042325i,-0.034318-0.045256i,0.075556+0.051403i,-0.78349-0.14697i,-0.098221+0.026118i,0.018392-0.028747i,0.45204-0.085159i,0.11552-0.064531i,-0.079612+0.048687i,0.010025-0.1561i,-0.035256+0.08609i,0.018044-0.084075i
-0.029121+0.02626i,0.024129-0.031966i,-0.013342+0.042087i,-0.018418-0.067584i,0.59717+0.48455i,0.13001+0.030198i,-0.070173+0.022129i,-0.24834-0.38641i,-0.1366-0.05875i,0.11204+0.037635i,-0.095457+0.094494i,0.097111-0.023303i,-0.087407+0.032936i
0.036049+0.017204i,-0.035009-0.010918i,0.031245-0.0018682i,-0.016708+0.037905i,-0.29741-0.67541i,-0.1106-0.12135i,0.097921+0.050028i,-0.27332+0.39508i,0.043132+0.14994i,-0.054871-0.12414i,0.098865-0.0014773i,-0.078357-0.067686i,0.080647+0.057288i
0.001903-0.045865i,-0.00055068+0.041055i,-0.0014851-0.029584i,0.0049973-0.0068832i,-0.024986+0.71397i,0.014282+0.18707i,-0.040865-0.13363i,0.50854+0.090487i,0.085267-0.12756i,-0.055489+0.13312i,-0.034882-0.042858i,-0.010397+0.10461i,0.0016974-0.1024i
-0.050675+0.02454i,0.048737-0.02094i,-0.043382+0.011984i,0.025516+0.017988i,0.31938-0.63238i,0.11614-0.16273i,-0.079687+0.13894i,-0.16008-0.53256i,-0.14051+0.016459i,0.13334-0.052124i,-0.022422+0.0087895i,0.092689-0.051205i,-0.086858+0.057618i
0.0011187+0.022828i,-0.0075723-0.027433i,0.020056+0.036093i,-0.053776-0.059651i,0.63038+0.48004i,0.085414+0.050919i,-0.01508-0.017665i,-0.46778+0.0084952i,-0.11745-0.0021825i,0.067019+0.00044332i,-0.17433+0.0114i,0.089393-0.0028895i,-0.087418-0.008639i
0.010759-0.012151i,-0.0077408+0.019336i,0.0015184-0.033112i,0.016111+0.070335i,-0.32753-0.71279i,-0.061214-0.087845i,0.025758+0.015311i,0.19155+0.41885i,0.068521+0.10507i,-0.040196-0.06625i,0.14879+0.091971i,-0.068376-0.065865i,0.058395+0.075524i
-0.0075501-0.00036993i,0.0085422-0.0068993i,-0.010051+0.021361i,0.012925-0.061666i,-0.039826+0.77394i,0.014091+0.11775i,-0.030779-0.04264i,0.31235-0.34789i,0.047652-0.11798i,-0.035183+0.07897i,-0.061258-0.14689i,-0.0016823+0.092758i,0.017764-0.095462i
-0.0034064+0.00010585i,-0.00051124+0.0053483i,0.008243-0.016615i,-0.029276+0.049551i,0.38558-0.66429i,0.053761-0.11723i,-0.0027089+0.073838i,-0.46417-0.14498i,-0.11905+0.026902i,0.088973-0.020149i,-0.025779+0.12624i,0.063889-0.053444i,-0.081042+0.045439i
0.0047781+0.012555i,0.00058542-0.015662i,-0.011758+0.021995i,0.044331-0.041013i,-0.6442+0.41723i,-0.11404+0.070774i,0.061798-0.064093i,0.078314+0.50366i,0.079374+0.076441i,-0.069234-0.05729i,0.057261-0.067595i,-0.066356-0.014934i,0.076946+0.033714i
0.011005-0.020364i,-0.017019+0.021269i,0.029435-0.022505i,-0.066249+0.025279i,0.77059-0.079435i,0.13193+0.005427i,-0.095509+0.0047282i,0.42556-0.31493i,0.022669-0.090872i,-0.0035937+0.08144i,-0.037952+0.034252i,0.014649+0.048064i,-0.011532-0.071733i
-0.030322+0.0073808i,0.036607-0.0058248i,-0.048775+0.0018755i,0.083322+0.011568i,-0.7322-0.29035i,-0.099266-0.070996i,0.070042+0.060258i,-0.48851-0.22682i,-0.076322+0.012153i,0.056997-0.035002i,0.023612-0.049739i,0.032522-0.018779i,-0.05081+0.036554i
0.030209+0.020982i,-0.035699-0.02562i,0.045575+0.035051i,-0.071332-0.063173i,0.51733+0.61255i,0.043917+0.096663i,-0.0086436-0.078656i,0.036019+0.53253i,0.027586+0.064381i,-0.041383-0.027126i,-0.058703+0.073908i,-0.022783-0.034507i,0.048836+0.032436i
-0.0036562-0.039201i,0.0063047+0.046642i,-0.010787-0.060615i,0.02095+0.098942i,-0.15993-0.79525i,-0.001632-0.089969i,-0.032094+0.046844i,0.43715-0.27316i,0.063262-0.047665i,-0.018192+0.035633i,0.12492-0.046829i,-0.034828+0.046446i,0.014245-0.061625i
-0.02854+0.026532i,0.030459-0.034646i,-0.033949+0.049676i,0.044004-0.089409i,-0.24794+0.77213i,-0.020536+0.081254i,0.025333-0.012802i,-0.41751-0.25439i,-0.086774-0.049887i,0.048088+0.019576i,-0.15531-0.043659i,0.076575+0.0068847i,-0.071952+0.016448i
0.035275+0.0086691i,-0.04142-0.0030405i,0.052508-0.0079642i,-0.081506+0.037778i,0.58344-0.54565i,0.047278-0.083461i,-0.0042203+0.018715i,-0.05491+0.4601i,0.002514+0.12353i,-0.0038098-0.076625i,0.10181+0.14089i,-0.04819-0.079403i,0.059578+0.061859i
-0.0074171-0.032618i,0.015152+0.031483i,-0.029908-0.028206i,0.069569+0.017167i,-0.75135+0.19464i,-0.09789+0.071874i,0.021003-0.047763i,0.43318-0.12244i,0.11501-0.085719i,-0.080539+0.063989i,0.011471-0.1689i,-0.036987+0.097386i,0.019954-0.09433i
-0.028378+0.018395i,0.022133-0.021172i,-0.0088934+0.025601i,-0.029662-0.035289i,0.72916+0.16846i,0.14975-0.011702i,-0.078504+0.039879i,-0.27975-0.36169i,-0.1506-0.041436i,0.1224+0.024956i,-0.10447+0.10516i,0.10538-0.032789i,-0.095189+0.04165i
0.032361+0.023736i,-0.028882-0.019369i,0.020333+0.010347i,0.0075485+0.015073i,-0.56095-0.45839i,-0.14854-0.092129i,0.11459+0.035098i,-0.23598+0.42254i,0.064519+0.14641i,-0.071037-0.12054i,0.11302-0.0046904i,-0.091442-0.064803i,0.093097+0.05464i
