0.034624-0.017435i,-0.040915+0.019505i,0.050353-0.022276i,-0.066265+0.026306i,0.099371-0.033196i,-0.21361+0.051532i,-0.87425+0.080032i,0.13937+0.025607i,-0.10049-0.078809i,-0.04917-0.087375i,0.019113+0.0027896i,-0.042188+0.025256i,0.26699-0.14386i
0.0063355-0.017374i,-0.0082978+0.022249i,0.011367-0.029962i,-0.016704+0.043661i,0.027939-0.073554i,-0.066043+0.18072i,-0.27964+0.86089i,0.033594-0.16029i,0.032265+0.11672i,0.16723-0.035456i,-0.084866+0.057182i,0.092117-0.067864i,-0.31043+0.17084i
-0.017914-0.025227i,0.022267+0.029697i,-0.028981-0.036387i,0.040558+0.047645i,-0.064938-0.07103i,0.14872+0.15161i,0.63152+0.61487i,-0.090311-0.096662i,-0.00011471+0.067403i,-0.18525+0.028399i,0.099986-0.0096685i,-0.10479+0.021807i,0.32396-0.12204i
-0.033161+0.0096183i,0.039174-0.011377i,-0.048184+0.014077i,0.063353-0.018781i,-0.094855+0.029012i,0.20332-0.066347i,0.82776-0.30938i,-0.13055+0.06534i,0.092053-0.085512i,0.044762-0.10643i,-0.019635+0.03587i,0.044221-0.035957i,-0.27769+0.12346i
0.0075706+0.032307i,-0.0078385-0.038871i,0.0079494+0.048782i,-0.0076112-0.065521i,0.0057897+0.10012i,0.0040399-0.21734i,0.112-0.86763i,-0.039463+0.11567i,0.043362-0.0017044i,-0.020295+0.18885i,0.041662-0.088089i,-0.068612+0.074127i,0.30372-0.14604i
0.0094532+0.011906i,-0.01316-0.014646i,0.019246+0.018917i,-0.03046-0.026421i,0.055828+0.04273i,-0.14989-0.10151i,-0.78818-0.47778i,0.16619+0.093994i,-0.15198-0.095003i,-0.012278-0.067079i,-0.05439+0.011604i,0.08528-0.012441i,-0.32321+0.086705i
0.04268-0.015075i,-0.049517+0.018293i,0.05943-0.023207i,-0.075448+0.031631i,0.10705-0.049395i,-0.20934+0.11119i,-0.70675+0.47768i,0.06317-0.078409i,0.047032+0.048671i,0.1352-0.011128i,-0.020627+0.012369i,-0.028438-0.0035488i,0.27979-0.067449i
-0.02157-0.025439i,0.023956+0.030977i,-0.027086-0.039529i,0.031509+0.05439i,-0.038765-0.086235i,0.056926+0.19899i,0.063825+0.89205i,0.036888-0.15887i,-0.092829+0.12206i,-0.07645+0.012056i,-0.015932+0.026072i,0.057631-0.031901i,-0.30642+0.092153i
-0.012122-0.015807i,0.016546+0.018583i,-0.023717-0.022631i,0.036745+0.029181i,-0.065765-0.042014i,0.1716+0.082731i,0.86822+0.27009i,-0.17182-0.015008i,0.133-0.054771i,-0.044969-0.13459i,0.07701+0.041853i,-0.10281-0.020229i,0.34424-0.042894i
-0.031281+0.026918i,0.03627-0.031998i,-0.043591+0.039561i,0.055643-0.052129i,-0.080095+0.077642i,0.1625-0.16239i,0.60944-0.60879i,-0.084301+0.069175i,0.049876+0.025789i,0.039609+0.15693i,-0.031709-0.058711i,0.060032+0.034841i,-0.3067+0.023429i
