0.018083-0.044046i,-0.021176+0.052389i,0.025614-0.064539i,-0.032557+0.083844i,0.045073-0.11919i,-0.074836+0.20442i,0.24351-0.69265i,0.17336-0.51846i,-0.06147+0.19436i,0.041178-0.12937i,0.049261+0.0045016i,-0.010756-0.046244i,0.034546+0.02575i
-0.015181+0.045819i,0.017797-0.054398i,-0.021562+0.066865i,0.027472-0.086627i,-0.038173+0.12271i,0.06375-0.2095i,-0.20952+0.70535i,-0.15198+0.52297i,0.056134-0.19289i,-0.042048+0.12351i,-0.071313-0.026078i,0.012803+0.045452i,-0.029897-0.017549i
0.012275-0.04744i,-0.014415+0.056233i,0.017505-0.068987i,-0.02238+0.089161i,0.031258-0.12591i,-0.05262+0.21407i,0.17522-0.71649i,0.13006-0.52641i,-0.050249+0.19096i,0.041523-0.11685i,0.084003+0.053676i,-0.012446-0.046618i,0.022162+0.012391i
-0.0094337+0.048832i,0.011103-0.057808i,-0.013527+0.070808i,0.017376-0.091333i,-0.024439+0.12865i,0.041582-0.21796i,-0.14082+0.72589i,-0.10748+0.52903i,0.043586-0.18893i,-0.039181+0.11014i,-0.086292-0.084386i,0.0098557+0.049521i,-0.01201-0.010544i
0.0067068-0.049921i,-0.0079181+0.059041i,0.0096911-0.072234i,-0.012532+0.093038i,0.017802-0.1308i,-0.030743+0.22104i,0.10649-0.73333i,0.084161-0.53107i,-0.036002+0.18718i,0.034802-0.10415i,0.078208+0.115i,-0.0054046-0.05381i,0.00029744+0.012042i
-0.0041283+0.050643i,0.0048982-0.059861i,-0.0060401+0.073187i,0.0078987-0.094185i,-0.011406+0.13226i,0.020176-0.22317i,-0.072361+0.73864i,-0.060089+0.53271i,0.027452-0.18601i,-0.028387+0.099572i,-0.060861-0.14233i,-0.0003548+0.059042i,0.011985-0.016702i
0.0017148-0.050954i,-0.0020614+0.060219i,0.0025947-0.073611i,-0.0034982+0.094708i,0.005277-0.13296i,-0.0099153+0.22425i,0.038517-0.74172i,0.035312-0.53411i,-0.017983+0.18566i,0.020144-0.09696i,0.036333+0.16358i,0.006728-0.064733i,-0.02378+0.024137i
0.00053223+0.05083i,-0.00059063-0.060088i,0.00064382+0.073475i,-0.00066776-0.094576i,0.00058239+0.13286i,-3.3054e-05-0.22425i,-0.0050006+0.74248i,-0.0099346+0.53535i,0.0077274-0.18629i,-0.010458+0.096674i,-0.0074766-0.17661i,-0.012933+0.070404i,0.034036-0.033794i
-0.0026236-0.050274i,0.0030703+0.059472i,-0.0036896-0.072785i,0.0046158+0.093793i,-0.0061921-0.13195i,0.0096908+0.22316i,-0.028178-0.74093i,-0.015897-0.53643i,0.0031189+0.1879i,-0.00015337-0.098832i,-0.022375+0.18017i,0.018166-0.075623i,-0.041784+0.044998i
0.0045782+0.049318i,-0.0053991-0.058406i,0.0065675+0.071581i,-0.008375-0.092404i,0.011586+0.1303i,-0.019097-0.22105i,0.06103+0.73715i,0.042008+0.53727i,-0.01432-0.19038i,0.011103+0.10329i,0.049749-0.17401i,-0.021671+0.080038i,0.04621-0.056991i
-0.0064191-0.048021i,0.0076033+0.056955i,-0.0093077-0.069933i,0.011981+0.090491i,-0.016807-0.12799i,0.028298+0.21803i,-0.093576-0.73127i,-0.068211-0.53768i,0.025626+0.19351i,-0.021801-0.10966i,-0.071388+0.15888i,0.022807-0.083396i,-0.046719+0.068983i
-0.033624+0.032314i,0.039559-0.038867i,-0.048099+0.048511i,0.061483-0.064002i,-0.085615+0.092674i,0.14287-0.16255i,-0.46559+0.56616i,-0.32773+0.43852i,0.10912-0.1713i,-0.048902+0.11766i,0.13537-0.053524i,-0.039882+0.076109i,0.0072083-0.09159i
0.032274-0.033864i,-0.037913+0.040674i,0.046011-0.050684i,-0.058678+0.066748i,0.081475-0.096454i,-0.13546+0.1688i,0.43932-0.58664i,0.30724-0.45364i,-0.10144+0.17744i,0.045378-0.1243i,-0.11308+0.025191i,0.030078-0.068595i,0.0059355+0.079943i
-0.030533+0.035549i,0.035829-0.042624i,-0.043427+0.053008i,0.055301-0.069645i,-0.076648+0.10037i,0.12716-0.17511i,-0.41139+0.60639i,-0.28702+0.46716i,0.094832-0.18229i,-0.044099+0.12894i,0.083769-0.0025973i,-0.020533+0.060997i,-0.01664-0.066754i
0.028434-0.03736i,-0.033348+0.044706i,0.040395-0.05547i,-0.051405+0.072683i,0.0712-0.10441i,-0.11806+0.18144i,0.38195-0.62535i,0.26702-0.47904i,-0.089127+0.18578i,0.044617-0.13127i,-0.050033-0.011819i,0.011793-0.054045i,0.024324+0.053059i
-0.026035+0.039269i,0.030531-0.046892i,-0.036983+0.058039i,0.04707-0.075824i,-0.065226+0.10853i,0.10827-0.18776i,-0.35119+0.64346i,-0.24708+0.48929i,0.084064-0.18792i,-0.046316+0.13124i,0.014965+0.016515i,-0.0043826+0.048362i,-0.028587-0.03988i
0.023406-0.041233i,-0.027459+0.049134i,0.033281-0.06066i,-0.042399+0.079007i,0.058847-0.11266i,-0.097953+0.19397i,0.31934-0.6606i,0.22705-0.498i,-0.079323+0.18883i,0.048481-0.12896i,0.018158-0.010986i,-0.0012449-0.044415i,0.029245+0.028166i
-0.020624+0.043192i,0.024216-0.051364i,-0.029386+0.063259i,0.037504-0.082147i,-0.052196+0.1167i,0.087265-0.19997i,-0.28664+0.67659i,-0.20672+0.5053i,0.074564-0.18873i,-0.050377+0.12481i,-0.046223-0.0041874i,0.004755+0.042489i,-0.026354-0.018723i
0.017768-0.045075i,-0.020889+0.053504i,0.025396-0.065747i,-0.032498+0.085142i,0.045407-0.12053i,-0.076373+0.20559i,0.25334-0.69124i,0.1859-0.51138i,-0.069454+0.18789i,0.051318-0.11932i,0.066608+0.027416i,-0.0059732-0.042672i,0.02021+0.012172i
-0.014909+0.046801i,0.01756-0.055463i,-0.021403+0.068022i,0.027486-0.087878i,-0.038602+0.12403i,0.06543-0.2107i,-0.21966+0.70435i,-0.16444+0.51647i,0.063709-0.18667i,-0.050737+0.11317i,-0.077466-0.056281i,0.0049141+0.044862i,-0.011347-0.0089146i
0.012109-0.048287i,-0.014297+0.05715i,0.017484-0.069983i,-0.022558+0.090237i,0.031889-0.12704i,-0.054567+0.21511i,0.18581-0.7157i,0.14222-0.5208i,-0.057112+0.18544i,0.048241-0.10712i,0.077924+0.087791i,-0.0017937-0.048795i,0.00050393+0.0091138i
-0.0094176+0.049455i,0.011155-0.05848i,-0.013701+0.071532i,0.017783-0.09211i,-0.025349+0.12946i,0.043886-0.21868i,-0.15196+0.72508i,-0.11915+0.52461i,0.049531-0.18454i,-0.043642+0.10192i,-0.068191-0.11871i,-0.002976+0.054077i,0.011416-0.012696i
0.0068672-0.050241i,-0.0081705+0.059379i,0.010096-0.072589i,-0.01321+0.093404i,0.019038-0.13116i,-0.033456+0.22128i,0.11823-0.73232i,0.095248-0.52808i,-0.040932+0.18429i,0.036968-0.098239i,0.049543+0.14588i,0.0088117-0.060229i,-0.023403+0.019363i
-0.0044769+0.050598i,0.0053638-0.059798i,-0.0066898+0.073098i,0.0088628-0.094057i,-0.012984+0.13207i,0.023314-0.22281i,-0.084689+0.73731i,-0.07055+0.53135i,0.031372-0.18491i,-0.028454+0.096607i,-0.024206-0.16659i,-0.015001+0.066736i,0.034408-0.028624i
0.0022517-0.050507i,-0.0027402+0.059714i,0.0034885-0.073034i,-0.0047463+0.09404i,0.0071926-0.13217i,-0.013466+0.22325i,0.051394-0.73998i,0.045164-0.53448i,-0.020986+0.18652i,0.018504-0.097333i,-0.0048688+0.17879i,0.020758-0.073096i,-0.043418+0.039831i
-0.00018564+0.049974i,0.00029206-0.059137i,-0.00048223+0.072409i,0.00084824-0.093365i,-0.0016473+0.13146i,0.0038944-0.2226i,-0.018354+0.74034i,-0.019236+0.53744i,0.0099756-0.1891i,-0.0076473+0.10048i,0.034304-0.18138i,-0.025294+0.078858i,0.049531-0.052223i
-0.0017351-0.049041i,0.0019971+0.058111i,-0.0023489-0.07127i,0.0028556+0.092088i,-0.0036814-0.13001i,0.005436+0.22093i,-0.014439-0.73849i,-0.0070604-0.54013i,0.0014241+0.19251i,-0.0035245-0.10586i,-0.060643+0.17423i,0.027884-0.083657i,-0.052026+0.064982i
-0.03695+0.029011i,0.043577-0.034944i,-0.053135+0.043682i,0.068155-0.057728i,-0.09531+0.08374i,0.15991-0.14715i,-0.52494+0.51335i,-0.37341+0.39792i,0.12655-0.15502i,-0.059657+0.10414i,0.15107-0.074216i,-0.049946+0.076769i,0.018519-0.093306i
0.036005-0.030548i,-0.042389+0.036754i,0.051578-0.045889i,-0.065985+0.060561i,0.091976-0.08772i,-0.15367+0.15391i,0.50161-0.53627i,0.35397-0.4156i,-0.11848+0.16256i,0.054509-0.11233i,-0.13661+0.043465i,0.040923-0.069742i,-0.0049682+0.082908i
-0.034663+0.032219i,0.040756-0.038707i,-0.049515+0.048243i,0.063228-0.063543i,-0.087932+0.091832i,0.1465-0.16072i,-0.47648+0.5585i,-0.33474+0.43184i,0.11153-0.16898i,-0.05181+0.11894i,0.11355-0.015957i,-0.031777+0.062092i,-0.006552-0.070416i
0.032937-0.034032i,-0.038694+0.040809i,0.046963-0.050755i,-0.059904+0.066684i,0.083204-0.096089i,-0.13843+0.16759i,0.44963-0.58005i,0.31571-0.44654i,-0.1056+0.17414i,0.051287-0.12353i,-0.083837-0.0053052i,0.023007-0.054605i,0.015408+0.05685i
-0.030862+0.035976i,0.036242-0.043051i,-0.04397+0.053411i,0.056066-0.069971i,-0.077857+0.10048i,0.12955-0.1745i,-0.42122+0.60086i,-0.29679+0.45966i,0.10051-0.17797i,-0.052456+0.12584i,0.050152+0.018011i,-0.015134+0.048003i,-0.02112-0.043269i
0.028492-0.038024i,-0.03346+0.045399i,0.040603-0.056177i,-0.051796+0.073364i,0.071989-0.10495i,-0.11998+0.1814i,0.39144-0.62086i,0.27786-0.47121i,-0.095987+0.1805i,0.054678-0.12582i,-0.015631-0.020774i,0.0086489-0.042884i,0.023395+0.030692i
-0.025894+0.040127i,0.030425-0.047803i,-0.036949+0.058995i,0.047192-0.076796i,-0.065717+0.10942i,0.10988-0.1882i,-0.3605+0.63991i,-0.25872+0.48128i,0.091702-0.18187i,-0.057225+0.12366i,-0.016461+0.013267i,-0.0039642+0.039686i,-0.022163-0.020033i
0.023143-0.042221i,-0.027219+0.05019i,0.033101-0.061783i,-0.042363+0.080177i,0.059171-0.1138i,-0.099403+0.19476i,0.32866-0.65783i,0.23918-0.49003i,-0.087313+0.18229i,0.059361-0.11973i,0.043079+0.0037626i,0.0013673-0.038651i,0.017587+0.012043i
-0.020312+0.044227i,0.023925-0.052473i,-0.029156+0.064444i,0.03742-0.083396i,-0.052483+0.11795i,0.08871-0.20094i,-0.29614+0.67441i,-0.21906+0.49764i,0.082492-0.18206i,-0.060409+0.11461i,-0.061716-0.028576i,-0.00098083+0.039825i,-0.010066-0.0072653i
0.017474-0.046057i,-0.020624+0.054556i,0.025202-0.066871i,-0.032467+0.08633i,0.045774-0.12173i,-0.077954+0.20656i,0.26319-0.68944i,0.19819-0.50434i,-0.076956+0.18156i,0.059819-0.10899i,0.070681+0.058639i,0.0027375-0.043061i,0.00021875+0.0060036i
-0.014691+0.047624i,0.017386-0.056341i,-0.021319+0.068955i,0.027594-0.088858i,-0.039151+0.12501i,0.067267-0.21146i,-0.22999+0.70268i,-0.17645+0.51038i,0.070494-0.18113i,-0.057219+0.10363i,-0.06928-0.090891i,-0.0063706+0.048049i,0.011148-0.0083135i
0.012013-0.048847i,-0.014266+0.05774i,0.017571-0.070599i,-0.022872+0.090867i,0.032698-0.12764i,-0.05675+0.21548i,0.19671-0.71394i,0.15378-0.51598i,-0.062981+0.18113i,0.052444-0.099266i,0.057906+0.12207i,0.011424-0.054351i,-0.023088+0.014006i
-0.0094793+0.049661i,0.011306-0.058681i,-0.014002+0.071721i,0.018355-0.092267i,-0.026475+0.12953i,0.046477-0.2185i,-0.16348+0.72303i,-0.13015+0.5213i,0.054386-0.18185i,-0.045547+0.096546i,-0.038008-0.14907i,-0.017281+0.061448i,0.034579-0.022668i
0.0071132-0.050025i,-0.0085326+0.059119i,0.010641-0.072271i,-0.01407+0.093001i,0.020513-0.13061i,-0.036488+0.22043i,0.13038-0.72986i,0.10564-0.52648i,-0.044768+0.18348i,0.03678-0.095951i,0.011951+0.16921i,0.023212-0.068789i,-0.044591+0.033698i
-0.0049254+0.049924i,0.0059554-0.059039i,-0.0074987+0.072233i,0.01003-0.093051i,-0.014824+0.13086i,0.026794-0.22125i,-0.097462+0.73437i,-0.080326+0.53154i,0.034269-0.18612i,-0.026567+0.097739i,0.017223-0.1806i,-0.028431+0.075841i,0.052159-0.046348i
0.0029149-0.049379i,-0.0035722+0.058464i,0.0045694-0.071632i,-0.0062249+0.092444i,0.0093956-0.13031i,-0.01738+0.22099i,0.064731-0.7366i,0.054365-0.53642i,-0.023089+0.18971i,0.015447-0.10192i,-0.046102+0.18224i,0.032169-0.082128i,-0.056462+0.059776i
-0.039724+0.025369i,0.046951-0.030612i,-0.057397+0.038341i,0.073852-0.050775i,-0.10368+0.073816i,0.17481-0.13i,-0.57771+0.45441i,-0.41498+0.3525i,0.14304-0.13682i,-0.070986+0.089252i,0.1589-0.094555i,-0.058505+0.076587i,0.029118-0.093944i
0.039204-0.026908i,-0.046245+0.032442i,0.0564-0.040597i,-0.072357+0.05371i,0.10121-0.078006i,-0.16983+0.13725i,0.55762-0.47956i,0.39679-0.37241i,-0.13464+0.14549i,0.064171-0.098495i,-0.15293+0.063665i,0.050445-0.070417i,-0.015363+0.085074i
-0.038297+0.028576i,0.045105-0.034407i,-0.054906+0.042991i,0.07028-0.056783i,-0.098024+0.082315i,0.16391-0.14455i,-0.53564+0.50409i,-0.37871+0.39108i,0.12732-0.15325i,-0.059856+0.10664i,0.13747-0.033225i,-0.041967+0.063054i,0.0032519-0.073562i
0.036992-0.030391i,-0.043517+0.036528i,0.052902-0.045549i,-0.067608+0.060021i,0.09412-0.086775i,-0.15703+0.15191i,0.51179-0.52802i,0.36079-0.40835i,-0.12109+0.1599i,0.05797-0.11316i,-0.11368+0.0065967i,0.033504-0.055305i,0.0065463+0.060389i
-0.035298+0.032359i,0.041495-0.038811i,-0.050404+0.048276i,0.064361-0.063431i,-0.08952+0.091395i,0.14923-0.15936i,-0.48615+0.55132i,-0.34301+0.42413i,0.11586-0.16531i,-0.058201+0.11765i,0.083636+0.013302i,-0.02554+0.047961i,-0.013488-0.046621i
0.033251-0.034466i,-0.039078+0.04124i,0.047458-0.051155i,-0.060593+0.066994i,0.084292-0.096154i,-0.14061+0.16687i,0.45888-0.57395i,0.32528-0.43839i,-0.11141+0.16943i,0.060032-0.11989i,-0.050104-0.024287i,0.018569-0.041737i,0.017193+0.033335i
-0.030902+0.036677i,0.036324-0.043776i,-0.04413+0.054143i,0.056383-0.070663i,-0.078531+0.10099i,0.13128-0.17437i,-0.43017+0.5958i,-0.30744+0.45115i,0.10747-0.1723i,-0.062801+0.11987i,0.016249+0.025129i,-0.013046+0.037216i,-0.017484-0.02154i
