-0.0028098-0.036316i,0.0092575+0.058152i,-0.026223-0.11593i,0.15956+0.57334i,0.089533+0.28394i,-0.046657-0.13839i,0.036597+0.1066i,-0.033617-0.10111i,0.036085+0.12097i,-0.12721-0.65991i,0.021437+0.0082765i,-0.055914-0.064841i,-0.28617-0.035138i
-0.059978+0.056199i,0.078047-0.075624i,-0.12207+0.12312i,0.4499-0.47657i,0.1528-0.17217i,-0.043529+0.053235i,0.012356-0.017122i,0.0054727-0.0078948i,-0.022688+0.044411i,0.16887-0.58426i,-0.008528-0.046457i,0.01629-0.027596i,-0.2071-0.27073i
0.049356+0.022588i,-0.072264-0.028414i,0.13191+0.042266i,-0.59891-0.14275i,-0.27336-0.039821i,0.12346+0.0049481i,-0.088677+0.0074251i,0.07888-0.018952i,-0.088394+0.042358i,0.42877-0.47261i,-0.016306-0.040913i,0.055332-0.017853i,0.010631-0.32909i
-0.039293-0.065974i,0.048837+0.089827i,-0.071-0.1495i,0.229+0.60338i,0.056739+0.23698i,-0.0016899-0.088423i,-0.017749+0.050118i,0.034702-0.03424i,-0.065064+0.033055i,0.55937-0.27299i,0.021072-0.039445i,0.047131+0.019215i,0.23197-0.23778i
-0.038529+0.043128i,0.054975-0.061399i,-0.096031+0.10848i,0.4061-0.47405i,0.16538-0.2067i,-0.061755+0.088199i,0.030998-0.058727i,-0.0097356+0.046433i,-0.023565-0.040282i,0.57551+0.0106i,0.081617-0.050878i,-0.013366+0.062534i,0.3654-0.029594i
0.0572-0.0096244i,-0.081391+0.0068429i,0.14283+0.0018003i,-0.61548-0.077i,-0.26287-0.067639i,0.10964+0.045198i,-0.072389-0.042435i,0.060692+0.045434i,-0.072112-0.056769i,0.57296+0.25759i,0.055942-0.02822i,-0.015032+0.073671i,0.26037+0.18788i
-0.018731-0.046436i,0.027648+0.069455i,-0.050571-0.12778i,0.22755+0.57363i,0.10087+0.2517i,-0.042556-0.10456i,0.026218+0.063861i,-0.015419-0.040213i,-0.0033582+0.011638i,0.38648+0.38376i,0.089622+0.07895i,-0.075953-0.019749i,0.078056+0.37792i
-0.024877+0.040004i,0.03939-0.059219i,-0.076862+0.10836i,0.36751-0.48837i,0.17311-0.21893i,-0.078347+0.09625i,0.053784-0.067246i,-0.041549+0.059647i,0.02919-0.073783i,0.16329+0.57781i,0.079827+0.05004i,-0.095472-0.0046202i,-0.14732+0.27834i
0.047359+0.014092i,-0.071477-0.017009i,0.13319+0.024125i,-0.60902-0.078253i,-0.2747-0.022807i,0.11929+0.00614i,-0.078967-0.0040462i,0.060022+0.0083614i,-0.047523-0.029475i,0.0067479+0.56948i,-0.035356+0.10375i,-0.0013884-0.077674i,-0.36223+0.11918i
-0.020051-0.05221i,0.030199+0.074846i,-0.055955-0.13205i,0.2539+0.56898i,0.11381+0.23981i,-0.04961-0.095693i,0.034041+0.055905i,-0.029439-0.032639i,0.035717+0.0026305i,-0.28417+0.48402i,-0.024921+0.11196i,-0.0083735-0.10407i,-0.29534-0.11461i
-0.04363+0.039389i,0.057987-0.058933i,-0.093837+0.10945i,0.36675-0.50249i,0.13913-0.23006i,-0.050423+0.10317i,0.028799-0.072752i,-0.022682+0.062981i,0.033501-0.069652i,-0.45358+0.40134i,-0.077828+0.023181i,0.056736-0.035381i,-0.14236-0.32968i
-0.044444+0.0087298i,0.067497-0.013797i,-0.12714+0.027576i,0.59173-0.1386i,0.27463-0.070411i,-0.125+0.035272i,0.089826-0.027598i,-0.080138+0.025449i,0.094164-0.02515i,-0.62984-0.0035976i,-0.049096-0.04295i,0.05211+0.05398i,0.31839-0.062524i
0.054027+0.018498i,-0.072583-0.035167i,0.11792+0.078796i,-0.45542-0.42002i,-0.16431-0.216i,0.051008+0.10512i,-0.017087-0.076756i,-0.0056492+0.062782i,0.037824-0.048011i,-0.52888-0.20229i,-0.059752-0.11512i,0.042085+0.13077i,0.24737+0.10932i
0.031431-0.040611i,-0.039115+0.063544i,0.056675-0.12292i,-0.18015+0.58527i,-0.042181+0.27655i,-0.0011347-0.1273i,0.016675+0.091563i,-0.030062-0.08026i,0.052717+0.089072i,-0.39885-0.50807i,-0.0067204-0.027622i,-0.025956+0.037717i,0.08449+0.32995i
-0.032756+0.020706i,0.055083-0.028642i,-0.11353+0.047447i,0.57186-0.18326i,0.28394-0.063122i,-0.13628+0.015916i,0.10093+0.0007532i,-0.088479-0.015752i,0.088923+0.044781i,-0.22317-0.57696i,0.065609-0.070222i,-0.10146+0.054868i,-0.10104+0.25985i
0.035259+0.066107i,-0.053042-0.084829i,0.098549+0.12967i,-0.44963-0.45849i,-0.20263-0.14242i,0.088169+0.030919i,-0.058913+0.0039454i,0.046195-0.028887i,-0.041483+0.065723i,0.12717-0.61401i,-0.001353-0.033428i,-0.029038-0.0097503i,-0.32678+0.1144i
0.012799-0.040257i,-0.017282+0.062925i,0.029413-0.1223i,-0.12749+0.58903i,-0.057792+0.2837i,0.027418-0.13432i,-0.02216+0.10039i,0.024026-0.092288i,-0.036846+0.10684i,0.34095-0.55853i,0.035795+0.010126i,-0.039307-0.06194i,-0.292-0.10128i
-0.081943+0.02554i,0.10713-0.034141i,-0.16846+0.055204i,0.62442-0.21202i,0.21292-0.075729i,-0.060191+0.022822i,0.015194-0.0064625i,0.013385-0.0054799i,-0.049368+0.024374i,0.5247-0.31868i,0.031612-0.024168i,0.0036447-0.028832i,-0.14716-0.30967i
0.035748+0.037243i,-0.053333-0.052898i,0.099532+0.09291i,-0.46401-0.40145i,-0.21869-0.17168i,0.10279+0.070958i,-0.077804-0.044823i,0.074589+0.032292i,-0.094897-0.022542i,0.63546-0.055805i,0.02139-0.028379i,0.032378-0.0027348i,0.092957-0.33886i
-0.0079215-0.075073i,0.0051747+0.10062i,0.0033554-0.16372i,-0.078169+0.63853i,-0.066539+0.23704i,0.044981-0.079748i,-0.043968+0.036101i,0.051135-0.012408i,-0.076318-0.0087391i,0.6032+0.17333i,0.029719+0.005447i,0.035648+0.0056111i,0.28433-0.1807i
-0.048833+0.017248i,0.071732-0.025469i,-0.12989+0.047447i,0.57548-0.22322i,0.24998-0.10755i,-0.10318+0.052405i,0.062869-0.041677i,-0.039616+0.042458i,0.010935-0.057796i,0.41098+0.41371i,0.089357+0.014265i,-0.034304+0.024804i,0.38337+0.065143i
0.051059+0.016819i,-0.07099-0.030579i,0.12101+0.067056i,-0.50219-0.35623i,-0.20393-0.18603i,0.079281+0.094279i,-0.047312-0.074845i,0.034344+0.07314i,-0.034417-0.092019i,0.26052+0.58481i,0.032367+0.013055i,-0.013344+0.046873i,0.21562+0.25597i
0.010965-0.048505i,-0.014211+0.07302i,0.021812-0.13528i,-0.076536+0.61193i,-0.022941+0.27061i,0.0042684-0.11323i,0.0015738+0.069377i,-0.0052735-0.04293i,0.0083786+0.0075624i,-0.0003846+0.54519i,0.022182+0.11425i,-0.035642-0.049834i,-0.02034+0.4065i
-0.041898+0.020205i,0.063685-0.03014i,-0.1198+0.055613i,0.5552-0.25329i,0.25551-0.11538i,-0.11456+0.052165i,0.080121-0.038396i,-0.067711+0.03755i,0.0696-0.05508i,-0.27808+0.55382i,0.021793+0.064428i,-0.059915-0.022669i,-0.22683+0.25176i
0.03837+0.039251i,-0.058505-0.053359i,0.10986+0.088927i,-0.50422-0.3614i,-0.22671-0.14447i,0.096816+0.056084i,-0.061106-0.034644i,0.040237+0.028354i,-0.013567-0.037402i,-0.39104+0.4031i,-0.089325+0.060681i,0.034216-0.04884i,-0.3996+0.027875i
0.0084432-0.057497i,-0.010386+0.082224i,0.014934-0.14477i,-0.04694+0.62329i,-0.010104+0.26349i,-0.0019255-0.1065i,0.0079176+0.064801i,-0.016481-0.043794i,0.040115+0.025768i,-0.55586+0.15641i,-0.075015+0.061194i,0.027169-0.070851i,-0.28541-0.19778i
-0.058042+0.019431i,0.079857-0.03023i,-0.13521+0.058261i,0.56117-0.27652i,0.23071-0.12993i,-0.09289+0.058964i,0.059865-0.040876i,-0.050493+0.032439i,0.064344-0.025975i,-0.59924-0.026427i,-0.074025-0.027901i,0.048242-0.0040193i,-0.065777-0.36966i
-0.037452-0.012189i,0.060116+0.018349i,-0.11918-0.034023i,0.58122+0.15495i,0.28111+0.070197i,-0.13231-0.031416i,0.097053+0.022923i,-0.086068-0.022693i,0.093936+0.035809i,-0.45986-0.42877i,-0.0045264-0.0677i,0.011981+0.05973i,0.35865+0.0021765i
0.030645+0.043281i,-0.038639-0.066891i,0.057429+0.12695i,-0.19324-0.58731i,-0.053922-0.26555i,0.0075862+0.11383i,0.0071395-0.072047i,-0.017526+0.047603i,0.031523-0.015839i,-0.21367-0.50293i,0.0006133-0.13312i,-0.0034161+0.12852i,0.24461+0.16818i
0.049796-0.017409i,-0.067234+0.033903i,0.1105-0.077862i,-0.4372+0.42712i,-0.16605+0.22789i,0.058272-0.11686i,-0.029138+0.092795i,0.0148-0.08928i,-0.006569+0.108i,0.046633-0.64694i,0.023942-0.025229i,-0.036165+0.021224i,0.023376+0.35962i
-0.045913-0.002155i,0.069777+0.0060027i,-0.1307-0.017368i,0.59951+0.11435i,0.27046+0.071734i,-0.11689-0.042957i,0.076213+0.039963i,-0.055271-0.045685i,0.034699+0.067908i,0.23536-0.54493i,0.094925-0.037477i,-0.10311+0.021365i,-0.16279+0.25481i
0.00038523+0.078312i,-0.0071476-0.10311i,0.025991+0.16397i,-0.18018-0.61929i,-0.11157-0.21868i,0.063692+0.066998i,-0.055094-0.023535i,0.057199-0.002345i,-0.075046+0.031407i,0.51114-0.36824i,0.03065-0.018491i,-0.032396-0.014943i,-0.34829+0.051776i
0.028854-0.037862i,-0.043483+0.056219i,0.082177-0.10342i,-0.38886+0.46933i,-0.18637+0.21179i,0.089169-0.093228i,-0.068675+0.064038i,0.06692-0.05298i,-0.086793+0.052269i,0.61726-0.16817i,0.037958+0.027441i,-0.023032-0.057258i,-0.28079-0.17145i
-0.085033-0.013284i,0.11121+0.017646i,-0.17511-0.028127i,0.65097+0.10523i,0.22328+0.035904i,-0.063954-0.0099226i,0.017008+0.0020836i,0.01311+0.0030768i,-0.052388-0.010041i,0.59865+0.12054i,0.044786+0.018369i,-0.0019933-0.039742i,-0.079915-0.33149i
0.018514+0.043488i,-0.026929-0.065316i,0.049134+0.12207i,-0.2253-0.56572i,-0.10557-0.26225i,0.050196+0.11943i,-0.039431-0.085639i,0.040725+0.075067i,-0.059069-0.081782i,0.50232+0.39604i,0.035283-0.00048633i,0.012808-0.0016758i,0.17623-0.32183i
0.026335-0.067652i,-0.040873+0.088804i,0.078278-0.14035i,-0.36847+0.5236i,-0.17202+0.18008i,0.078312-0.051543i,-0.05596+0.013322i,0.049285+0.011703i,-0.056142-0.045372i,0.32745+0.52697i,0.0051006+0.042625i,0.039006-0.0091998i,0.31706-0.11047i
-0.044662-0.0088898i,0.06842+0.012439i,-0.1297-0.020493i,0.60506+0.075773i,0.27936+0.022168i,-0.12469-0.0015385i,0.0853-0.0080246i,-0.067447+0.019816i,0.055846-0.047789i,0.006701+0.594i,0.057032+0.064558i,-0.028812-0.012131i,0.36573+0.16267i
0.033904+0.039373i,-0.04494-0.060968i,0.071802+0.11681i,-0.27143-0.55174i,-0.095121-0.25943i,0.028263+0.11953i,-0.008634-0.087002i,-0.0035852+0.078818i,0.018067-0.094056i,-0.19327+0.60841i,-0.010198+0.025294i,0.0022957+0.032218i,0.14839+0.30702i
0.037192-0.034544i,-0.05182+0.054482i,0.088136-0.10562i,-0.3616+0.49982i,-0.14222+0.2316i,0.050966-0.10204i,-0.024287+0.066747i,0.0068734-0.046385i,0.017628+0.020255i,-0.3907+0.38857i,-0.051347+0.10015i,0.012191-0.04884i,-0.12723+0.39605i
-0.048787-0.003743i,0.072703+0.005285i,-0.1342-0.0093082i,0.61132+0.04046i,0.27749+0.017176i,-0.12357-0.00663i,0.087094+0.0030493i,-0.076695+0.00069846i,0.08978-0.010417i,-0.58434+0.22854i,-0.02762+0.039343i,-0.026324-0.01618i,-0.29683+0.19438i
0.016531+0.057314i,-0.027722-0.079476i,0.056328+0.13533i,-0.27558-0.56199i,-0.12993-0.2285i,0.056874+0.088655i,-0.035148-0.051881i,0.019128+0.034439i,0.0099461-0.023642i,-0.55833+0.011299i,-0.10502-0.0094468i,0.04458-0.0039301i,-0.40192-0.077957i
