-0.00045049+0.0024657i,-6.3528e-05-0.0032925i,0.00094306+0.0045645i,-0.0025842-0.0067152i,0.0061775+0.011005i,-0.017545-0.023426i,0.6404+0.65422i,0.034567+0.025136i,-0.021704-0.005162i,-0.021353-0.3658i,-0.023136-0.030053i,0.025864+0.021658i,-0.037249-0.017417i
0.0061255+0.0036745i,-0.0066306-0.0045843i,0.0072857+0.006003i,-0.0082228-0.0084653i,0.0098405+0.013586i,-0.014137-0.029325i,0.23398+0.88691i,0.0048583+0.043518i,-0.0044641-0.030104i,0.28862+0.25766i,0.024525-0.0048135i,-0.021329+0.011416i,0.022977-0.022523i
-0.00024891-0.010576i,0.00018662+0.012013i,-4.6334e-05-0.014051i,-0.0002809+0.017252i,0.0011545-0.023277i,-0.0044743+0.040166i,0.21745-0.90068i,0.016685-0.029192i,-0.019024+0.011835i,0.36489-0.13165i,0.0098611-0.011595i,-0.00044183+0.014359i,-0.010402-0.022394i
-0.0074378+0.0037166i,0.0085211-0.0046574i,-0.010051+0.0060727i,0.012434-0.0084153i,-0.016847+0.012998i,0.028923-0.026055i,-0.62687+0.68215i,-0.0175+0.02413i,0.0022587-0.0033545i,0.071515-0.36416i,-0.0022758-0.026446i,0.0090633+0.016772i,-0.020812-0.0089557i
0.0023026+0.001838i,-0.0032791-0.0017997i,0.004812+0.0016436i,-0.0074597-0.0012082i,0.012865-2.2962e-05i,-0.028924+0.0047021i,0.86584-0.29624i,0.037698-0.0228i,-0.015271+0.022157i,-0.26657-0.26601i,-0.031548+0.0028705i,0.025513-0.011705i,-0.023545+0.024726i
-0.0015774+0.0032703i,0.0023632-0.0033484i,-0.0036422+0.003365i,0.0059494-0.0032318i,-0.010914+0.0026791i,0.026614-0.00038973i,-0.90034-0.13887i,-0.049042-0.01228i,0.037722+0.0082734i,-0.38465+0.10399i,0.0029529+0.019634i,-0.012295-0.020128i,0.024291+0.025218i
0.0096464+0.0023854i,-0.010957-0.0029165i,0.012796+0.003745i,-0.015642-0.0051923i,0.020884+0.0082449i,-0.03516-0.01784i,0.74018+0.55528i,0.0195+0.029567i,-0.001479-0.024985i,-0.088479+0.38151i,0.0033729+0.0090257i,-0.010874-0.0007097i,0.022397-0.0078757i
0.00030096-0.011679i,9.6758e-05+0.013253i,-0.00074704-0.015455i,0.001902+0.018846i,-0.0042941-0.025043i,0.011393+0.041711i,-0.37546-0.85177i,-0.016541-0.0196i,0.0042401-0.0040792i,0.26413+0.26754i,0.02368+0.0035657i,-0.017882+0.0085244i,0.014241-0.023871i
-0.0061478+0.0016434i,0.0067174-0.0025664i,-0.0074299+0.0040448i,0.0083664-0.0066525i,-0.009717+0.012096i,0.012204-0.028663i,-0.078033+0.91241i,0.012062+0.043732i,-0.021411-0.023847i,0.3798-0.078911i,0.0028074-0.025674i,0.0094868+0.024274i,-0.024321-0.026445i
-0.0020074-0.0031589i,0.001764+0.0039032i,-0.0012731-0.0050711i,0.00024486+0.007117i,0.0022085-0.011427i,-0.010493+0.024888i,0.48562-0.77112i,0.030949-0.039879i,-0.023844+0.031032i,0.12061-0.3827i,-0.01504-0.0038026i,0.020163-0.0050094i,-0.02897+0.0154i
-0.0065991+0.0095284i,0.007624-0.01064i,-0.0091339+0.012138i,0.011615-0.014342i,-0.016528+0.018141i,0.031051-0.027684i,-0.80462+0.46117i,-0.033925+0.0027168i,0.021894+0.013187i,-0.27182-0.28517i,-0.0072789+0.00106i,0.0028574-0.012801i,0.0018175+0.027548i
0.012572+0.0021519i,-0.01431-0.0022741i,0.016745+0.0024024i,-0.020499-0.0025285i,0.027352+0.0026258i,-0.045731-0.0025684i,0.93409-0.0094518i,0.020848-0.0036501i,0.0065437+0.0024253i,-0.37483+0.079689i,-0.0085867+0.010851i,-0.0061447-0.01037i,0.023109+0.011111i
-0.00094221-0.006777i,0.0016451+0.00771i,-0.0028049-0.0090018i,0.0049138+0.010957i,-0.0094576-0.01443i,0.023739+0.023379i,-0.80844-0.43533i,-0.042739-0.0053714i,0.029063-0.011075i,-0.13831+0.36696i,0.015154+0.0099406i,-0.019252+0.0023276i,0.025814-0.016403i
0.0020759-0.0027583i,-0.0025709+0.0023721i,0.0033467-0.0016102i,-0.0047047+3.1637e-05i,0.0075642+0.0037199i,-0.016498-0.01641i,0.51212+0.74877i,0.02658+0.048251i,-0.020845-0.039355i,0.26195+0.31382i,0.0028372-0.014401i,0.0033705+0.02396i,-0.011248-0.036537i
-0.0090667-0.00059379i,0.010337+0.00077589i,-0.012164-0.0010776i,0.015086+0.0016368i,-0.020719-0.0028834i,0.036981+0.0069919i,-0.89031-0.2447i,-0.034162-0.014473i,0.021064+0.012958i,-0.34257-0.18072i,-0.017504-0.00139i,0.014363-0.0045219i,-0.015848+0.015105i
0.0055613+0.008519i,-0.006583-0.009573i,0.0080778+0.011051i,-0.010488-0.013351i,0.015092+0.017647i,-0.027957-0.029668i,0.66707+0.64511i,0.020695+0.020594i,-0.00079502-0.0099165i,-0.31731+0.2i,-0.018525+0.016167i,0.008454-0.0166i,0.0028059+0.023037i
0.0012496-0.0045481i,-0.0011131+0.0057124i,0.00083405-0.0074723i,-0.00024612+0.010404i,-0.0011579-0.016185i,0.0058808+0.032821i,-0.27454-0.87828i,-0.017192-0.032858i,0.012192+0.0079928i,-0.0038008+0.36696i,0.013384+0.029926i,-0.016302-0.019942i,0.025455+0.011969i
0.0030293+0.0034073i,-0.0029734-0.0043267i,0.0028032+0.0057667i,-0.0023957-0.008273i,0.0014006+0.01349i,0.0017941-0.029506i,-0.16643+0.89957i,-0.0099198+0.044003i,0.0012327-0.029462i,0.32003+0.20692i,0.028385-0.0083855i,-0.022901+0.014044i,0.021443-0.024804i
0.0015937-0.0090469i,-0.0020882+0.010209i,0.0028859-0.011846i,-0.0043203+0.014405i,0.0074166-0.019203i,-0.0173+0.032657i,0.57431-0.72131i,0.031784-0.023415i,-0.026375+0.010912i,0.34449-0.18715i,0.0035319-0.014739i,0.0051023+0.015328i,-0.016357-0.020616i
-0.0087088+0.0021547i,0.010054-0.00272i,-0.011982+0.0035597i,0.015038-0.0049241i,-0.020817+0.0075229i,0.037005-0.01465i,-0.85598+0.35642i,-0.028024+0.009682i,0.0092085+0.004617i,0.0056756-0.37643i,-0.0023339-0.021635i,0.0079076+0.011775i,-0.018093-0.0024528i
0.0033161+0.0045943i,-0.0044144-0.0050624i,0.0061115+0.00566i,-0.0090002-0.0064713i,0.014819+0.0077107i,-0.031901-0.010287i,0.91437+0.10043i,0.037805-0.0063749i,-0.013522+0.013083i,-0.30519-0.21101i,-0.031576+0.0018654i,0.023846-0.010443i,-0.019183+0.023227i
-0.00018862+0.00024927i,0.00076183+0.00021104i,-0.0017331-0.00098329i,0.0035456+0.0023948i,-0.0075568-0.0054156i,0.020526+0.014729i,-0.75278-0.51177i,-0.043588-0.025474i,0.034999+0.012541i,-0.35987+0.15853i,0.0040016+0.024113i,-0.013493-0.021896i,0.026198+0.023744i
0.007256+0.0034209i,-0.0081277-0.0042334i,0.0093214+0.0054983i,-0.011118-0.0076958i,0.014328+0.012286i,-0.022817-0.026517i,0.4333+0.81123i,0.0086113+0.041328i,0.0018369-0.031764i,-0.02955+0.39559i,0.0081161+0.0049259i,-0.013181+0.0037199i,0.022059-0.013679i
0.0019221-0.012244i,-0.0019532+0.013909i,0.001966-0.016247i,-0.0019486+0.019866i,0.0018872-0.026527i,-0.0018212+0.044612i,0.014007-0.93247i,0.0015129-0.02346i,-0.0066535-0.0010098i,0.31099+0.21794i,0.019063+0.0020304i,-0.012362+0.0090347i,0.0066342-0.023285i
-0.0090322+0.0017017i,0.010113-0.0025518i,-0.011581+0.0039007i,0.013757-0.0062568i,-0.01754+0.011125i,0.027097-0.02578i,-0.46126+0.79957i,-0.0030416+0.036839i,-0.01394-0.018044i,0.3542-0.14123i,0.0044486-0.024924i,0.0083693+0.021662i,-0.023807-0.021074i
0.00035098-0.00071924i,-0.0010134+0.0010532i,0.0021167-0.0016229i,-0.0041337+0.0027029i,0.0084875-0.0051501i,-0.022148+0.0133i,0.7693-0.48742i,0.040638-0.029696i,-0.02641+0.027084i,0.061453-0.39218i,-0.019086-0.0052746i,0.021685-0.0048969i,-0.027559+0.017058i
-0.0063897+0.0068831i,0.0074843-0.0074764i,-0.0091216+0.0082052i,0.011854-0.0091431i,-0.017346+0.010463i,0.033789-0.012849i,-0.91706+0.077748i,-0.040819-0.011907i,0.027411+0.018966i,-0.31712-0.24287i,-0.005409+0.0064578i,-0.00048221-0.016099i,0.0074665+0.028692i
0.01227+0.0037385i,-0.013911-0.0042791i,0.016198+0.0050568i,-0.019699-0.0063018i,0.026042+0.0087028i,-0.042918-0.015637i,0.85303+0.37974i,0.017407+0.014743i,0.007995-0.0091919i,-0.35737+0.14682i,-0.0063476+0.0070526i,-0.0078477-0.0051817i,0.024326+0.0034636i
-1.7402e-06-0.0092679i,0.00044409+0.010634i,-0.0011956-0.012561i,0.0025936+0.015547i,-0.0056567-0.021019i,0.01539+0.035694i,-0.55273-0.74188i,-0.030151-0.016647i,0.0205-0.0065269i,-0.072115+0.37844i,0.013305+0.012108i,-0.015826+0.0014759i,0.019902-0.016954i
-0.0013024-0.0013617i,0.0013627+0.00074298i,-0.0013934+0.00035528i,0.0013317-0.0024704i,-0.00095763+0.0072392i,-0.00093724-0.022764i,0.13867+0.8965i,0.013779+0.052812i,-0.016767-0.039934i,0.30279+0.26955i,0.0058667-0.016625i,0.0027513+0.024395i,-0.013343-0.034699i
-0.0075539-0.0026326i,0.0085507+0.0032677i,-0.0099759-0.0042512i,0.012249+0.0059455i,-0.016629-0.0094421i,0.029327+0.020104i,-0.70125-0.597i,-0.027452-0.028502i,0.01882+0.018698i,-0.36497-0.12811i,-0.019234+0.0055902i,0.014541-0.0097096i,-0.013402+0.019338i
0.0037551+0.0096143i,-0.004365-0.010912i,0.005236+0.012764i,-0.0065998-0.015701i,0.0091132+0.0213i,-0.015834-0.03726i,0.33434+0.86478i,0.0069328+0.030836i,0.0055019-0.016607i,-0.28525+0.25399i,-0.012191+0.015241i,0.0031487-0.01447i,0.008337+0.018783i
0.0036904-0.0052774i,-0.0040365+0.0065217i,0.0044834-0.0083894i,-0.0051093+0.01148i,0.0061372-0.01754i,-0.0086315+0.034899i,0.1227-0.91496i,2.2335e-05-0.033439i,0.0020481+0.0077917i,0.064084+0.36136i,0.011974+0.028283i,-0.014033-0.017724i,0.02184+0.0079925i
0.00017264+0.002134i,0.00039908-0.0028535i,-0.001328+0.0039987i,0.002971-0.0060206i,-0.0063663+0.010278i,0.016445-0.023456i,-0.53462+0.74215i,-0.023548+0.03731i,0.0066096-0.025046i,0.34289+0.14857i,0.031546-0.010168i,-0.024045+0.014952i,0.019685-0.025058i
0.0028498-0.0065776i,-0.0036473+0.0072893i,0.004906-0.0082651i,-0.0071169+0.0097495i,0.01177-0.012471i,-0.026235+0.020008i,0.82229-0.40727i,0.042114-0.012227i,-0.031023+0.0072938i,0.31341-0.23595i,-0.0017745-0.018762i,0.0094977+0.016952i,-0.020751-0.019213i
-0.0088632+0.00012783i,0.010259-0.00022533i,-0.01227+0.00035285i,0.015481-0.00051539i,-0.021607+0.00069348i,0.038945-0.00063946i,-0.92497-0.036059i,-0.032214-0.007256i,0.013172+0.013491i,-0.058502-0.37916i,-0.003681-0.015855i,0.0075976+0.0062648i,-0.015664+0.0040266i
0.0031696+0.0071439i,-0.0041632-0.0080867i,0.0056873+0.0093933i,-0.0082599-0.011382i,0.013393+0.014964i,-0.028304-0.024452i,0.79037+0.47952i,0.031088+0.009609i,-0.0086884+0.0039548i,-0.33727-0.15052i,-0.029593+0.00093167i,0.020741-0.0089438i,-0.013862+0.020953i
0.0019747-0.0021861i,-0.0017855+0.0030616i,0.0013819-0.0044375i,-0.0005012+0.006819i,-0.0016776-0.011696i,0.009304+0.02624i,-0.46207-0.78752i,-0.031911-0.0347i,0.028822+0.014928i,-0.32369+0.20975i,0.0036201+0.027279i,-0.013185-0.022611i,0.026203+0.021329i
0.0042449+0.003526i,-0.0045678-0.0044315i,0.0049542+0.0058491i,-0.005437-0.0083223i,0.0060995+0.013502i,-0.0073103-0.029563i,0.046156+0.91371i,-0.0053353+0.046574i,0.0065119-0.034999i,0.029223+0.39718i,0.013368+0.0021137i,-0.015721+0.0068187i,0.021567-0.017844i
0.0035784-0.011591i,-0.0040409+0.013114i,0.0047196-0.015244i,-0.0058418+0.018526i,0.0081089-0.02454i,-0.01505+0.040823i,0.4011-0.83968i,0.019262-0.020555i,-0.017126-0.0009741i,0.34921+0.16452i,0.014224-0.0011266i,-0.0068722+0.010549i,-0.00061416-0.022991i
-0.0112+0.0007919i,0.01267-0.0013746i,-0.014714+0.0023028i,0.01784-0.0039246i,-0.023496+0.0072616i,0.038528-0.017212i,-0.75964+0.53545i,-0.015136+0.023831i,-0.007514-0.0093344i,0.31997-0.20126i,0.0053085-0.02244i,0.0074918+0.017708i,-0.022827-0.014636i
0.0018725+0.0022246i,-0.0027734-0.0024096i,0.0042166+0.0026032i,-0.0067668-0.002768i,0.012111+0.0027468i,-0.028466-0.0015915i,0.90693-0.11098i,0.044182-0.015407i,-0.025818+0.020739i,-0.00095759-0.38992i,-0.021451-0.007525i,0.021713-0.0038213i,-0.024642+0.017316i
-0.005121+0.0040605i,0.0060707-0.0041098i,-0.0075127+0.0040333i,0.0099584-0.0036515i,-0.014956+0.0023954i,0.030155+0.0026291i,-0.85681-0.31826i,-0.040464-0.026756i,0.029091+0.024567i,-0.35174-0.19428i,-0.0050667+0.01192i,-0.0023591-0.019169i,0.011471+0.029157i
0.010773+0.0048948i,-0.012102-0.0057651i,0.01392+0.0070588i,-0.016644-0.0092005i,0.021453+0.013462i,-0.033876-0.026085i,0.61364+0.69778i,0.0079805+0.030146i,0.011941-0.019217i,-0.33207+0.20904i,-0.0026059+0.0038445i,-0.010362-0.00056095i,0.025563-0.0035388i
0.0015219-0.01073i,-0.001469+0.012341i,0.0013205-0.014623i,-0.00095994+0.018182i,3.0649e-05-0.024758i,0.0032274+0.042585i,-0.192-0.91042i,-0.013108-0.022717i,0.0096164-0.004105i,-0.0028265+0.38121i,0.010258+0.012875i,-0.01133+0.0013643i,0.01294-0.017467i
-0.0047851-0.00096898i,0.0054271+0.00032752i,-0.0063059+0.00079056i,0.0076134-0.0029126i,-0.0098781+0.0076391i,0.015498-0.022869i,-0.26176+0.87332i,-0.00037759+0.050134i,-0.011722-0.036671i,0.33508+0.21625i,0.0090648-0.017136i,0.0017173+0.023201i,-0.014581-0.031087i
-0.0052119-0.004047i,0.0057701+0.0049984i,-0.0065473-0.0064567i,0.0077596+0.0089389i,-0.010069-0.013989i,0.016798+0.029143i,-0.38082-0.83661i,-0.015244-0.037705i,0.013622+0.021863i,-0.3758-0.070596i,-0.02183+0.011255i,0.015552-0.013586i,-0.011804+0.021903i
0.001482+0.0096022i,-0.0015926-0.010935i,0.0017108+0.012849i,-0.0018182-0.015908i,0.0018326+0.02179i,-0.0012408-0.03871i,-0.060628+0.9226i,-0.0091119+0.034523i,0.012627-0.019986i,-0.24609+0.29918i,-0.0051543+0.015406i,-0.0024289-0.013201i,0.01352+0.015111i
0.0059536-0.0048438i,-0.0067504+0.0059404i,0.0078767-0.0075769i,-0.0096411+0.010268i,0.012955-0.015506i,-0.022251+0.030396i,0.49765-0.77963i,0.016401-0.027271i,-0.0077094+0.0046073i,0.12993+0.34776i,0.010488+0.024664i,-0.011577-0.014194i,0.017707+0.0033865i
-0.0019852+6.1666e-05i,0.0029376-0.00040942i,-0.0044242+0.0010006i,0.0069714-0.0021034i,-0.012116+0.0045312i,0.027194-0.012298i,-0.80149+0.44428i,-0.033258+0.024646i,0.010349-0.017475i,0.35733+0.08454i,0.033355-0.010365i,-0.024292+0.014329i,0.017437-0.023479i
0.0031996-0.0035596i,-0.00411+0.0037223i,0.005543-0.0038905i,-0.0080499+0.0040598i,0.013297-0.0042284i,-0.029498+0.0044581i,0.91463-0.017462i,0.045807+0.0020234i,-0.032088+0.0020754i,0.27201-0.27741i,-0.0055702-0.023075i,0.012365+0.018825i,-0.023262-0.017974i
-0.0078542-0.0019074i,0.0090743+0.0022763i,-0.010833-0.0028571i,0.013643+0.0038864i,-0.019019-0.0061009i,0.034309+0.013226i,-0.82076-0.42131i,-0.029452-0.023639i,0.013766+0.021754i,-0.11908-0.37143i,-0.006461-0.0099028i,0.008317+0.00091216i,-0.0138+0.0098485i
0.0019891+0.009013i,-0.0026802-0.010308i,0.0037368+0.012142i,-0.0055084-0.015012i,0.0090028+0.020362i,-0.018975-0.035103i,0.51736+0.76966i,0.018563+0.022243i,-0.0013196-0.003768i,-0.36165-0.086954i,-0.025879+0.00070012i,0.01648-0.0077436i,-0.0079327+0.018408i
0.0045711-0.0036981i,-0.0048677+0.0047979i,0.0051876-0.0064915i,-0.0055032+0.009368i,0.0056934-0.015159i,-0.0050153+0.032186i,-0.082821-0.9145i,-0.016259-0.037897i,0.020321+0.014477i,-0.27773+0.25688i,0.0023213+0.028607i,-0.011794-0.021915i,0.024674+0.017802i
0.001126+0.0025834i,-0.0008862-0.003369i,0.0004461+0.004619i,0.00041436-0.0068324i,-0.0023531+0.01153i,0.0085657-0.026261i,-0.34857+0.84327i,-0.019482+0.044497i,0.011232-0.034284i,0.08702+0.38602i,0.018441+0.00081792i,-0.01802+0.0083819i,0.020659-0.020148i
0.004834-0.0098306i,-0.0056394+0.011003i,0.0068492-0.012615i,-0.0088839+0.01505i,0.01302-0.019418i,-0.025599+0.031003i,0.71275-0.5908i,0.033662-0.011565i,-0.025626-0.0036804i,0.37689+0.10853i,0.0099441-0.0056867i,-0.0020929+0.012935i,-0.0068251-0.022959i
-0.01229-0.00076462i,0.013955+0.00058112i,-0.01629-0.00027032i,0.019898-0.0002912i,-0.026515+0.0014526i,0.044397-0.0048216i,-0.91707+0.17003i,-0.021925+0.0067768i,-0.003283+0.0012147i,0.27869-0.25685i,0.0048627-0.018694i,0.0072916+0.01285i,-0.021779-0.0076216i
0.0023505+0.0052212i,-0.0032735-0.0059429i,0.0047316+0.0069292i,-0.0072737-0.0083924i,0.012531+0.010915i,-0.028421-0.017133i,0.87283+0.28755i,0.040631+0.00011383i,-0.021688+0.013403i,-0.065179-0.37683i,-0.02191-0.0098613i,0.020147-0.0023252i,-0.020277+0.016599i
-0.0029065+0.0015541i,0.0035131-0.0011308i,-0.0044612+0.00035781i,0.0061202+0.0011587i,-0.0096227-0.0046166i,0.020624+0.01593i,-0.63498-0.65247i,-0.033231-0.038854i,0.027051+0.028586i,-0.37484-0.13991i,-0.0062004+0.016698i,-0.0027572-0.021469i,0.01372+0.028595i
0.0083684+0.0052375i,-0.0092243-0.006273i,0.01034+0.007836i,-0.011906-0.010463i,0.014445+0.015768i,-0.020297-0.031669i,0.26095+0.88452i,-0.0056093+0.040068i,0.017507-0.026375i,-0.29911+0.26401i,0.0021646+0.0018025i,-0.013333+0.0029714i,0.026573-0.0093419i
0.0032206-0.010976i,-0.0036012+0.0126i,0.004123-0.014897i,-0.0049132+0.018471i,0.0063459-0.025059i,-0.010239+0.042882i,0.20563-0.90939i,0.0055369-0.022281i,-0.0021082-0.0044535i,0.066894+0.37559i,0.0067034+0.011906i,-0.0063924+0.0022614i,0.0055957-0.018166i
-0.0078479-0.0015794i,0.0089993+0.0011214i,-0.010621-0.00029389i,0.013129-0.0013166i,-0.017709+0.0049659i,0.02993-0.016851i,-0.61408+0.68376i,-0.012916+0.040473i,-0.0071076-0.029759i,0.35879+0.15544i,0.011735-0.015997i,0.00077411+0.020495i,-0.015303-0.025923i
-0.0024227-0.0045389i,0.0024552+0.0056109i,-0.0024534-0.0072494i,0.0023868+0.010027i,-0.0021878-0.015647i,0.0016521+0.032397i,0.010797-0.91845i,2.341e-05-0.040285i,0.0066511+0.021621i,-0.37548-0.0092512i,-0.024708+0.015104i,0.01697-0.015787i,-0.01081+0.022551i
-0.00076268+0.0084463i,0.0011427-0.009593i,-0.0017625+0.011239i,0.0028839-0.013873i,-0.0053065+0.018954i,0.013006-0.033657i,-0.44346+0.8076i,-0.02445+0.03113i,0.019155-0.01973i,-0.20009+0.33419i,0.0018109+0.016814i,-0.0076741-0.012982i,0.017851+0.012314i
0.0075959-0.0033805i,-0.0087224+0.0041329i,0.010348-0.0052467i,-0.012953+0.0070584i,0.017967-0.010535i,-0.03235+0.020233i,0.77965-0.49783i,0.029023-0.015439i,-0.015588-0.0010082i,0.19112+0.32622i,0.0096006+0.019419i,-0.0095295-0.0096627i,0.013666-0.0015163i
-0.003123-0.0024444i,0.004256+0.0025688i,-0.0060023-0.0026845i,0.0089622+0.0027587i,-0.014889-0.0026801i,0.032157+0.001865i,-0.91699+0.062017i,-0.03703+0.0083123i,0.011482-0.0079224i,0.36355+0.017189i,0.033334-0.0094663i,-0.023299+0.012602i,0.014515-0.020492i
0.0025075-0.00049242i,-0.0033171+0.00010362i,0.0046026+0.00053915i,-0.0068679-0.00169i,0.011635+0.0040851i,-0.026404-0.011201i,0.83391+0.37493i,0.042205+0.01643i,-0.029291-0.0033819i,0.22125-0.31118i,-0.0076642-0.026986i,0.013578+0.020461i,-0.023807-0.016629i
-0.0058363-0.0035106i,0.0066821+0.0042527i,-0.0078912-0.0054i,0.0098097+0.0073818i,-0.013466-0.011505i,0.023873+0.024256i,-0.56282-0.72677i,-0.020455-0.036476i,0.011268+0.027922i,-0.1746-0.35261i,-0.010489-0.0045792i,0.0099869-0.0036196i,-0.012562+0.014406i
0.00010075+0.0098403i,-0.00035632-0.011294i,0.00074873+0.013372i,-0.0013967-0.016656i,0.0026215+0.022854i,-0.0058375-0.040186i,0.1469+0.91618i,0.0023553+0.029287i,0.0075143-0.0089461i,-0.37712-0.022661i,-0.020964+0.001647i,0.011528-0.007264i,-0.0018787+0.016027i
0.0071649-0.0041182i,-0.0079593+0.0052193i,0.0090232-0.0068969i,-0.010575+0.0097157i,0.013223-0.015328i,-0.019787+0.031647i,0.31364-0.86905i,0.00041623-0.034159i,0.010994+0.010801i,-0.22409+0.29889i,0.00080408+0.027873i,-0.0099121-0.019692i,0.022147+0.013195i
-0.001581+0.00069704i,0.0022994-0.0011679i,-0.0034398+0.001956i,0.0054333-0.0034171i,-0.0095552+0.0066469i,0.021965-0.017129i,-0.67679+0.61306i,-0.030911+0.035603i,0.014652-0.029854i,0.14306+0.36256i,0.022634+0.0009673i,-0.019595+0.0084515i,0.019077-0.020595i
0.0053284-0.007258i,-0.0063139+0.0079323i,0.007809-0.0088064i,-0.010343+0.010036i,0.015522-0.012056i,-0.031288+0.016911i,0.8901-0.23251i,0.042273+0.0016336i,-0.030918-0.0082536i,0.39264+0.050969i,0.0068372-0.011137i,0.0014414+0.015829i,-0.011469-0.022988i
-0.012134-0.0025274i,0.013763+0.0027876i,-0.016048-0.0031605i,0.019578+0.003768i,-0.02606-0.0049944i,0.043623+0.0088143i,-0.90396-0.22765i,-0.022155-0.011478i,-0.0019086+0.012159i,0.23185-0.30572i,0.0028186-0.014357i,0.0080403+0.0076792i,-0.020951-0.00064026i
0.0017814+0.0077817i,-0.0025156-0.0089617i,0.0036727+0.010626i,-0.0056821-0.013203i,0.0098128+0.017915i,-0.022192-0.030506i,0.67363+0.63329i,0.030357+0.013829i,-0.014294+0.0065657i,-0.12935-0.35412i,-0.02057-0.011569i,0.017154-0.00097682i,-0.01475+0.015376i
-4.4457e-05-0.00022844i,0.0001651+0.00097144i,-0.00040237-0.00221i,0.00090946+0.0044748i,-0.0021819-0.0093613i,0.0067975+0.024682i,-0.29307-0.86217i,-0.020746-0.045687i,0.022041+0.029845i,-0.38625-0.080509i,-0.0084434+0.020144i,-0.0019276-0.022536i,0.01435+0.026737i
0.0054983+0.0045382i,-0.005809-0.0055303i,0.0061167+0.0070494i,-0.006359-0.0096406i,0.0063076+0.014948i,-0.0046964-0.031072i,-0.13874+0.9045i,-0.020709+0.043038i,0.023437-0.029898i,-0.25864+0.30988i,0.0073095+0.0012536i,-0.016278+0.0051021i,0.027037-0.013581i
0.0046539-0.010016i,-0.0054187+0.011426i,0.0065374-0.013398i,-0.0083572+0.016431i,0.011912-0.021941i,-0.022256+0.036611i,0.56508-0.73907i,0.022631-0.015333i,-0.013039-0.0075884i,0.13427+0.36176i,0.0034224+0.0091928i,-0.0017174+0.004187i,-0.0014008-0.01909i
-0.010029-0.0029765i,0.011531+0.0028639i,-0.013661-0.0025707i,0.016988+0.0018788i,-0.02314-0.00011915i,0.039831-0.0060279i,-0.85221+0.36372i,-0.021216+0.025345i,-0.0041565-0.020006i,0.374+0.089163i,0.013266-0.013559i,0.00037229+0.016624i,-0.015831-0.019622i
0.00034273-0.0039837i,-0.00082808+0.0049593i,0.0015977-0.0064517i,-0.0029269+0.0089804i,0.005606-0.014088i,-0.013344+0.029251i,0.40003-0.82715i,0.015365-0.035681i,-0.00064053+0.017764i,-0.36483+0.054391i,-0.027167+0.016966i,0.018269-0.016227i,-0.010078+0.021291i
-0.0025092+0.0063262i,0.0032781-0.0070957i,-0.0044822+0.0081881i,0.0065745-0.0099213i,-0.010916+0.013257i,0.024188-0.022968i,-0.7421+0.54129i,-0.036179+0.021451i,0.023701-0.016162i,-0.14768+0.35824i,0.0079357+0.019313i,-0.011994-0.01376i,0.020859+0.010485i
0.008274-0.0012097i,-0.0095422+0.0014888i,0.011386-0.0018893i,-0.014368+0.0025105i,0.020161-0.0036184i,-0.036941+0.0063787i,0.91554-0.12263i,0.035692-0.000126i,-0.020462-0.0079823i,0.24541+0.29669i,0.0098028+0.013156i,-0.0083391-0.0046304i,0.010207-0.0062547i
-0.0031102-0.0049342i,0.0041958+0.0055405i,-0.0058618-0.0063799i,0.0086734+0.0076624i,-0.014277-0.010002i,0.030525+0.016358i,-0.85953-0.33268i,-0.033987-0.0087138i,0.009586+0.0020928i,0.36165-0.050808i,0.031277-0.0081542i,-0.020933+0.010368i,0.010891-0.016688i
0.00085376+0.0021097i,-0.0013672-0.0029555i,0.0022111+0.0042683i,-0.0037435-0.0065067i,0.0070505+0.011008i,-0.017494-0.024145i,0.59527+0.69625i,0.031968+0.028079i,-0.023007-0.0077163i,0.16273-0.33716i,-0.0081795-0.029822i,0.013266+0.021389i,-0.022544-0.014919i
-0.0031361-0.0043357i,0.0034727+0.0052849i,-0.0039306-0.0067477i,0.0046237+0.0092605i,-0.0058977-0.014446i,0.0094851+0.030316i,-0.19954-0.8949i,-0.0071354-0.043396i,0.0065535+0.030826i,-0.22409-0.32253i,-0.015276-0.0005339i,0.012283-0.0067997i,-0.01181+0.017231i
-0.0020368+0.009453i,0.0022603-0.01084i,-0.0025953+0.012824i,0.0031718-0.015968i,-0.004408+0.021925i,0.00848-0.038681i,-0.25114+0.89142i,-0.014694+0.029576i,0.016411-0.010953i,-0.38249+0.040296i,-0.015543+0.0040083i,0.0064655-0.0077478i,0.0037494+0.014117i
0.0093025-0.0034735i,-0.010512+0.0043619i,0.0122-0.0057043i,-0.014792+0.0079373i,0.019521-0.012329i,-0.032249+0.024908i,0.65273-0.65994i,0.015021-0.023911i,0.0024143+0.0041678i,-0.16512+0.33454i,-0.00019561+0.025201i,-0.0081711-0.016102i,0.019221+0.0077631i
-0.0034494-0.0018293i,0.004481+0.0018119i,-0.0060746-0.0016961i,0.0087915+0.0013415i,-0.014286-0.0002931i,0.030529-0.0038179i,-0.87697+0.26632i,-0.037197+0.021623i,0.015657-0.022554i,0.19651+0.32791i,0.025354+0.0022048i,-0.020046+0.0073081i,0.016622-0.019415i
