-0.00045049+0.0024657i,-6.3528e-05-0.0032925i,0.00094306+0.0045645i,-0.0025842-0.0067152i,0.0061775+0.011005i,-0.017545-0.023426i,0.6404+0.65422i,0.034567+0.025136i,-0.021704-0.005162i,-0.021353-0.3658i,-0.023136-0.030053i,0.025864+0.021658i,-0.037249-0.017417i
-0.00479-0.0060002i,0.0059936+0.0065003i,-0.0078139-0.0071122i,0.01085+0.0078971i,-0.016854-0.0090032i,0.034196+0.011037i,-0.91949-0.070733i,-0.035001+0.0093092i,0.0097102-0.014109i,0.34831+0.12756i,0.030445-0.010567i,-0.021729+0.018178i,0.017494-0.031999i
0.0020874+3.488e-05i,-0.0027713-0.00050815i,0.0038763+0.0012885i,-0.0058608-0.0026923i,0.010122+0.0056507i,-0.023588-0.014628i,0.77278+0.48636i,0.041211+0.022754i,-0.031182-0.0089244i,0.3031-0.23885i,-0.0042138-0.027215i,0.012559+0.023765i,-0.024964-0.026592i
-0.0087193-0.0030951i,0.0096803+0.0038628i,-0.010981-0.005069i,0.012914+0.0071836i,-0.016334-0.011638i,0.025337+0.025542i,-0.46255-0.79563i,-0.0086981-0.041225i,-0.0008806+0.031977i,-0.0639-0.39012i,-0.016054-0.0037508i,0.020126-0.0049821i,-0.030533+0.014751i
0.0015265+0.01208i,-0.0017267-0.013728i,0.0019914+0.016042i,-0.0023593-0.019625i,0.0029137+0.026228i,-0.0039182-0.044213i,0.022704+0.9318i,-0.0058578+0.024472i,0.012888-0.0014408i,-0.36052-0.13268i,-0.014932+0.0028171i,0.0066968-0.012669i,-0.00070566+0.027709i
0.0078567-0.0033805i,-0.0088468+0.0043535i,0.010197-0.0058532i,-0.012208+0.0084044i,0.01572-0.013552i,-0.024634+0.028729i,0.43171-0.8173i,0.0038508-0.034081i,0.011595+0.013348i,-0.30219+0.22523i,-0.0029776+0.026329i,-0.0088727-0.021436i,0.024335+0.021381i
0.0011666-0.0014619i,-0.00057641+0.0012226i,-0.0004457-0.00074606i,0.0023665-0.00025609i,-0.0065862+0.0026861i,0.019939-0.011113i,-0.75038+0.51046i,-0.041005+0.034474i,0.02565-0.031625i,0.032092+0.39496i,0.026997-0.00010394i,-0.028469+0.010802i,0.03574-0.023444i
0.0030811-0.0076756i,-0.0039731+0.0083153i,0.005378-0.0091044i,-0.0078391+0.010131i,0.013004-0.011618i,-0.029019+0.014513i,0.9091-0.10965i,0.046535+0.010535i,-0.034518-0.016857i,0.37083+0.16004i,0.00085458-0.011804i,0.006714+0.020313i,-0.014238-0.033801i
-0.011491-0.0038405i,0.013098+0.0043203i,-0.01535-0.0050071i,0.018819+0.0061065i,-0.025151-0.0082418i,0.042137+0.014505i,-0.86413-0.35033i,-0.019672-0.014331i,-0.005093+0.010896i,0.30844-0.22978i,0.0053174-0.011815i,0.0080703+0.0084183i,-0.024799-0.0073369i
-0.0013202+0.010426i,0.00089135-0.011852i,-0.0001336+0.013838i,-0.0013112-0.016873i,0.0045184+0.02235i,-0.01474-0.036815i,0.57614+0.72424i,0.032221+0.013575i,-0.020524+0.0094912i,-0.02099-0.38352i,-0.021432-0.0087437i,0.022619-0.0053888i,-0.027875+0.021465i
0.0032796-0.00013347i,-0.0034488+0.00084597i,0.0035922-0.0020524i,-0.0036346+0.0042936i,0.0033092-0.009208i,-0.0011455+0.024871i,-0.16623-0.89366i,-0.019326-0.049309i,0.02296+0.034928i,-0.35861-0.18535i,-0.0030786+0.017959i,-0.0071102-0.024133i,0.018228+0.034825i
0.0043184+0.0050595i,-0.0044962-0.0060821i,0.0046062+0.0076298i,-0.0045154-0.010237i,0.0037774+0.015506i,-3.153e-05-0.031296i,-0.26268+0.8766i,-0.026558+0.039554i,0.028188-0.025393i,-0.33309+0.22873i,0.0058497+4.3373e-05i,-0.017265+0.0034818i,0.032441-0.0068748i
0.007151-0.011963i,-0.0081861+0.013418i,0.0096656-0.015405i,-0.012008+0.018373i,0.016445-0.023589i,-0.028924+0.036984i,0.66398-0.65798i,0.021906-0.007442i,-0.0080016-0.014571i,0.026267+0.38991i,0.0026729+0.0034142i,-0.0052987+0.011461i,0.0093416-0.028884i
-0.0050573+0.005251i,0.0054404-0.0064901i,-0.0059078+0.0083512i,0.006515-0.011434i,-0.0074193+0.017488i,0.0093837-0.034867i,-0.093104+0.91824i,0.0029277+0.034001i,-0.0030638-0.0088138i,-0.15153-0.33171i,-0.021193-0.026935i,0.022441+0.017089i,-0.031987-0.0082517i
0.002338-6.0437e-05i,-0.0030184+0.00069991i,0.0040563-0.0017712i,-0.0057963+0.0037392i,0.0092335-0.008004i,-0.019073+0.02143i,0.51247-0.75751i,0.018198-0.040545i,-0.001117+0.026629i,-0.36937-0.059678i,-0.027383+0.020333i,0.019276-0.024246i,-0.015457+0.035678i
-0.0025827+0.0059363i,0.003367-0.006628i,-0.004609+0.0075909i,0.0067946-0.0090822i,-0.011395+0.011874i,0.025666-0.019785i,-0.80806+0.43403i,-0.041071+0.015323i,0.029114-0.01103i,-0.24433+0.30394i,0.0059011+0.020732i,-0.012553-0.017979i,0.023888+0.021375i
0.011993-0.00056844i,-0.013531+0.0007219i,0.015694-0.00092627i,-0.019064+0.0012056i,0.025352-0.0015973i,-0.042843+0.0021343i,0.92972+0.004067i,0.028453+0.0061777i,-0.01058-0.012697i,0.14515+0.35381i,0.015162+0.01402i,-0.018465-0.0047505i,0.028546-0.0052211i
-0.0048572-0.0083904i,0.0059771+0.0093599i,-0.0076531-0.010677i,0.010417+0.012638i,-0.015818-0.016096i,0.031223+0.025095i,-0.80872-0.45362i,-0.028769-0.0071767i,0.0053247-0.0044519i,0.36568+0.061303i,0.027476-0.009566i,-0.017798+0.016548i,0.011152-0.029807i
-5.6079e-05+0.0025179i,-0.00025788-0.0034165i,0.00081662+0.004816i,-0.0019046-0.0072161i,0.0044017+0.012084i,-0.012718-0.026462i,0.49169+0.77188i,0.029845+0.032503i,-0.02491-0.011802i,0.25491-0.27999i,-0.0046893-0.029937i,0.012942+0.024181i,-0.02593-0.023856i
-0.0057588-0.0032545i,0.0061755+0.0041326i,-0.0066752-0.0055185i,0.0073064+0.0079544i,-0.0082026-0.013088i,0.0099974+0.029081i,-0.079224-0.91136i,0.005129-0.046908i,-0.0055488+0.035119i,-0.12044-0.37641i,-0.021136+0.00018894i,0.022551-0.0089929i,-0.030025+0.020089i
-0.00017724+0.011213i,0.00041571-0.01272i,-0.00082728+0.014832i,0.0016153-0.018098i,-0.0034187+0.024113i,0.0094932-0.040511i,-0.36744+0.85199i,-0.023546+0.022636i,0.022992-0.0024072i,-0.38421-0.072542i,-0.00925+0.0056006i,0.00057015-0.013712i,0.0073583+0.027091i
0.010002-0.0025997i,-0.011385+0.0033194i,0.01332-0.0044186i,-0.016296+0.0062678i,0.02172-0.0099467i,-0.036251+0.020603i,0.73887-0.56364i,0.01658-0.021507i,0.004491+0.0050118i,-0.25507+0.27582i,-0.0033866+0.023299i,-0.0082777-0.017047i,0.023879+0.014421i
-0.00052869-0.0044399i,0.0013803+0.0047129i,-0.0027743-0.0049887i,0.0052774+0.0052119i,-0.010578-0.0051692i,0.026872+0.0036307i,-0.901+0.13892i,-0.044919+0.020314i,0.02517-0.025046i,0.09292+0.37724i,0.029151+0.0010809i,-0.028257+0.010582i,0.032574-0.024825i
0.0019431-0.0045543i,-0.0027122+0.0046306i,0.0039541-0.004591i,-0.0061801+0.0042693i,0.010949-0.0031408i,-0.025992-0.0014419i,0.86263+0.28859i,0.046527+0.024931i,-0.036015-0.021814i,0.3913+0.10432i,-0.00037613-0.017059i,0.0092511+0.023016i,-0.019086-0.033968i
