-0.02331-0.069223i,0.029998+0.07671i,-0.041671-0.086668i,0.069708+0.10127i,-0.62472-0.15225i,0.0056794+0.15855i,-0.12729-0.30778i,-0.35685-0.42692i,0.091933+0.021841i,-0.020555+0.12191i,0.065728-0.010192i,-0.046902+0.061742i,0.038191-0.097557i
0.013345+0.069608i,-0.019096-0.07735i,0.029586+0.0877i,-0.056039-0.10301i,0.60842+0.16013i,0.014417-0.1621i,0.093793+0.31892i,0.32882+0.4539i,-0.10024-0.028268i,0.049799-0.12287i,-0.073429+0.0039765i,0.063253-0.057531i,-0.061071+0.094166i
-0.0039977-0.067992i,0.0088178+0.075822i,-0.018127-0.086362i,0.042985+0.10213i,-0.59265-0.16504i,-0.034034+0.16216i,-0.060247-0.32524i,-0.29786-0.48075i,0.10716+0.038081i,-0.078376+0.117i,0.079422+0.0052739i,-0.078004+0.048588i,0.082281-0.084581i
-0.0043332+0.064669i,0.00040148-0.07243i,0.0077681+0.08297i,-0.031069-0.09895i,0.57799+0.16734i,0.052508-0.1591i,0.027476+0.32706i,0.26348+0.5069i,-0.11184-0.050796i,0.10483-0.10475i,-0.082878-0.016969i,0.089975-0.035539i,-0.1003+0.069499i
0.011353-0.06i,-0.0082387+0.067555i,0.0011313-0.077927i,0.020692+0.093905i,-0.56491-0.16746i,-0.069304+0.15337i,0.0038289-0.32485i,-0.22539-0.53164i,0.11358+0.065754i,-0.12786+0.086857i,0.08317+0.03033i,-0.098208+0.019275i,0.11387-0.049963i
-0.01688+0.054383i,0.014487-0.061617i,-0.0083366+0.071676i,-0.012124-0.087466i,0.5537+0.16591i,0.084041-0.14553i,-0.033138+0.31918i,0.18347+0.55418i,-0.11189-0.082164i,0.14643-0.064274i,-0.079904-0.044453i,0.10201-0.00087678i,-0.12203+0.027274i
0.020837-0.048214i,-0.019054+0.055041i,0.013733-0.064677i,0.0055078+0.080127i,-0.54456-0.16324i,-0.096485+0.13616i,0.060083-0.31068i,-0.1378-0.57373i,0.10649+0.099169i,-0.15973+0.038132i,0.072936+0.058377i,-0.10101-0.018459i,0.1242-0.0028989i
-0.023241+0.04187i,0.021947-0.048233i,-0.017317+0.057368i,-0.00086384-0.072365i,0.53753+0.15995i,0.10655-0.12582i,-0.084455+0.29998i,0.088635+0.58949i,-0.097292-0.11589i,0.16722-0.0096589i,-0.062368-0.071149i,0.09511+0.037504i,-0.12018-0.021621i
0.024186-0.035684i,-0.023255+0.041556i,0.019173-0.050147i,-0.001886+0.064621i,-0.53254-0.15655i,-0.11427+0.11508i,0.10619-0.28768i,-0.0364-0.60073i,0.084425+0.13148i,-0.16866-0.019875i,0.048531+0.081879i,-0.084531-0.055064i,0.11014+0.044766i
-0.023819+0.029939i,0.023132-0.035322i,-0.019458+0.04336i,0.0029003-0.057278i,0.52944+0.15345i,0.11978-0.10441i,-0.12533+0.27436i,-0.018333+0.60682i,-0.068181-0.14516i,0.16404+0.049212i,-0.031951-0.089792i,0.069757+0.07005i,-0.094585-0.065121i
