0.0031857-0.044135i,-0.0030105+0.051759i,0.0029107-0.063187i,-0.0032044+0.082446i,0.0053238-0.12257i,-0.020526+0.26414i,-0.15634+0.77768i,0.089484-0.12048i,-0.38247-0.021511i,-0.1482-0.07647i,0.073525+0.040877i,0.061015-0.12084i,0.039806+0.022775i
-0.025099-0.010824i,0.031037+0.013104i,-0.040167-0.016919i,0.055894+0.024207i,-0.089222-0.041701i,0.20786+0.11366i,0.66443+0.49324i,-0.10946-0.15987i,-0.057988+0.41423i,-0.11455+0.10452i,0.077691-0.034951i,0.08506+0.028322i,0.047846-0.012749i
-0.018377+0.032464i,0.02272-0.037338i,-0.029717+0.044415i,0.042517-0.055894i,-0.071781+0.07874i,0.18613-0.15508i,0.73691-0.37753i,-0.20564+0.02425i,0.42282+0.16113i,0.07396+0.079515i,-0.011182-0.029808i,0.10155+0.12176i,-0.00097778-0.010165i
0.0064144+0.036981i,-0.0078401-0.043069i,0.009914+0.05243i,-0.013199-0.068792i,0.019297+0.10465i,-0.036775-0.23976i,-0.056711-0.82437i,-0.026933+0.20006i,0.21612-0.38417i,0.097524-0.082139i,-0.048917+0.033391i,0.037546+0.12379i,-0.03118+0.015632i
0.016596+0.0037908i,-0.021393-0.0049847i,0.029186+0.0070457i,-0.04349-0.011105i,0.076114+0.021143i,-0.2025-0.063617i,-0.80535-0.30295i,0.21586+0.1067i,-0.38086-0.29774i,-0.035295-0.081277i,-0.015111+0.031539i,-0.075906+0.091144i,-0.022785+0.0068661i
0.0064652-0.029736i,-0.0095949+0.034139i,0.01484-0.04085i,-0.024763+0.052505i,0.048077-0.077958i,-0.14104+0.17387i,-0.61811+0.58384i,0.18452-0.14155i,-0.37958+0.29021i,-0.054423+0.071989i,-0.0033756-0.031115i,-0.13333+0.037284i,-0.011451-0.026176i
-0.0068236-0.034618i,0.0082535+0.040345i,-0.010637-0.049132i,0.015164+0.064478i,-0.025948-0.098138i,0.069899+0.22534i,0.29775+0.78088i,-0.093987-0.1939i,0.23607+0.39344i,0.058491+0.09171i,-0.021434-0.038525i,-0.10521-0.062556i,-0.00035118-0.023786i
-0.01002-0.0091984i,0.014713+0.010759i,-0.022497-0.012923i,0.037045+0.016202i,-0.070767-0.022068i,0.20327+0.038625i,0.86477+0.052978i,-0.24643+0.02353i,0.46453-0.16059i,0.051292-0.059i,0.011506+0.020285i,-0.04828-0.15747i,0.033553+0.013641i
-0.0015243+0.026704i,0.0047315-0.031406i,-0.009889+0.038777i,0.019103-0.051956i,-0.039156+0.081589i,0.11166-0.19634i,0.42304-0.72865i,-0.081011+0.19815i,-0.043794-0.43795i,-0.10321-0.10108i,0.075822+0.03328i,0.016451-0.14482i,0.05929+0.026307i
0.01262+0.042292i,-0.01505-0.04901i,0.019029+0.058936i,-0.026499-0.075434i,0.044204+0.1094i,-0.11656-0.22817i,-0.49332-0.64284i,0.15946+0.093553i,-0.42893+0.017129i,-0.11929+0.049109i,0.048952-0.022205i,0.1134-0.024694i,0.016555+0.0035098i
0.017233+0.017741i,-0.02349-0.018982i,0.033346+0.020266i,-0.050748-0.021293i,0.088587+0.020636i,-0.22711-0.0068593i,-0.81864+0.18935i,0.17081-0.1237i,-0.092161+0.42763i,0.087161+0.11379i,-0.070022-0.030456i,0.19259+0.082502i,-0.068376-0.00054092i
-0.0091962-0.036316i,0.011578+0.044225i,-0.015183-0.056137i,0.021283+0.076157i,-0.033958-0.1173i,0.078133+0.25827i,0.24062+0.73721i,-0.034488-0.077444i,-0.047278-0.29444i,-0.050037-0.21167i,0.030642+0.12141i,0.023317+0.049044i,0.016801+0.069818i
-0.047719-0.0065081i,0.056587+0.0072565i,-0.069699-0.008429i,0.091337+0.010521i,-0.13506-0.015189i,0.28276+0.032964i,0.75196+0.10685i,-0.064565-0.023774i,-0.31747+0.035992i,-0.19369+0.0019451i,0.095549+0.0044648i,-0.12604+0.13079i,0.050257-0.0032438i
-0.028835+0.032477i,0.033176-0.039765i,-0.039597+0.050683i,0.050289-0.068907i,-0.072357+0.10602i,0.14982-0.23172i,0.42062-0.64507i,-0.062634+0.057227i,0.0038926+0.31319i,-0.022148+0.20353i,0.0054641-0.10936i,-0.13603+0.13812i,0.0010301-0.070733i
0.024585+0.025989i,-0.029772-0.031842i,0.037437+0.040872i,-0.050006-0.056516i,0.075001+0.089929i,-0.15688-0.21018i,-0.39172-0.6848i,0.0080505+0.12293i,0.33544-0.00518i,0.1813+0.088247i,-0.096021-0.062864i,-0.069939+0.00056775i,-0.04836-0.044575i
0.046195-0.017977i,-0.054022+0.020736i,0.065715-0.024509i,-0.085344+0.030086i,0.12606-0.039625i,-0.26893+0.06417i,-0.77689+0.048406i,0.11351+0.065665i,0.055388-0.37222i,0.089515-0.13458i,-0.049482+0.051333i,-0.034504-0.16188i,-0.017161+0.024895i
