-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
0.021622+0.019822i,-0.023975-0.020026i,0.027264+0.019776i,-0.032392-0.018505i,0.04207+0.014537i,-0.069469-6.5547e-05i,0.84573-0.43844i,0.066884-0.070065i,-0.066595+0.027918i,-0.14443-0.17784i,0.054677+0.1131i,-0.050194-0.1316i,0.059828-0.018083i
0.0063117-0.031492i,-0.0054025+0.034114i,0.0037243-0.037538i,-0.00045171+0.042468i,-0.0068424-0.051005i,0.029565+0.073421i,-0.68023-0.68463i,-0.075638-0.034322i,0.032798+0.045133i,-0.11878+0.19952i,0.078196-0.097622i,-0.093914+0.10217i,-0.051543-0.058022i
-0.031124+0.011254i,0.033319-0.013409i,-0.036048+0.016608i,0.039736-0.021866i,-0.04567+0.03215i,0.060259-0.061446i,-0.44999+0.86573i,-0.011344+0.06836i,0.034335-0.02777i,0.22416+0.042758i,-0.11527-0.028071i,0.12526+0.03739i,-0.030486+0.084902i
0.024971+0.020364i,-0.028015-0.021465i,0.032263+0.022721i,-0.038824-0.024227i,0.050934+0.026314i,-0.083885-0.030922i,0.96854+0.16283i,0.059386+0.00034925i,-0.025054-0.035588i,-0.031398-0.21592i,0.018583+0.10557i,-0.016388-0.11656i,0.097424-0.018636i
0.0046294-0.029248i,-0.0043323+0.032482i,0.0037664-0.03692i,-0.0026801+0.043652i,0.00040919-0.055875i,0.0057729+0.088782i,-0.14415-0.97275i,-0.004931-0.056784i,-0.040791+0.033105i,-0.18437+0.089017i,0.079295-0.04783i,-0.087911+0.051056i,-0.070182-0.076904i
-0.024052+0.0086198i,0.026779-0.010139i,-0.030548+0.012312i,0.036322-0.015713i,-0.046954+0.021943i,0.076139-0.038151i,-0.87843+0.43406i,-0.060359+0.013889i,0.050946+0.038564i,0.12625+0.1441i,-0.057791-0.052176i,0.063873+0.057107i,-0.028448+0.10097i
0.014589+0.014431i,-0.016833-0.016263i,0.020015+0.01886i,-0.024975-0.022965i,0.034097+0.030822i,-0.058298-0.053372i,0.67521+0.70089i,0.031625+0.062483i,0.022493-0.069145i,0.10546-0.14933i,-0.034591+0.05767i,0.036082-0.064711i,0.097792-0.027856i
0.0067292-0.013834i,-0.0076724+0.016302i,0.0090515-0.019874i,-0.011325+0.025573i,0.015923-0.036344i,-0.03004+0.065877i,0.46431-0.84733i,0.054212-0.054846i,-0.07661+0.0042899i,-0.16739-0.069222i,0.059501+0.025666i,-0.066769-0.024225i,-0.068899-0.065106i
-0.01117-0.0041721i,0.013614+0.0044544i,-0.017225-0.0048382i,0.023118+0.0054597i,-0.034533-0.0068092i,0.066692+0.011685i,-0.94179-0.19383i,-0.073893-0.032319i,0.031285+0.068413i,-0.028701+0.18398i,0.015752-0.068578i,-0.011142+0.075791i,-0.021277+0.082119i
-0.0048942+0.011659i,0.0046757-0.014103i,-0.0042331+0.017704i,0.0033687-0.02357i,-0.0015902+0.034951i,-0.0029581-0.067228i,0.089193+0.95709i,-0.0022745+0.07943i,0.049172-0.047944i,0.19352-0.022517i,-0.079349+0.0047548i,0.085468-0.013421i,0.071624-0.013788i
-0.0012589-0.003803i,0.0017741+0.0050988i,-0.0024982-0.0072881i,0.0035779+0.011382i,-0.0053526-0.020474i,0.0089875+0.049693i,-0.058658-0.93758i,0.013856-0.11001i,-0.052585+0.10129i,-0.14403+0.055275i,0.047271+0.022625i,-0.041076-0.053534i,-0.0016385-0.091447i
0.0020944+0.00080202i,-0.0012806-0.0015821i,-0.00029717+0.0028163i,0.0035582-0.0049447i,-0.011352+0.0092125i,0.037777-0.021241i,-0.87021+0.33287i,-0.11689+0.021819i,0.11987+0.018509i,0.082908+0.12928i,0.018719-0.057876i,-0.050068+0.062706i,-0.067703+0.030055i
-0.0056626-0.0046869i,0.0050023+0.0042372i,-0.0037177-0.0031982i,0.0011202+0.00082253i,0.0048225+0.0052425i,-0.023673-0.026789i,0.56847+0.72862i,0.064484+0.10813i,-0.02649-0.12257i,0.11555-0.11225i,-0.075655-0.0045231i,0.091718+0.031755i,0.03632+0.043309i
0.00020103+0.013138i,-0.0006493-0.012709i,0.0015061+0.011544i,-0.0032876-0.0087677i,0.0076452+0.0017415i,-0.023004+0.022176i,0.53131-0.7507i,0.078437-0.10309i,-0.10266+0.070602i,-0.14833-0.094423i,0.026781+0.088686i,-0.0085024-0.11358i,0.032593-0.031608i
0.014869-0.011301i,-0.014416+0.012045i,0.013143-0.013016i,-0.010056+0.01446i,0.00214-0.017181i,0.025195+0.02548i,-0.872-0.29473i,-0.12444-0.032154i,0.099406+0.063867i,-0.055122+0.18591i,0.082232-0.069813i,-0.11095+0.063672i,-0.032937-0.035197i
-0.022328-0.0071816i,0.023319+0.0062637i,-0.024334-0.0044529i,0.025321+0.00071826i,-0.026161+0.0080759i,0.026628-0.037165i,-0.032335+0.9264i,0.017789+0.1212i,0.019342-0.10462i,0.2108-0.0062051i,-0.10845-0.04934i,0.11443+0.075712i,-0.037193+0.049635i
0.0076269+0.025966i,-0.0092996-0.026769i,0.011901+0.027342i,-0.016416-0.027328i,0.025827+0.025682i,-0.054646-0.017648i,0.90637-0.24147i,0.096589-0.056627i,-0.089257+0.015688i,-0.081209-0.20796i,0.0030954+0.125i,0.015885-0.13975i,0.0755+0.022172i
0.018743-0.022392i,-0.018765+0.024691i,0.018255-0.02787i,-0.016571+0.032779i,0.011813-0.041973i,0.0049039+0.067922i,-0.50644-0.80489i,-0.075893-0.062539i,0.032752+0.06557i,-0.17114+0.15199i,0.11101-0.057181i,-0.12932+0.047742i,-0.015497-0.092278i
-0.029494-0.0034541i,0.031864+0.0023089i,-0.034942-0.00032831i,0.039352-0.00337i,-0.046979+0.011383i,0.067095-0.035938i,-0.62174+0.73521i,-0.032448+0.077521i,0.047189-0.034523i,0.20017+0.10749i,-0.094047-0.072557i,0.093103+0.089553i,-0.082203+0.064642i
0.012509+0.025621i,-0.014747-0.027351i,0.018053+0.029485i,-0.023472-0.032356i,0.034066+0.036984i,-0.064303-0.048576i,0.898+0.36954i,0.071272+0.013392i,-0.031921-0.040654i,0.033995-0.21648i,-0.026348+0.10449i,0.039223-0.10903i,0.10293+0.04099i
0.013694-0.02181i,-0.014281+0.024623i,0.014888-0.028605i,-0.01551+0.034859i,0.016198-0.046626i,-0.017597+0.079293i,0.075022-0.97121i,0.00293-0.067364i,-0.04203+0.035987i,-0.20465+0.031872i,0.093195-0.010605i,-0.10014+0.0022833i,-0.017736-0.11055i
-0.021649-0.00069735i,0.024359+8.3133e-05i,-0.028178+0.00090293i,0.034161-0.0026036i,-0.04542+0.0059486i,0.076848-0.014923i,-0.94528+0.22635i,-0.069397+0.0075229i,0.050132+0.040733i,0.081131+0.17721i,-0.030834-0.074002i,0.026171+0.081545i,-0.082812+0.069782i
0.0070448+0.015082i,-0.0085179-0.017192i,0.01069+0.020222i,-0.014208-0.025072i,0.020892+0.034436i,-0.038997-0.061347i,0.49964+0.82702i,0.02529+0.072381i,0.027758-0.068018i,0.14629-0.116i,-0.059633+0.039249i,0.067268-0.037493i,0.094694+0.033119i
0.008371-0.0078802i,-0.0097595+0.0097442i,0.011801-0.012535i,-0.015162+0.017138i,0.021869-0.026095i,-0.041913+0.051176i,0.63547-0.71869i,0.067069-0.050258i,-0.078391-0.0025338i,-0.14487-0.1159i,0.047358+0.053127i,-0.048668-0.060594i,-0.01562-0.087487i
-0.0054163-0.0063034i,0.0073821+0.0071427i,-0.010408-0.0083411i,0.015535+0.010275i,-0.025799-0.014127i,0.055416+0.025939i,-0.8691-0.39404i,-0.074265-0.04744i,0.026357+0.073364i,-0.080904+0.1735i,0.046812-0.06321i,-0.052957+0.06818i,-0.060058+0.045218i
-0.0087794+0.0053641i,0.0092604-0.0074421i,-0.0098014+0.010642i,0.010457-0.016074i,-0.011463+0.026996i,0.014363-0.058797i,-0.12404+0.94526i,-0.015972+0.086468i,0.054291-0.047024i,0.19869+0.033168i,-0.08431-0.029344i,0.092679+0.031912i,0.052466+0.03167i
-0.0066585-0.0021383i,0.0073262+0.0034505i,-0.0080726-0.0056731i,0.0088387+0.0098235i,-0.0093083-0.018993i,0.0073653+0.048199i,0.13611-0.92553i,0.049252-0.10689i,-0.086957+0.090121i,-0.13643+0.019779i,0.020832+0.035358i,0.0024489-0.063717i,0.042578-0.077289i
0.0063518+0.0069758i,-0.0056344-0.0079792i,0.0041069+0.0093241i,-0.00078493-0.011257i,-0.0073722+0.014396i,0.035331-0.021197i,-0.91506+0.14539i,-0.12621-0.015046i,0.12123+0.056734i,0.043392+0.12921i,0.042044-0.033459i,-0.077243+0.021305i,-0.068888-0.011182i
-0.0006835-0.012851i,-0.0001663+0.012692i,0.0015448-0.011882i,-0.0039741+0.0095575i,0.0089435-0.0030001i,-0.023248-0.02135i,0.40316+0.82389i,0.031811+0.13163i,0.0096618-0.139i,0.12652-0.068738i,-0.059156-0.039825i,0.060875+0.077101i,0.00082349+0.054109i
-0.011255+0.012327i,0.011264-0.011907i,-0.010792+0.010839i,0.0091642-0.0083753i,-0.0042213+0.0022921i,-0.014971+0.017929i,0.66828-0.6188i,0.11401-0.081647i,-0.13257+0.044152i,-0.1045-0.12116i,-0.017175+0.087641i,0.050266-0.10331i,0.049826-0.00032392i
0.020354+0.00051973i,-0.020227-0.0002402i,0.019366-0.0003603i,-0.016858+0.0017156i,0.0099389-0.0052406i,0.014691+0.018264i,-0.78242-0.46392i,-0.11945-0.073331i,0.088499+0.10089i,-0.1+0.14968i,0.10161-0.025898i,-0.12786+0.0027629i,-0.0043712-0.060142i
-0.01419-0.018626i,0.014935+0.018327i,-0.015834-0.017213i,0.017041+0.014278i,-0.019101-0.0064502i,0.025071-0.021169i,-0.22296+0.88709i,-0.020251+0.13327i,0.054576-0.11024i,0.19174+0.053696i,-0.075788-0.087897i,0.065755+0.11879i,-0.073247+0.026413i
-0.0067263+0.024588i,0.0057871-0.025531i,-0.0039645+0.026417i,0.00023669-0.027101i,0.0085104+0.027197i,-0.037443-0.025198i,0.92399-0.043096i,0.12119-0.029127i,-0.10694-0.010215i,-0.01523-0.21304i,-0.046591+0.11242i,0.07573-0.11497i,0.064966+0.069988i
0.024551-0.0095142i,-0.025114+0.011221i,0.025349-0.013826i,-0.024812+0.018277i,0.022203-0.027455i,-0.011553+0.055425i,-0.31776-0.88259i,-0.062031-0.092205i,0.019145+0.087755i,-0.2012+0.091791i,0.12096-0.0080712i,-0.1326-0.01474i,0.038219-0.10281i
-0.021631-0.014055i,0.023759+0.013697i,-0.026693-0.012708i,0.031216+0.01037i,-0.039708-0.0045649i,0.063843-0.014616i,-0.7562+0.57611i,-0.060338+0.075538i,0.067132-0.031031i,0.15594+0.1568i,-0.055847-0.10042i,0.040992+0.11659i,-0.11752+0.017047i
0.00090848+0.023853i,-0.0023517-0.02575i,0.0046986+0.028229i,-0.0088838-0.031827i,0.017658+0.038188i,-0.04399-0.055514i,0.78717+0.54934i,0.076642+0.03608i,-0.03353-0.055408i,0.093049-0.19322i,-0.063435+0.082221i,0.080508-0.074494i,0.074889+0.096295i
0.016568-0.012318i,-0.017637+0.014533i,0.018957-0.017822i,-0.020758+0.02325i,0.023782-0.033947i,-0.03199+0.064764i,0.2816-0.92194i,0.020738-0.076025i,-0.05277+0.038416i,-0.20164-0.027882i,0.086003+0.027555i,-0.083686-0.043739i,0.044975-0.11054i
-0.015308-0.005641i,0.017693+0.0056526i,-0.021182-0.0055435i,0.02686+0.005207i,-0.037946-0.0044102i,0.06981+0.0024969i,-0.9625+0.015078i,-0.079958-0.0074226i,0.052253+0.050448i,0.026239+0.19051i,0.0040455-0.077893i,-0.01886+0.079856i,-0.11031+0.014866i
0.0018684+0.011012i,-0.0027093-0.013034i,0.0040122+0.01605i,-0.0062069-0.021063i,0.010481+0.031078i,-0.022049-0.06058i,0.30491+0.90721i,0.012286+0.085917i,0.038124-0.071635i,0.17224-0.06795i,-0.071351+0.0081852i,0.077426+0.0047749i,0.058936+0.079302i
0.0052181-0.0025762i,-0.0066755+0.0038441i,0.0089248-0.005836i,-0.012796+0.009261i,0.020803-0.016148i,-0.045229+0.035795i,0.76897-0.55773i,0.084885-0.040824i,-0.085752-0.012245i,-0.10451-0.15311i,0.01963+0.072315i,-0.0099495-0.082448i,0.037096-0.074542i
0.0011276-0.0038398i,0.00024855+0.0048761i,-0.0025259-0.0064617i,0.006626+0.0091816i,-0.015234-0.014838i,0.040888+0.032401i,-0.75425-0.56809i,-0.071635-0.06858i,0.020609+0.084378i,-0.1294+0.14334i,0.074996-0.040544i,-0.087959+0.036255i,-0.066696-0.0043082i
-0.0084439-0.0031663i,0.0093059+0.0016869i,-0.010462+0.00080743i,0.012203-0.0053727i,-0.015464+0.015114i,0.025089-0.044683i,-0.3247+0.88508i,-0.036469+0.092835i,0.065625-0.047697i,0.18374+0.091525i,-0.071622-0.066635i,0.074176+0.079449i,0.010461+0.052201i
-0.012484-0.0047786i,0.013273+0.0063817i,-0.014004-0.0089224i,0.014414+0.01339i,-0.013545-0.022745i,0.0060967+0.051205i,0.3237-0.87683i,0.082908-0.089971i,-0.11769+0.064553i,-0.12198-0.0045678i,-0.0064566+0.031009i,0.043842-0.047326i,0.070719-0.041294i
0.0060055+0.015126i,-0.0050847-0.016432i,0.0032933+0.017969i,0.00038511-0.019782i,-0.0090563+0.02184i,0.037867-0.023322i,-0.92362-0.045569i,-0.12098-0.055002i,0.10687+0.096499i,0.013706+0.11812i,0.048157-0.0017893i,-0.077199-0.028079i,-0.04573-0.045205i
0.0084186-0.016869i,-0.0096796+0.01673i,0.011388-0.015866i,-0.013883+0.013327i,0.018054-0.0061423i,-0.027623-0.02039i,0.22509+0.88592i,-0.0096548+0.14181i,0.053603-0.1406i,0.12183-0.031785i,-0.028158-0.060584i,0.011045+0.098842i,-0.035104+0.040896i
-0.020364+0.0052762i,0.020673-0.004511i,-0.020427+0.0031607i,0.018816-0.00062716i,-0.013269-0.004811i,-0.0091488+0.021074i,0.7766-0.46641i,0.14032-0.046105i,-0.15164+0.003987i,-0.061187-0.12855i,-0.053021+0.065788i,0.094274-0.064562i,0.044505+0.037768i
0.018535+0.013075i,-0.018315-0.013291i,0.01742+0.013109i,-0.015045-0.011925i,0.0087876+0.0077837i,0.012758+0.0093255i,-0.66567-0.61006i,-0.09727-0.11186i,0.06028+0.13391i,-0.12478+0.10559i,0.097261+0.019553i,-0.11143-0.056576i,0.037239-0.064554i
-0.0017992-0.02355i,0.0020568+0.023501i,-0.0025611-0.022696i,0.0036626+0.020187i,-0.006533-0.013096i,0.017356-0.012457i,-0.39753+0.81454i,-0.063242+0.12865i,0.09377-0.098793i,0.15612+0.097133i,-0.03102-0.10494i,0.0040441+0.13042i,-0.092359-0.016776i
-0.017218+0.016261i,0.016803-0.016945i,-0.015552+0.017697i,0.012446-0.01858i,-0.0043724+0.01987i,-0.023785-0.023358i,0.90337+0.14838i,0.13327+0.0096794i,-0.11171-0.046755i,0.042135-0.19518i,-0.082056+0.079361i,0.11279-0.065051i,0.027589+0.10768i
0.022544+0.0031913i,-0.023198-0.0020853i,0.023684+9.445e-05i,-0.023762+0.0037896i,0.022772-0.012642i,-0.017922+0.04146i,-0.12437-0.91947i,-0.033549-0.11576i,-0.008544+0.10361i,-0.2064+0.030058i,0.10672+0.037127i,-0.10429-0.067428i,0.092599-0.082054i
-0.010513-0.017997i,0.012185+0.018048i,-0.014708-0.017644i,0.018989+0.01625i,-0.027784-0.01231i,0.054609-0.0013244i,-0.85138+0.39909i,-0.088677+0.059154i,0.087418-0.013761i,0.10053+0.1842i,-0.011305-0.1057i,-0.014964+0.11226i,-0.12233-0.04458i
-0.0065481+0.016715i,0.0056735-0.018437i,-0.0040577+0.020856i,0.00090719-0.024682i,0.0061024+0.032095i,-0.027845-0.053884i,0.64568+0.69642i,0.07044+0.064106i,-0.024398-0.075344i,0.13672-0.15193i,-0.083534+0.046024i,0.096055-0.025078i,0.020195+0.12854i
0.013582-0.004197i,-0.014756+0.0058652i,0.016356-0.0084918i,-0.01882+0.013057i,0.023534-0.022443i,-0.037563+0.050272i,0.4667-0.83212i,0.046449-0.076917i,-0.071009+0.034073i,-0.17746-0.080135i,0.06099+0.055959i,-0.045439-0.072476i,0.097701-0.075822i
-0.0081809-0.0053983i,0.010153+0.0056982i,-0.013177-0.0060833i,0.018324+0.0066754i,-0.028768-0.0079318i,0.059632+0.012532i,-0.93399-0.18886i,-0.086178-0.031047i,0.051045+0.068072i,-0.028507+0.18259i,0.036053-0.063171i,-0.055577+0.053277i,-0.10201-0.045478i
0.00081888+0.0048522i,-0.0012954-0.0066009i,0.0020231+0.0093594i,-0.0032087-0.014186i,0.0053658+0.02425i,-0.010448-0.054794i,0.10276+0.94173i,-0.0094132+0.097784i,0.05605-0.074426i,0.17873-0.01395i,-0.065442-0.025786i,0.062246+0.047185i,0.0039809+0.095524i
-0.00084101-0.00047407i,-0.00043351+0.0013399i,0.0025749-0.0027342i,-0.0065308+0.0051679i,0.015174-0.010075i,-0.042482+0.023859i,0.86139-0.37588i,0.10342-0.022807i,-0.094383-0.02913i,-0.05304-0.17357i,-0.016054+0.075768i,0.036971-0.080402i,0.0703-0.03313i
0.0053117+0.0023525i,-0.0044106-0.0014293i,0.0027798-0.00016731i,0.00034641+0.0031931i,-0.0071883-0.0099702i,0.028021+0.031948i,-0.6074-0.70899i,-0.060882-0.093165i,0.0083283+0.099053i,-0.16487+0.097322i,0.090407-0.0050359i,-0.10267-0.01181i,-0.040831-0.046357i
-0.003435-0.010559i,0.0043167+0.0096719i,-0.005662-0.0079107i,0.0079737+0.0043216i,-0.012821+0.0039066i,0.028094-0.029998i,-0.50255+0.78434i,-0.063458+0.09268i,0.083307-0.043569i,0.14878+0.14226i,-0.041606-0.096019i,0.032362+0.11335i,-0.035508+0.040423i
-0.015321-0.011597i,0.015978+0.013704i,-0.016408-0.016775i,0.016147+0.021736i,-0.013627-0.031289i,0.00060106+0.058194i,0.50028-0.79331i,0.10744-0.060783i,-0.13669+0.026805i,-0.10915-0.018028i,-0.023655+0.012021i,0.067126-0.0098158i,0.074849+0.003125i
-0.00018533+0.021865i,0.0016417-0.023318i,-0.0040444+0.024865i,0.0084076-0.026341i,-0.017773+0.027061i,0.046774-0.02296i,-0.89706-0.23597i,-0.099793-0.090393i,0.075786+0.12927i,-0.0029678+0.10442i,0.035032+0.025698i,-0.048816-0.068198i,-0.008192-0.060129i
0.018865-0.014153i,-0.02055+0.013634i,0.022588-0.012291i,-0.025122+0.0091138i,0.0284-0.0010038i,-0.032895-0.027211i,0.038613+0.91527i,-0.053181+0.1343i,0.097692-0.12301i,0.1084-0.0079802i,0.0072758-0.060223i,-0.041981+0.089034i,-0.056899+0.0092492i
-0.023496-0.006423i,0.023738+0.0077484i,-0.023323-0.0096024i,0.021335+0.012413i,-0.01489-0.017328i,-0.010354+0.029306i,0.85607-0.29835i,0.15057-0.0010534i,-0.15274-0.044519i,-0.027632-0.12052i,-0.070417+0.02991i,0.10973-0.0088945i,0.01718+0.066772i
0.0094074+0.022286i,-0.0087152-0.022774i,0.0073832+0.022772i,-0.0047405-0.021528i,-0.0011553+0.016622i,0.019297+0.0041736i,-0.52702-0.73177i,-0.05943-0.13961i,0.016803+0.15419i,-0.12936+0.064109i,0.071237+0.054106i,-0.066773-0.096926i,0.076209-0.043513i
0.011068-0.020276i,-0.011291+0.020034i,0.01118-0.019067i,-0.010201+0.016514i,0.0066099-0.0098073i,0.0086157-0.01328i,-0.55298+0.71416i,-0.10316+0.1055i,0.12819-0.068625i,0.11375+0.11971i,0.013566-0.097285i,-0.052691+0.10832i,-0.084079-0.06635i
-0.020799+0.0037575i,0.020527-0.0039739i,-0.019448+0.0043589i,0.016577-0.0051771i,-0.0089333+0.0073476i,-0.017857-0.015865i,0.84932+0.32789i,0.12801+0.053286i,-0.098641-0.08678i,0.082837-0.16175i,-0.095473+0.03574i,0.11789-0.0054577i,-0.027294+0.11998i
0.014024+0.011894i,-0.014421-0.011168i,0.014775+0.0095682i,-0.015052-0.0060643i,0.01525-0.0024821i,-0.015871+0.031308i,0.066744-0.91884i,0.0055828-0.12646i,-0.045885+0.10601i,-0.19035-0.022926i,0.074198+0.067469i,-0.054824-0.096081i,0.12926-0.033134i
-5.5642e-05-0.014999i,0.0013021+0.015077i,-0.0034272-0.014845i,0.007419+0.013963i,-0.016292-0.011491i,0.044771+0.0033631i,-0.90815+0.21248i,-0.11001+0.029393i,0.10013+0.016047i,0.044684+0.18911i,0.027499-0.089548i,-0.058005+0.080641i,-0.092406-0.10144i
-0.0081791+0.0076022i,0.0075508-0.0090228i,-0.0063245+0.011221i,0.0038721-0.015047i,0.001613+0.023111i,-0.018416-0.048281i,0.4822+0.80877i,0.050909+0.090492i,-0.0027386-0.093043i,0.16054-0.10222i,-0.08322+0.007191i,0.083386+0.022587i,-0.045054+0.12634i
0.0071851-0.00015861i,-0.008248+0.0015018i,0.0098683-0.0036883i,-0.012671+0.0075806i,0.018614-0.015695i,-0.037519+0.039795i,0.62534-0.70966i,0.074452-0.066035i,-0.090804+0.018741i,-0.13934-0.11737i,0.027157+0.067444i,0.00036896-0.075677i,0.12351-0.017008i
-0.0035911-0.0012442i,0.0052729+0.0015782i,-0.0079403-0.0021644i,0.012608+0.0033389i,-0.022269-0.0062163i,0.051096+0.016668i,-0.86587-0.37794i,-0.082502-0.059676i,0.040624+0.089759i,-0.073623+0.15753i,0.05543-0.035531i,-0.071315+0.011916i,-0.061311-0.091423i
0.0039006+0.0001128i,-0.0042809-0.0016294i,0.0047345+0.0041452i,-0.0052457-0.0087283i,0.0056456+0.018571i,-0.0045539-0.048957i,-0.097424+0.93412i,-0.038405+0.10161i,0.080153-0.069658i,0.16629+0.035709i,-0.043686-0.051593i,0.026506+0.07436i,-0.050475+0.07752i
-0.0065407-0.0028706i,0.0054882+0.0036146i,-0.0035309-0.0047161i,-0.00035363+0.0064767i,0.0092622-0.0096836i,-0.038203+0.017569i,0.91319-0.18361i,0.1163+0.0048271i,-0.097587-0.054433i,-0.00033958-0.17411i,-0.048708+0.06108i,0.07601-0.053222i,0.072806+0.01993i
0.0046586+0.0097257i,-0.0039532-0.0090581i,0.0026743+0.0076399i,-0.00023594-0.0045834i,-0.0050289-0.0028376i,0.020669+0.028i,-0.43913-0.8138i,-0.038609-0.11572i,-0.014267+0.11171i,-0.18066+0.043614i,0.086618+0.03395i,-0.089827-0.061496i,0.005732-0.064342i
0.0048899-0.013471i,-0.0042587+0.012943i,0.0030507-0.011683i,-0.00058434+0.0088721i,-0.0052593-0.002112i,0.025023-0.019783i,-0.65112+0.65264i,-0.093296+0.080689i,0.10369-0.028824i,0.098964+0.17601i,-0.00045408-0.10781i,-0.022135+0.12122i,-0.065411+0.0016213i
-0.012482-0.020632i,0.012612+0.023277i,-0.012301-0.026885i,0.01089+0.032274i,-0.0062588-0.04177i,-0.012424+0.06607i,0.66129-0.67579i,0.11736-0.02439i,-0.13823-0.016958i,-0.1041-0.02533i,-0.023327-0.013616i,0.062354+0.035473i,0.055827+0.040254i
-0.011315+0.023805i,0.013525-0.025042i,-0.016752+0.026183i,0.021969-0.026853i,-0.032024+0.025728i,0.06035-0.015667i,-0.83514-0.42162i,-0.0655-0.11402i,0.031725+0.14721i,-0.0087704+0.096109i,0.0074115+0.038709i,-0.00087211-0.084407i,0.02878-0.051556i
0.026962-0.0042505i,-0.028839+0.0029745i,0.030932-0.00075478i,-0.033173-0.0034401i,0.035148+0.012711i,-0.034044-0.042002i,-0.15265+0.91102i,-0.090714+0.10908i,0.13296-0.086778i,0.094958+0.0014432i,0.035361-0.039108i,-0.080849+0.050139i,-0.055555-0.028121i
-0.018699-0.01936i,0.018422+0.021221i,-0.017354-0.023529i,0.014497+0.026522i,-0.0067764-0.030719i,-0.020906+0.037877i,0.90543-0.11779i,0.14153+0.045837i,-0.13279-0.092664i,-0.0087637-0.10507i,-0.064839-0.008648i,0.091931+0.046407i,-0.022869+0.073881i
-0.0045766+0.02486i,0.0059357-0.025215i,-0.0078966+0.024955i,0.010971-0.023197i,-0.016558+0.017159i,0.030816+0.0070541i,-0.36953-0.82761i,-0.011837-0.15043i,-0.035061+0.15535i,-0.11933+0.03341i,0.032296+0.068796i,-0.0080338-0.10688i,0.096925-0.0017438i
0.020291-0.0097311i,-0.020743+0.0089427i,0.020749-0.0074456i,-0.019611+0.0044974i,0.015076+0.0020567i,0.0043039-0.022225i,-0.68743+0.58915i,-0.13193+0.066813i,0.14922-0.023465i,0.074736+0.12323i,0.046041-0.069318i,-0.088242+0.060895i,-0.047521-0.10531i
-0.016618-0.0087418i,0.016086+0.0089417i,-0.014754-0.008866i,0.011707+0.0080575i,-0.0042139-0.0049908i,-0.020693-0.0083063i,0.76519+0.49262i,0.10492+0.093145i,-0.067664-0.12102i,0.10434-0.12294i,-0.085968-0.0057555i,0.092209+0.045708i,-0.083363+0.099714i
0.0024364+0.014127i,-0.0024496-0.013432i,0.0025349+0.011859i,-0.0028659-0.0083897i,0.004099-4.7801e-05i,-0.0099996+0.028229i,0.25143-0.88372i,0.047873-0.12051i,-0.084643+0.091279i,-0.16145-0.060664i,0.03451+0.077096i,-0.0010253-0.094682i,0.13498+0.030843i
0.0061776-0.007172i,-0.0051237+0.0070413i,0.0031599-0.0067284i,0.00074981+0.0060979i,-0.0097501-0.0048641i,0.039095+0.0022242i,-0.92851+0.021859i,-0.11815-0.0085003i,0.098885+0.052525i,-0.0023257+0.17666i,0.050979-0.059689i,-0.076302+0.034566i,-0.035144-0.13569i
-0.0045069+0.00048097i,0.0038507-0.0017094i,-0.0027245+0.0037884i,0.00068535-0.0076761i,0.0034836+0.016303i,-0.015103-0.044015i,0.30333+0.88654i,0.020433+0.10783i,0.028631-0.10072i,0.16567-0.054495i,-0.06583-0.022763i,0.049685+0.053073i,-0.10101+0.08967i
0.0010914-0.001198i,-0.0020522+0.0024829i,0.003688-0.0045058i,-0.0067842+0.0079827i,0.013781-0.014959i,-0.0368+0.034806i,0.75538-0.56141i,0.097316-0.042867i,-0.10427-0.0078795i,-0.097222-0.13684i,-0.0038932+0.060811i,0.037153-0.054243i,0.1146+0.047274i
-0.0037546+0.003863i,0.005393-0.0035621i,-0.0079541+0.0028601i,0.01236-0.0012232i,-0.0213-0.0030666i,0.047342+0.018791i,-0.76432-0.54764i,-0.065885-0.086832i,0.01795+0.1086i,-0.10304+0.1235i,0.056924-0.0050954i,-0.060934-0.028758i,-0.0025772-0.10852i
0.0092282-0.00015718i,-0.0096555-0.0013514i,0.009998+0.0038462i,-0.010024-0.0083664i,0.0088979+0.017991i,-0.0019807-0.047341i,-0.28905+0.88909i,-0.069886+0.092405i,0.10528-0.052158i,0.14037+0.072492i,-0.013513-0.060781i,-0.017387+0.07599i,-0.085583+0.033186i
-0.0084156-0.0091353i,0.0074074+0.0099897i,-0.0054646-0.011054i,0.00153+0.012414i,0.0075823-0.014188i,-0.037214+0.016299i,0.92697+0.010969i,0.11724+0.039458i,-0.08879-0.085333i,0.043622-0.15682i,-0.067773+0.032083i,0.093052-0.0086518i,0.045018+0.064156i
-0.0015369+0.014843i,0.0023656-0.014351i,-0.0036362+0.013049i,0.0057401-0.0099564i,-0.0097289+0.0020651i,0.020088+0.0253i,-0.25841-0.88255i,-0.0049135-0.1295i,-0.047064+0.11526i,-0.17513-0.00759i,0.063255+0.065113i,-0.051334-0.096749i,0.053621-0.051213i
