0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
-0.013068-0.0042514i,0.011736+0.0091434i,-0.009071-0.016887i,0.0034018+0.03045i,0.010894-0.059149i,-0.068577+0.15727i,-0.52596+0.72271i,0.14781-0.10767i,-0.18873-0.037677i,-0.039396-0.23467i,-0.038833+0.13068i,0.18519-0.14579i,-0.037875+0.085612i
-0.01972+0.036745i,0.024097-0.039421i,-0.031041+0.04302i,0.043515-0.048493i,-0.071349+0.058975i,0.17481-0.093609i,0.84767-0.22914i,-0.18713+0.017359i,0.24012-0.032058i,0.13001-0.086595i,-0.028347+0.053135i,0.12513+0.017941i,0.032077+0.070687i
0.014496-0.039869i,-0.018608+0.04284i,0.025251-0.046808i,-0.037375+0.052761i,0.064787-0.063911i,-0.16768+0.099626i,-0.85492+0.22339i,0.19591-0.0072776i,-0.253+0.0074208i,-0.12714+0.068793i,0.02054-0.049984i,-0.099515-0.038338i,-0.037775-0.083346i
-0.010092+0.042024i,0.014012-0.045242i,-0.020442+0.049526i,0.032325-0.055902i,-0.059455+0.067656i,0.16198-0.10439i,0.86047-0.21897i,-0.20248-0.0014316i,0.26172+0.016038i,0.12344-0.048679i,-0.01404+0.044749i,0.07234+0.057368i,0.03773+0.091779i
0.0064251-0.04289i,-0.010217+0.046282i,0.01651-0.0508i,-0.028247+0.057504i,0.055216-0.069754i,-0.15753+0.10737i,-0.86451+0.21646i,0.20705+0.0080558i,-0.26651-0.037291i,-0.1185+0.025733i,0.0083562-0.036495i,-0.043727-0.075646i,-0.033462-0.093548i
-0.0032877+0.042307i,0.0069936-0.045785i,-0.013202+0.050436i,0.024859-0.057353i,-0.051753+0.069966i,0.15398-0.10831i,0.86744-0.2162i,-0.21012-0.012189i,0.26798+0.055665i,0.1116+0.00013675i,-0.0025731+0.024811i,0.013342+0.093274i,0.027455+0.087356i
0.00042165-0.040312i,-0.0040607+0.043789i,0.010209-0.048474i,-0.021816+0.055489i,0.048682-0.068327i,-0.15089+0.10724i,-0.86978+0.21816i,0.21227+0.013819i,-0.26685-0.070943i,-0.10192-0.02848i,-0.0043655-0.0099559i,0.019249-0.10966i,-0.02253-0.073365i
0.002392+0.03714i,0.0011786-0.040546i,-0.0072654+0.045182i,0.018826-0.052199i,-0.045671+0.065148i,0.14789-0.10448i,0.87197-0.22198i,-0.21403-0.013316i,0.26378+0.083365i,0.08883+0.05832i,0.013333-0.0071498i,-0.054193+0.12354i,0.021151+0.053185i
-0.0052566-0.033176i,0.0017676+0.036464i,0.0042435-0.041001i,-0.015743+0.047959i,0.042554-0.060946i,-0.14478+0.10061i,-0.87422+0.22704i,0.21567+0.01135i,-0.25918-0.093517i,-0.072071-0.088292i,-0.02474+0.025099i,0.091013-0.13324i,-0.024811-0.029517i
0.0081147+0.028874i,-0.0047188-0.03203i,-0.0012036+0.036451i,0.012628-0.043332i,-0.039394+0.056333i,0.14163-0.096293i,0.87648-0.23261i,-0.21716-0.0087221i,0.25311+0.10215i,0.051919+0.11687i,0.038373-0.042283i,-0.12843+0.13701i,0.033661+0.0055581i
-0.010744-0.024663i,0.0074383+0.027704i,-0.0016006-0.032026i,-0.0097538+0.038849i,0.036486-0.051885i,-0.13875+0.092158i,-0.8784+0.23799i,0.21811+0.0061814i,-0.24523-0.10996i,-0.029177-0.14265i,-0.053376+0.057226i,0.16438-0.13352i,-0.046464+0.015707i
0.012798+0.020864i,-0.0095545-0.023825i,0.0037691+0.02809i,0.0075551-0.034901i,-0.034304+0.048023i,0.13667-0.08866i,0.87941-0.24271i,-0.2179-0.004254i,0.23494+0.1174i,0.0050601+0.16458i,0.068403-0.068894i,-0.19627+0.1222i,0.060885-0.032153i
-0.013881-0.017631i,0.010642+0.020555i,-0.0048422-0.024811i,-0.0065308+0.031665i,0.033393-0.044931i,-0.13598+0.085993i,-0.87883+0.24655i,0.21577+0.0031284i,-0.22153-0.12455i,0.019021-0.18213i,-0.081885+0.076895i,0.22136-0.10352i,-0.07405+0.042947i
0.013637+0.014934i,-0.010319-0.017856i,0.0044079+0.022144i,0.007129-0.029082i,-0.034244+0.042538i,0.13723-0.084061i,0.87607-0.24964i,-0.21108-0.002625i,0.20436+0.13104i,-0.041727+0.19535i,0.092371-0.081533i,-0.23728+0.079008i,0.083236-0.048661i
-0.011841-0.012588i,0.0083422+0.015526i,-0.0022023-0.019861i,-0.0096365+0.026899i,0.037171-0.040552i,-0.14077+0.08253i,-0.87075+0.25239i,0.20342+0.0022568i,-0.18315-0.13621i,0.062042-0.20477i,-0.098837+0.083698i,0.24242-0.051039i,-0.086525+0.051052i
0.0084519+0.010319i,-0.0046693-0.013263i,-0.0018195+0.017631i,0.014102-0.024746i,-0.042225+0.038559i,0.14664-0.080926i,0.86282-0.25534i,-0.19274-0.001365i,0.15803+0.13919i,-0.079454+0.21121i,0.10091-0.084619i,-0.23631+0.022481i,0.083274-0.052555i
-0.003641-0.0078499i,-0.00051689+0.010765i,0.0074598-0.01512i,-0.020308+0.022253i,0.049168-0.036143i,-0.15459+0.078775i,-0.85258+0.25904i,0.17945-0.00070244i,-0.12964-0.13914i,0.094021-0.21555i,-0.098966+0.085542i,0.21966+0.0038023i,-0.074274+0.055607i
-0.030604+0.017739i,0.035347-0.017167i,-0.042647+0.015746i,0.055426-0.012419i,-0.08338+0.0036742i,0.18598+0.03196i,0.82294+0.33259i,-0.17077-0.098131i,0.22463+0.11254i,0.14648-0.0002573i,-0.041645+0.028828i,0.059909+0.092638i,-0.0040049+0.077489i
0.027916-0.022515i,-0.032595+0.022308i,0.03984-0.021331i,-0.052584+0.018567i,0.080547-0.010579i,-0.18327-0.023878i,-0.82603-0.34052i,0.17266+0.11046i,-0.22175-0.13919i,-0.1336-0.01375i,0.032786-0.029885i,-0.025338-0.091455i,0.0055-0.089523i
-0.025581+0.026094i,0.030241-0.026175i,-0.037489+0.025556i,0.050273-0.023251i,-0.078344+0.015898i,0.18134+0.017537i,0.82813+0.34651i,-0.17312-0.12053i,0.21568+0.16266i,0.1192+0.029029i,-0.024425+0.028703i,-0.0081485+0.087844i,-0.010045+0.095227i
0.023363-0.028243i,-0.028029+0.02852i,0.035312-0.028149i,-0.048179+0.026176i,0.076419-0.019302i,-0.17977-0.013303i,-0.82969-0.35013i,0.17272+0.12783i,-0.20716-0.18218i,-0.10271-0.045851i,0.015685-0.024674i,0.040713-0.082725i,0.015132-0.093231i
-0.020988+0.028927i,0.025659-0.029303i,-0.032979+0.029069i,0.045936-0.027295i,-0.074361+0.020739i,0.17811+0.011238i,0.83127+0.3513i,-0.17209-0.13225i,0.19709+0.19746i,0.083454+0.063974i,-0.0055496+0.017847i,-0.072747+0.076355i,-0.017944+0.083624i
0.018231-0.028309i,-0.022886+0.028699i,0.030219-0.028503i,-0.04324+0.026813i,0.071828-0.020434i,-0.17596-0.011099i,-0.83332-0.3503i,0.1718+0.13406i,-0.18626-0.20868i,-0.060922-0.082643i,-0.0068113-0.0089282i,0.10448-0.068318i,0.016059-0.067937i
-0.014991+0.026702i,0.019595-0.027047i,-0.026903+0.026819i,0.039947-0.025127i,-0.06865+0.018819i,0.17312+0.012405i,0.83609+0.34765i,-0.17217-0.13385i,0.17519+0.21639i,0.035009+0.10072i,0.021767-0.00088681i,-0.13564+0.057729i,-0.0080608+0.048794i
0.01134-0.024499i,-0.01586+0.024765i,0.023105-0.024468i,-0.036129+0.022729i,0.064901-0.016434i,-0.16965-0.014566i,-0.83951-0.34401i,0.17315+0.13235i,-0.16403-0.22131i,-0.0061243-0.11693i,-0.039059+0.010189i,0.16526-0.043582i,-0.0060946-0.02932i
-0.0075224+0.022072i,0.011941-0.022256i,-0.019102+0.021882i,0.032082-0.020087i,-0.060897+0.01379i,0.16591+0.017017i,0.84321+0.34i,-0.17439-0.13025i,0.15252+0.22417i,-0.024796+0.13009i,0.057786-0.017689i,-0.19169+0.02516i,0.025029+0.012427i
0.0039164-0.019694i,-0.0082407+0.019809i,0.015327-0.019375i,-0.028274+0.017541i,0.057147-0.011255i,-0.16244-0.019355i,-0.84661-0.33606i,0.17521+0.12804i,-0.14008-0.22545i,0.056405-0.13937i,-0.07655+0.022515i,0.21282-0.0024061i,-0.046238-0.00017343i
-0.00095952+0.017481i,0.0052279-0.017549i,-0.012284+0.017077i,0.025249-0.015226i,-0.05424+0.0089737i,0.15989+0.021427i,0.84898+0.33237i,-0.17485-0.12589i,0.12601+0.22528i,-0.087167+0.14448i,0.093731-0.024417i,-0.22646-0.023854i,0.066651-0.0066706i
-0.00094516-0.015378i,-0.0033338+0.01541i,0.010435-0.014914i,-0.023508+0.01306i,0.052723-0.0068482i,-0.15886-0.02335i,-0.84967-0.32877i,0.1726+0.12361i,-0.10969-0.22341i,0.11563-0.14565i,-0.10782+0.023812i,0.2308+0.051893i,-0.083329+0.0087425i
0.0015159+0.013182i,0.0028589-0.013173i,-0.010104+0.012644i,0.023397-0.010771i,-0.052969+0.0045757i,0.15975+0.025468i,0.84824+0.32487i,-0.168-0.12073i,0.090766+0.21927i,-0.14066+0.14361i,0.11774-0.021677i,-0.2248-0.079279i,0.094131-0.0078626i
-0.00065485-0.010617i,-0.0039066+0.010535i,0.011398-0.009934i,-0.025032+0.0079927i,0.055101-0.0017442i,-0.1627-0.028248i,-0.84456-0.32013i,0.16093+0.11665i,-0.069331-0.21213i,0.16166-0.13934i,-0.12305+0.019296i,0.20853+0.10326i,-0.098183+0.0065267i
-0.0015304+0.0074118i,0.0063588-0.0072023i,-0.014189+0.0064614i,0.028267-0.0043668i,-0.058952-0.0020456i,0.16749+0.03214i,0.83887+0.31405i,-0.1517-0.11074i,0.04593+0.20132i,-0.17861+0.13388i,0.12407-0.017943i,-0.18322-0.12123i,0.096055-0.0072362i
0.0047499-0.0033925i,-0.0099017+0.0029829i,0.018133-0.0020147i,-0.032725-0.00034212i,0.064104+0.0070583i,-0.17367-0.037445i,-0.83171-0.30626i,0.14098+0.10263i,-0.021527-0.18644i,0.19201-0.128i,-0.12173+0.018559i,0.15113+0.13123i,-0.089586+0.011831i
-0.028121-0.00047069i,0.031171+0.0036626i,-0.035684-0.0090798i,0.043323+0.019343i,-0.059625-0.043145i,0.11872+0.13371i,0.46199+0.7689i,-0.088228-0.18593i,0.12815+0.2266i,0.11281+0.075796i,-0.039975+0.0072438i,-0.03488+0.094722i,-0.037815+0.066389i
0.028117-0.0042738i,-0.031297+0.0013952i,0.03599+0.0036493i,-0.04389-0.013455i,0.060596+0.036665i,-0.12043-0.12636i,-0.46077-0.7764i,0.083552+0.19632i,-0.11151-0.24613i,-0.093458-0.080893i,0.032447-0.012516i,0.061548-0.070883i,0.044079-0.074318i
-0.027974+0.0077822i,0.031292-0.0051259i,-0.03618+0.00034667i,0.044362+0.009131i,-0.061506-0.031909i,0.12213+0.12094i,0.45947+0.78167i,-0.078563-0.20397i,0.093555+0.26115i,0.072676+0.086275i,-0.024714+0.015551i,-0.084431+0.046273i,-0.050141+0.075353i
0.027368-0.0099779i,-0.030807+0.0074484i,0.03587-0.0028217i,-0.044317-0.0064634i,0.061883+0.028978i,-0.12329-0.11758i,-0.45869-0.78458i,0.074008+0.20872i,-0.075356-0.2714i,-0.049818-0.091917i,0.015699-0.016222i,0.10432-0.02187i,0.053167-0.069539i
-0.026035+0.010978i,0.029551-0.0084897i,-0.034743+0.0039151i,0.0434+0.0052989i,-0.06133-0.027702i,0.12346+0.11606i,0.45896+0.78535i,-0.07053-0.21081i,0.057858+0.27708i,0.0244+0.097302i,-0.0045043+0.015052i,-0.12194-0.0020926i,-0.050743+0.058339i
0.023841-0.011049i,-0.027378+0.0085391i,0.032633-0.0039415i,-0.041427-0.0052929i,0.059634+0.0277i,-0.12239-0.11598i,-0.46058-0.78444i,0.068515+0.21079i,-0.04171-0.27878i,0.0036795-0.10154i,-0.0093092-0.013058i,0.13761+0.025949i,0.041478-0.044298i
-0.020831+0.010534i,0.024333-0.0079658i,-0.029585+0.003302i,0.03844+0.0060064i,-0.056835-0.028489i,0.12011+0.11678i,0.46355+0.78248i,-0.067989-0.20933i,0.027151+0.27729i,-0.034009+0.1036i,0.025549+0.011477i,-0.15102-0.050274i,-0.02538+0.030439i
0.017236-0.0097585i,-0.020659+0.0071224i,0.02586-0.0023791i,-0.034716-0.0070214i,0.053227+0.029606i,-0.11693-0.11797i,-0.46751-0.78003i,0.068608+0.20711i,-0.01399-0.27338i,0.065656-0.10254i,-0.043376-0.011438i,0.16122+0.075491i,0.0039021-0.019562i
-0.013429+0.0089517i,0.016756-0.0062544i,-0.021884+0.0014391i,0.030716+0.0080473i,-0.049311-0.030733i,0.1134+0.11918i,0.47188+0.7775i,-0.06974-0.20459i,0.001694+0.26761i,-0.097283+0.097796i,0.061445+0.013665i,-0.16677-0.10151i,0.020357+0.013601i
0.0098535-0.0081875i,-0.013097+0.0054416i,0.018165-0.00056801i,-0.026988-0.0089907i,0.045683+0.031768i,-0.11017-0.12029i,-0.47595-0.77502i,0.070611+0.20191i,0.010438-0.26018i,0.12736-0.089286i,-0.078176-0.018283i,0.16615+0.1275i,-0.044213-0.013191i
-0.0069291+0.0073717i,0.010131-0.0045818i,-0.015187-0.00034613i,0.024053+0.009975i,-0.042906-0.032846i,0.10786+0.12147i,0.47904+0.77241i,-0.07049-0.19889i,-0.023064+0.25094i,-0.15446+0.077478i,0.092086+0.024765i,-0.15815-0.15187i,0.064598+0.01755i
0.0049634-0.0062715i,-0.0081854+0.0034226i,0.013299+0.0015781i,-0.022288-0.011302i,0.041388+0.034302i,-0.1069-0.12308i,-0.48068-0.76925i,0.068868+0.19505i,0.03659-0.23941i,0.17745-0.063293i,-0.1021-0.032048i,0.14227+0.17249i,-0.079234-0.024706i
-0.0040899+0.0045816i,0.0074009-0.0016338i,-0.012649-0.0034876i,0.021848+0.013365i,-0.041295-0.036571i,0.10748+0.12561i,0.48067+0.765i,-0.065579-0.18977i,-0.051033+0.22496i,-0.19575+0.047912i,0.10779+0.038777i,-0.119-0.18698i,0.087107+0.032006i
0.0042441-0.0020117i,-0.0077048-0.0010991i,0.013156+0.0064175i,-0.02264-0.016542i,0.042514+0.040071i,-0.10945-0.12953i,-0.4792-0.75913i,0.060849+0.18247i,0.065969-0.20703i,0.20936-0.032513i,-0.10944-0.043634i,0.089889+0.19325i,-0.088652-0.036794i
-0.0051858-0.0016267i,0.0088359+0.0049811i,-0.014532-0.010592i,0.024346+0.021078i,-0.044691-0.045074i,0.11241+0.13514i,0.47673+0.75131i,-0.055249-0.17278i,-0.080586+0.18532i,-0.2188+0.018022i,0.10796+0.045653i,-0.057358-0.18992i,0.085582+0.037077i
0.0065612+0.0063558i,-0.010411-0.010038i,0.016359+0.01604i,-0.026505-0.027008i,0.047313+0.05162i,-0.11579-0.14249i,-0.47393-0.74149i,0.049564+0.16066i,0.093842-0.15992i,0.22493-0.0049177i,-0.10467-0.044461i,0.024371+0.17663i,-0.080426-0.032041i
-0.017399-0.010315i,0.017605+0.014384i,-0.017576-0.021079i,0.01702+0.033487i,-0.015024-0.061872i,0.0062873+0.16923i,-0.092711+0.901i,0.03352-0.21146i,-0.019582+0.26844i,0.045972+0.11618i,-0.030922-0.0048356i,-0.098254+0.026004i,-0.061419+0.042012i
0.019262+0.0068704i,-0.019718-0.010768i,0.020011+0.017272i,-0.01989-0.029464i,0.018521+0.057603i,-0.01084-0.16468i,0.096899-0.90605i,-0.042149+0.21687i,0.043213-0.27465i,-0.025975-0.10995i,0.026651-0.0033975i,0.10371+0.0098016i,0.068801-0.044841i
-0.020512-0.0045347i,0.021187+0.0083503i,-0.021767-0.01477i,0.022041+0.026877i,-0.021253-0.054936i,0.014575+0.16196i,-0.10021+0.90895i,0.049825-0.21958i,-0.065752+0.2761i,0.0050661+0.1035i,-0.021463+0.0094775i,-0.10479-0.042742i,-0.072957+0.041736i
0.020838+0.0032037i,-0.021672-0.0070167i,0.022473+0.013446i,-0.023064-0.025585i,0.022765+0.05371i,-0.016977-0.16087i,0.10204-0.90993i,-0.055824+0.21982i,0.086149-0.27313i,0.017313-0.096493i,0.014335-0.013816i,0.10298+0.072304i,0.071469-0.034111i
-0.020064-0.0026266i,0.020983+0.0064946i,-0.021917-0.013003i,0.022723+0.025258i,-0.022789-0.053559i,0.017741+0.16101i,-0.10204+0.90944i,0.059692-0.21816i,-0.10367+0.26641i,-0.041355+0.088256i,-0.0046978+0.017322i,-0.099357-0.098674i,-0.062956+0.02443i
0.0182+0.0024809i,-0.019127-0.0064343i,0.020104+0.013059i,-0.021018-0.025477i,0.021321+0.054017i,-0.016848-0.16185i,0.10016-0.9081i,-0.061346+0.2153i,0.11803-0.25686i,0.066751-0.077952i,-0.0073821-0.021133i,0.094372+0.12242i,0.047436-0.015617i
-0.015445-0.0024619i,0.016315+0.0065057i,-0.017261-0.013254i,0.018192+0.025846i,-0.018619-0.054645i,0.014577+0.16289i,-0.096703+0.90646i,0.061088-0.21191i,-0.12939+0.24534i,-0.092679+0.064853i,0.021185+0.026289i,-0.087787-0.14409i,-0.026382+0.010352i
0.012152+0.0023653i,-0.012926-0.006487i,0.013792+0.013345i,-0.014681-0.026097i,0.015157+0.055143i,-0.011445-0.16381i,0.092231-0.90492i,-0.059526+0.20845i,0.13829-0.23251i,0.11792-0.048566i,-0.035475-0.033434i,0.078832+0.16384i,0.0024173-0.010435i
-0.0087512-0.0021418i,0.0094181+0.0063239i,-0.01019-0.013272i,0.01102+0.026163i,-0.011517-0.055434i,0.0080887+0.1645i,-0.087446+0.90359i,0.05743-0.20508i,-0.14546+0.21868i,-0.14105+0.029195i,0.048763+0.042626i,-0.066534-0.18122i,0.021242+0.016348i
0.0056575+0.0019116i,-0.0062366-0.0061449i,0.0069357+0.013173i,-0.0077248-0.026192i,0.0082615+0.055679i,-0.0051236-0.16514i,0.083026-0.90227i,-0.055542+0.2016i,0.15163-0.20377i,0.16075-0.0073716i,-0.059638-0.053281i,0.05012+0.19512i,-0.041493-0.027147i
-0.0031842-0.001934i,0.0037158+0.0062289i,-0.0043859-0.013349i,0.005183+0.026512i,-0.0058084-0.056237i,0.0030063+0.16613i,-0.079469+0.90055i,0.054404-0.19755i,-0.1573+0.18738i,-0.17602-0.015832i,0.067082+0.064288i,-0.029394-0.20391i,0.056019+0.04069i
0.0014788+0.0025403i,-0.0020114-0.0069327i,0.0027062+0.014187i,-0.0035697-0.027544i,0.0043452+0.057569i,-0.0019359-0.16798i,0.076988-0.89784i,-0.054232+0.19229i,0.16262-0.16896i,0.18637+0.039104i,-0.07069-0.074258i,0.0049991+0.20585i,-0.063772-0.054148i
-0.00049913-0.0040465i,0.0010751+0.0085966i,-0.0018406-0.016055i,0.0028193+0.029689i,-0.0037936-0.060116i,0.0018174+0.17117i,-0.075462+0.89361i,0.054865-0.18525i,-0.16731+0.14799i,-0.19189-0.061147i,0.070755+0.08184i,0.021524-0.19943i,0.065154+0.064687i
3.4854e-05+0.0066651i,-0.00067761-0.01145i,0.0015372+0.019203i,-0.0026528-0.03322i,0.0038411+0.064175i,-0.0022958-0.17602i,0.074481-0.88751i,-0.055814+0.17604i,0.17073-0.12421i,0.1932+0.080939i,-0.068185-0.086049i,-0.047896+0.18389i,-0.061861-0.07015i
0.00023196-0.01044i,0.00047403+0.015541i,-0.0014193-0.023681i,0.0026553+0.038191i,-0.0040265-0.069808i,0.0028523+0.18262i,-0.073452+0.87946i,0.056387-0.1646i,-0.17204+0.097747i,-0.19126-0.097928i,0.064272+0.086501i,0.071449-0.15944i,0.05641+0.069564i
-0.00064106+0.015219i,-9.6416e-05-0.020705i,0.0010859+0.029313i,-0.0023861-0.044411i,0.0038612+0.076801i,-0.0029388-0.19071i,0.071751-0.86974i,-0.055862+0.1513i,0.17038-0.069215i,0.18711+0.11212i,-0.060384-0.08352i,-0.089589+0.12743i,-0.051491-0.06338i
-0.0066737-0.010013i,0.0042679+0.012943i,-5.3506e-05-0.017763i,-0.0080885+0.026737i,0.027143-0.047437i,-0.099651+0.12663i,-0.61882+0.67174i,0.15157-0.16156i,-0.16954+0.21955i,-0.026712+0.11093i,-0.023254-0.0081375i,-0.088507-0.069028i,-0.07107+0.011489i
0.009168+0.0082734i,-0.0070265-0.011201i,0.0031451+0.016044i,0.0045607-0.025083i,-0.023008+0.045932i,0.094542-0.1255i,0.62393-0.67358i,-0.16046+0.16116i,0.19122-0.21135i,0.041039-0.094479i,0.02318-0.0010897i,0.070058+0.099875i,0.076647-0.010683i
-0.010629-0.0073523i,0.008681+0.010348i,-0.0050498-0.015297i,-0.0023184+0.024503i,0.020278-0.045631i,-0.090996+0.12574i,-0.62725+0.67379i,0.16721-0.15866i,-0.20952+0.19941i,-0.055774+0.077831i,-0.02137+0.0084418i,-0.049781-0.1244i,-0.076812+0.0060665i
0.010849+0.0069968i,-0.009006-0.010107i,0.005521+0.015218i,0.001634-0.024663i,-0.019261+0.046161i,0.089357-0.12694i,0.6284-0.67284i,-0.17131+0.15465i,0.22368-0.18453i,0.071265-0.060444i,0.017118-0.014791i,0.029469+0.14306i,0.070173-1.8953e-05i
-0.0098095-0.0068858i,0.0079791+0.01013i,-0.004532-0.015428i,-0.0025402+0.025141i,0.019995-0.047051i,-0.08968+0.12856i,-0.62728+0.67136i,0.17267-0.14987i,-0.23345+0.16774i,-0.087368+0.041618i,-0.010353+0.021246i,-0.010199-0.1568i,-0.056732-0.0046413i
0.0076862+0.0067193i,-0.0057883-0.010091i,0.002284+0.015568i,0.0048208-0.025543i,-0.022247+0.047861i,0.09171-0.1301i,0.62418-0.66993i,-0.17156+0.14502i,0.23902-0.15003i,0.10343-0.020746i,0.0016691-0.028825i,-0.0077474+0.16665i,0.037937+0.0053524i
-0.0048132-0.0063008i,0.0027912+0.0097745i,0.00083822-0.015402i,-0.0080589+0.025608i,0.025564-0.048297i,-0.094951+0.13123i,-0.61965+0.66893i,0.16859-0.14057i,-0.24101+0.13213i,-0.11839-0.0024552i,0.007807+0.038162i,0.02474-0.17333i,-0.016386-0.00044791i
0.0016085+0.0055917i,0.00056406-0.009138i,-0.0043514+0.014882i,0.011731-0.025276i,-0.029374+0.048289i,0.098772-0.13187i,0.61438-0.66849i,-0.16454+0.13671i,0.24024-0.11443i,0.13101+0.027786i,-0.016679-0.049304i,-0.041497+0.177i,-0.0047382-0.010416i
0.0015172-0.004726i,-0.0038372+0.0083234i,0.0077812-0.014157i,-0.015322+0.024709i,0.033114-0.048009i,-0.10255+0.13219i,-0.60907+0.66841i,0.16019-0.13323i,-0.23754+0.096908i,-0.14011-0.054533i,0.023606+0.061665i,0.058689-0.17718i,0.022367+0.02615i
-0.0042487+0.0039797i,0.0066909-0.0076265i,-0.010765+0.013548i,0.018439-0.024253i,-0.036356+0.047833i,0.10583-0.1326i,0.60423-0.66824i,-0.15611+0.12967i,0.23357-0.07921i,0.14486+0.081554i,-0.027617-0.074132i,-0.076562+0.17288i,-0.03422-0.044461i
0.0064297-0.0037036i,-0.008959+0.0074239i,0.013125-0.013459i,-0.020893+0.024348i,0.038896-0.048243i,-0.10837+0.13364i,-0.6001+0.6674i,0.15257-0.1254i,-0.22862+0.06079i,-0.14489-0.10748i,0.028337+0.085313i,0.094673-0.16294i,0.039291+0.062376i
-0.0080874+0.004235i,0.010673-0.0080781i,-0.014898+0.014284i,0.022727-0.02542i,-0.040785+0.049703i,0.11025-0.13581i,0.59662-0.66532i,-0.14949+0.11979i,0.22258-0.041129i,0.14044+0.13098i,-0.026065-0.093856i,-0.11182+0.14642i,-0.03803-0.076919i
0.0094116-0.0058095i,-0.01204+0.0098425i,0.016311-0.016294i,-0.024191+0.027766i,0.042303-0.052537i,-0.11176+0.13947i,-0.59343+0.66162i,0.14644-0.11245i,-0.21501+0.019939i,-0.13223-0.15101i,0.021696+0.098768i,0.1262-0.12299i,0.032184+0.085801i
-0.010695+0.008495i,0.013376-0.01279i,-0.017709+0.01957i,0.025665-0.031469i,-0.04387+0.056836i,0.1134-0.14472i,0.58998-0.65621i,-0.14282+0.10329i,0.20524+0.0026908i,0.12132+0.167i,-0.016497-0.099659i,-0.1357+0.093242i,-0.024328-0.087938i
0.012248-0.012163i,-0.015019+0.016781i,0.01946-0.023959i,-0.027552+0.036365i,0.045932-0.062416i,-0.11565+0.15134i,-0.58572+0.64932i,0.138-0.092613i,-0.19261-0.026222i,-0.10886-0.17895i,0.011794+0.096846i,0.13836-0.058754i,0.017213+0.08369i
-0.014311+0.016505i,0.017228-0.021484i,-0.021846+0.029101i,0.03016-0.042059i,-0.04883+0.06884i,0.1189-0.15886i,0.58022-0.64151i,-0.1315+0.081097i,0.17666+0.049715i,0.095815+0.18742i,-0.0086458-0.091292i,-0.13286+0.021996i,-0.013078-0.07475i
-0.0024908-0.0037952i,-0.0010842+0.0042315i,0.0072415-0.0050127i,-0.019042+0.0066289i,0.046642-0.01082i,-0.15227+0.028819i,-0.9035+0.16973i,0.22213-0.050422i,-0.26933+0.092259i,-0.078889+0.067674i,-0.021364-0.0089086i,-0.0077975-0.12899i,-0.067019-0.018317i
0.0046218+0.0033444i,-0.001231-0.0039096i,-0.0047014+0.0048768i,0.016218-0.0067706i,-0.043444+0.011403i,0.14853-0.030231i,0.9077-0.16895i,-0.22808+0.045671i,0.28141-0.073876i,0.082658-0.045384i,0.025345+0.00072409i,-0.025244+0.14056i,0.069913+0.020162i
-0.0054054-0.0032499i,0.0021001+0.003976i,0.003724-0.0051677i,-0.015098+0.007387i,0.042124-0.012523i,-0.14689+0.032261i,-0.90945+0.16743i,0.23102-0.03997i,-0.28851+0.053836i,-0.08671+0.023236i,-0.026746+0.006259i,0.055279-0.14489i,-0.066388-0.023057i
0.0048018+0.00319i,-0.0014792-0.0040804i,-0.0043579+0.0055013i,0.015736-0.0080528i,-0.042746+0.013702i,0.14744-0.034367i,0.90868-0.1658i,-0.23086+0.034082i,0.29046-0.033231i,0.091098-0.00059149i,0.025376-0.013168i,-0.08091+0.14356i,0.056384+0.024297i
-0.0029702-0.002868i,-0.00046098+0.0038998i,0.0064194-0.0055231i,-0.017933+0.0083752i,0.045091-0.0145i,-0.14993+0.036049i,-0.90565+0.16465i,0.22786-0.02872i,-0.28755+0.013103i,-0.095362-0.023112i,-0.021722+0.021044i,0.10167-0.13826i,-0.041276-0.021439i
0.00023266+0.002095i,0.0033747-0.0032271i,-0.0095351+0.0050043i,0.021283-0.0080988i,-0.048716+0.014628i,0.15386-0.036972i,0.90091-0.16436i,-0.22267+0.024378i,0.28051+0.0057602i,0.098634+0.048122i,0.016823-0.030545i,-0.1179+0.13037i,0.023579+0.012937i
0.0029993-0.00084424i,-0.0068196+0.0020305i,0.013227-0.0039065i,-0.025266+0.0071766i,0.053049-0.014028i,-0.15862+0.037062i,-0.89517+0.16505i,0.2161-0.021219i,-0.27029-0.022962i,-0.099848-0.074219i,-0.012007+0.041741i,0.13045-0.12068i,-0.006391+0.0014313i
-0.0063156-0.00073461i,0.010355-0.00046859i,-0.017019+0.0023981i,0.029364-0.0057876i,-0.057523+0.012889i,0.16356-0.036518i,0.88913-0.16651i,-0.20894+0.019043i,0.25787+0.038535i,0.097994+0.10068i,0.0085707-0.054063i,-0.14023+0.10929i,-0.0073093-0.020457i
0.0093955+0.0023458i,-0.013638-0.0011423i,0.02054-0.000819i,-0.033173+0.0042989i,0.061695-0.011611i,-0.16821+0.035776i,-0.88334+0.16826i,0.20185-0.017347i,-0.24405-0.052872i,-0.09237-0.12637i,-0.0074603+0.066414i,0.1479-0.095724i,0.015331+0.041734i
