0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
-0.045006+0.033366i,0.051198-0.034503i,-0.060349+0.035437i,0.075632-0.035668i,-0.10737+0.033311i,0.21786-0.01563i,0.82391+0.25048i,-0.13287-0.12134i,0.12793+0.21235i,0.080738+0.10709i,-0.035151-0.0072342i,0.024183+0.1202i,-0.051281+0.056578i
0.039889-0.035436i,-0.045918+0.036685i,0.054915-0.037755i,-0.070073+0.038162i,0.10176-0.03606i,-0.21237+0.018868i,-0.8293-0.25244i,0.13618+0.12574i,-0.11925-0.2232i,-0.048425-0.11626i,0.013582+0.010058i,0.023808-0.11755i,0.034775-0.050002i
-0.033978+0.037188i,0.039797-0.038545i,-0.048588+0.039746i,0.063564-0.040325i,-0.095129+0.038469i,0.2058-0.021745i,0.83584+0.25399i,-0.14063-0.12951i,0.11124+0.23198i,0.013083+0.12224i,0.010646-0.010753i,-0.073352+0.10703i,-0.013268+0.045936i
0.027743-0.03873i,-0.033337+0.040201i,0.041909-0.041542i,-0.056687+0.0423i,0.088118-0.040697i,-0.19884+0.024438i,-0.84276-0.2553i,0.14543+0.13287i,-0.10313-0.23888i,0.023715-0.12455i,-0.035839+0.0088047i,0.12127-0.088383i,-0.010442-0.045644i
-0.0217+0.04001i,0.02709-0.041597i,-0.035465+0.043082i,0.050076-0.044023i,-0.081413+0.042673i,0.19223-0.026868i,0.84925+0.25631i,-0.14967-0.13571i,0.094075+0.24374i,-0.060265+0.12325i,0.060156-0.0043563i,-0.16429+0.062445i,0.033225+0.04906i
0.016314-0.040821i,-0.021549+0.042511i,0.029787-0.044123i,-0.0443+0.045227i,0.075628-0.044103i,-0.18665+0.028707i,-0.85457-0.25663i,0.15257+0.1376i,-0.083372-0.24603i,0.095013-0.11889i,-0.081959-0.0018056i,0.19958-0.031095i,-0.052325-0.054813i
-0.011912+0.040847i,0.017063-0.042601i,-0.025246+0.044293i,0.039757-0.045505i,-0.071189+0.044536i,0.18255-0.029451i,0.85824+0.2557i,-0.15359-0.13788i,0.07063+0.24498i,-0.12679+0.11245i,0.1001+0.0084241i,-0.22516-0.0030037i,0.065969+0.060575i
0.0086369-0.039741i,-0.01378+0.04149i,0.021995-0.043184i,-0.036606+0.044408i,0.068262-0.043475i,-0.18011+0.028542i,-0.86008-0.25287i,0.15262+0.13582i,-0.055897-0.23974i,0.15498-0.10507i,-0.11413-0.01406i,0.24016+0.036843i,-0.073732-0.063653i
-0.0064384+0.037218i,0.01164-0.038868i,-0.019962+0.040455i,0.034759-0.041562i,-0.066737+0.040505i,0.17918-0.025514i,0.86028+0.24763i,-0.14989-0.13082i,0.039673+0.22965i,-0.17949+0.09778i,0.12429+0.017425i,-0.2449-0.067564i,0.076583+0.061683i
0.0051064-0.033131i,-0.010412+0.034577i,0.01889-0.035932i,-0.033928+0.036771i,0.066289-0.035404i,-0.17939+0.020117i,-0.85928-0.23968i,0.14597+0.12255i,-0.022815-0.21436i,0.20074-0.091277i,-0.13139-0.017688i,0.24069+0.092913i,-0.076585-0.05325i
