-0.0095778+0.039537i,0.011497-0.048557i,-0.015151+0.062976i,0.023294-0.089634i,-0.047507+0.15505i,0.22304-0.55129i,0.23611-0.38471i,-0.17864+0.15951i,0.47062-0.16143i,0.28617+0.0039702i,-0.10525-0.02043i,0.10771+0.072222i,-0.065189-0.023859i
-0.062288+0.0038855i,0.07523-0.0060867i,-0.095071+0.0095715i,0.12982-0.015851i,-0.20939+0.03058i,0.65326-0.11423i,0.33721-0.073734i,-0.030115+0.016222i,-0.34582+0.053347i,-0.37183+0.080726i,0.16831-0.043992i,-0.1842+0.039372i,0.10918-0.034179i
-0.0066278-0.029277i,0.011246+0.036788i,-0.01942-0.048668i,0.036208+0.070267i,-0.082076-0.12202i,0.38966+0.42634i,0.38055+0.27753i,-0.24557-0.089654i,0.51934-0.01274i,0.24247-0.11322i,-0.066005+0.064787i,0.064112-0.10911i,-0.027354+0.05662i
-0.022542-0.039332i,0.024159+0.049071i,-0.025858-0.0647i,0.027129+0.0937i,-0.025048-0.1651i,-0.020698+0.59874i,-0.13615+0.42686i,0.15501-0.18108i,-0.46343+0.18625i,-0.28225-0.010159i,0.10022+0.035243i,-0.028795+0.02535i,0.039716+0.016517i
0.062531-0.032857i,-0.074509+0.038511i,0.092747-0.047253i,-0.12446+0.062814i,0.19653-0.099379i,-0.59534+0.31072i,-0.28983+0.17363i,0.0097039-0.039685i,0.35802-0.055172i,0.36038-0.088743i,-0.16547+0.042835i,0.049795-0.035674i,-0.082388+0.027642i
0.025698+0.028715i,-0.032427-0.033886i,0.043803+0.041896i,-0.066223-0.05617i,0.12529+0.089726i,-0.50984-0.28354i,-0.43892-0.16007i,0.25808+0.03632i,-0.51909+0.058149i,-0.24501+0.093833i,0.075956-0.05021i,-0.0038911-0.014516i,0.026963-0.025576i
0.022885+0.041477i,-0.027346-0.051237i,0.033751+0.066856i,-0.043932-0.09576i,0.063989+0.16677i,-0.15254-0.59751i,-0.0064635-0.42109i,-0.091131+0.17761i,0.41611-0.18963i,0.31723-0.0063597i,-0.12917-0.016638i,0.10968+0.076563i,-0.073684-0.018965i
-0.050372+0.034131i,0.06037-0.042038i,-0.075509+0.05452i,0.1016-0.077181i,-0.16008+0.13142i,0.47759-0.44992i,0.21693-0.28598i,0.015502+0.08826i,-0.3714+0.027938i,-0.34591+0.1284i,0.148-0.076274i,-0.16464+0.04824i,0.090561-0.055349i
-0.02336-0.008181i,0.030791+0.010132i,-0.043392-0.013142i,0.068237+0.018416i,-0.13356-0.030363i,0.55708+0.095387i,0.48425+0.046127i,-0.28069+0.0030052i,0.53566-0.087769i,0.22482-0.088852i,-0.05306+0.040835i,0.067163-0.079014i,-0.018711+0.040213i
-0.04521-0.037765i,0.052958+0.046427i,-0.064437-0.060305i,0.083691+0.08605i,-0.12536-0.14952i,0.34166+0.53623i,0.11561+0.38093i,0.057032-0.16476i,-0.39778+0.19101i,-0.3235+0.018372i,0.13324+0.016705i,-0.071903+0.048238i,0.063287-0.0020812i
0.045264-0.045398i,-0.052786+0.055337i,0.063907-0.070965i,-0.082516+0.099253i,0.12266-0.16683i,-0.33012+0.56353i,-0.10682+0.35364i,-0.060403-0.10866i,0.39901-0.026014i,0.32195-0.14269i,-0.1347+0.081578i,0.025988-0.086686i,-0.05599+0.063131i
0.020874-0.0006893i,-0.028288+0.0017497i,0.040867-0.0036099i,-0.065667+0.0074037i,0.13083-0.017733i,-0.55302+0.087108i,-0.48449+0.087354i,0.28121-0.058329i,-0.53389+0.13194i,-0.22325+0.071623i,0.057245-0.02807i,0.027584-0.019755i,0.0033465-0.015113i
0.054296+0.023676i,-0.064526-0.030328i,0.079989+0.041076i,-0.10661-0.061174i,0.16628+0.1111i,-0.49076-0.41748i,-0.22025-0.31226i,-0.015804+0.14408i,0.36935-0.18789i,0.34034-0.036207i,-0.14633+0.00054981i,0.10353+0.067593i,-0.074898-0.0085633i
-0.025987+0.052544i,0.030384-0.063502i,-0.036605+0.080728i,0.046313-0.11191i,-0.064957+0.18642i,0.14403-0.62408i,-0.0078611-0.3882i,0.0996+0.1182i,-0.41956+0.029105i,-0.30241+0.15558i,0.11441-0.091394i,-0.12955+0.042392i,0.06112-0.060759i
-0.021878+0.017261i,0.028347-0.021354i,-0.039379+0.028001i,0.061293-0.040543i,-0.1194+0.072124i,0.49933-0.26916i,0.43941-0.20549i,-0.26103+0.1026i,0.51812-0.16676i,0.22972-0.061086i,-0.057715+0.013864i,0.080965-0.04204i,-0.020519+0.017872i
-0.062679-0.020405i,0.074792+0.02453i,-0.093236-0.031197i,0.12531+0.043741i,-0.19819-0.075292i,0.60159+0.2722i,0.29434+0.20249i,-0.012086-0.10011i,-0.35013+0.16691i,-0.34947+0.066316i,0.15384-0.01602i,-0.1052+0.076573i,0.07697-0.025428i
-0.031388+0.019384i,0.038335-0.023985i,-0.049984+0.031215i,0.072804-0.044283i,-0.13269+0.075449i,0.52187-0.25816i,0.43805-0.16425i,-0.25532+0.051908i,0.52159+0.0048696i,0.25651+0.056997i,-0.082309-0.028525i,0.058993+0.085135i,-0.043917-0.02516i
-0.054259-0.032361i,0.065964+0.038047i,-0.083872-0.046881i,0.11512+0.062711i,-0.18626-0.10027i,0.57981+0.32016i,0.29252+0.18884i,-0.014508-0.054919i,-0.35858-0.0044557i,-0.37202-0.049209i,0.16822+0.022334i,-0.17873-0.040076i,0.10934+0.0095012i
0.019525-0.034544i,-0.021342+0.04437i,0.023414-0.060186i,-0.025431+0.089552i,0.025224-0.16169i,0.0094442+0.59766i,0.12219+0.42884i,-0.14849-0.17642i,0.46411+0.14406i,0.29241-0.056203i,-0.10277+0.05628i,0.1178-0.08769i,-0.057608+0.056804i
0.0044497-0.034173i,-0.009131+0.041459i,0.017456-0.052918i,-0.034609+0.073701i,0.081541-0.12359i,-0.39634+0.4188i,-0.39173+0.26832i,0.25321-0.091132i,-0.53094+0.027383i,-0.24347-0.065796i,0.065721+0.044071i,-0.030634+0.033482i,0.019743+0.011296i
0.070204+0.0053101i,-0.083341-0.0076182i,0.10336+0.011281i,-0.13823-0.017944i,0.21772+0.033878i,-0.65974-0.12724i,-0.32522-0.088167i,0.018671+0.030132i,0.36133+0.0036763i,0.36887+0.040585i,-0.16815-0.025916i,0.060703-0.016129i,-0.08375-0.0067983i
0.00083658+0.047033i,-0.0022679-0.056469i,0.005276+0.071442i,-0.012439-0.098916i,0.034659+0.16581i,-0.19981-0.56775i,-0.23634-0.37673i,0.18557+0.14319i,-0.48318-0.10775i,-0.28426+0.040734i,0.10458-0.040314i,-0.0064025+0.0078459i,0.042194-0.029522i
-0.0088787+0.039437i,0.011481-0.048655i,-0.016294+0.06323i,0.026686-0.089792i,-0.056616+0.15383i,0.2675-0.53408i,0.27563-0.35277i,-0.19806+0.12628i,0.48983-0.057812i,0.28005+0.070799i,-0.099366-0.043866i,0.05349+0.096802i,-0.047886-0.031843i
-0.062645-0.00021273i,0.075764-0.00040224i,-0.095879+0.0015224i,0.13111-0.003844i,-0.21175+0.010118i,0.66152-0.051007i,0.34186-0.048673i,-0.030518+0.027101i,-0.35141-0.03604i,-0.37795+0.0037731i,0.17152-0.014093i,-0.17023-0.024952i,0.10546-0.015336i
